SSNAP Scoring Summary:,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01
SSNAP level,D,E,D,D,D,C
SSNAP score,58.5,37.6,53.6,56.3,52.7,67.9
Case ascertainment band,A,B,A,A,B,A
Audit compliance band,C,E,D,D,C,C
Combined Total Key Indicator level,C,D,C,C,C,B
Combined Total Key Indicator score,65,49.5,63.1,66.2,61.7,75.5
Number of records completed: Team-centred post-72h all teams cohort,22,23,22,33,21,21
Patient-centred Domain levels: 2) Stroke unit,Too few to report,E,D,D,D,B
Patient-centred Domain levels: 5) Occupational therapy,Too few to report,A,A,B,B,A
Patient-centred Domain levels: 6) Physiotherapy,Too few to report,B,B,B,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,Too few to report,C,C,C,C,B
Patient-centred Domain levels: 8) MDT working,Too few to report,E,E,E,D,D
Patient-centred Domain levels: 9) Standards by discharge,Too few to report,E,C,B,B,A
Patient-centred Domain levels: 10) Discharge processes,Too few to report,E,B,A,D,D
Patient-centred KI level Patient-centred Total KI level,Too few to report,D,C,C,C,B
Patient-centred KI level Patient-centred Total KI score,.,45.7,62.9,65.7,60,74.3
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",,E,D,D,D,C
Patient-centred SSNAP level Patient-centred SSNAP score,.,34.7,53.4,55.9,51.3,66.9
Team-centred Domain levels: 2) Stroke unit,C,E,D,D,C,B
Team-centred Domain levels: 5) Occupational therapy,C,B,B,C,B,A
Team-centred Domain levels: 6) Physiotherapy,B,A,C,C,C,B
Team-centred Domain levels: 7) Speech and Language therapy,C,B,B,C,C,C
Team-centred Domain levels: 9) Standards by discharge,Too few to report,E,D,B,B,A
Team-centred Domain levels: 10) Discharge processes,Too few to report,E,B,A,D,D
Team-centred KI level Team-centred Total KI level,C,D,C,C,C,B
Team-centred KI level Team-centred Total KI score,65,53.3,63.3,66.7,63.3,76.7
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,D,D,D,D,C
Team-centred SSNAP level Team-centred SSNAP score,58.5,40.5,53.8,56.7,54.2,69
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),23,33,34,36,40,46
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),1,1,1,1,1,1
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),0,0,3,9,17,11
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0,0,0.09,0.25,0.43,0.24
