SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01
SSNAP level,D,D,E,E,E,D,D,C,D,C,D,D,B,B,TFP,
SSNAP score,42,41,31.3,32.3,35,40,47,61,56.7,60.3,44.6,48.3,76.3,77,.,.
Case ascertainment band,A,A,B,B,A,A,A,A,A,A,B,A,A,A,,
Audit compliance band,A,A,A,A,A,A,A,A,A,A,A,A,A,A,TFP,
Combined Total Key Indicator level,D,D,E,E,E,D,D,C,D,C,D,D,B,B,TFP,
Combined Total Key Indicator score,42,41,33,34,35,40,47,61,56.7,60.3,47,48.3,76.3,77,.,.
Number of records completed: Team-centred post-72h all teams cohort,91,85,73,60,86,76,92,51,57,42,44,59,61,37,Too few to report,0
Patient-centred Domain levels: 1) Scanning,E,D,E,E,E,E,D,D,C,C,C,B,A,A,None entered,None entered
Patient-centred Domain levels: 2) Stroke unit,C,E,E,E,E,E,D,C,D,D,E,E,C,D,Too few to report,None entered
Patient-centred Domain levels: 3) Thrombolysis,D,C,D,E,D,E,D,D,D,D,E,E,C,D,None entered,None entered
Patient-centred Domain levels: 4) Specialist Assessments,D,D,E,E,E,E,D,D,E,E,E,D,B,C,None entered,None entered
Patient-centred Domain levels: 5) Occupational therapy,E,D,E,D,D,C,C,B,C,C,B,C,A,A,Too few to report,.
Patient-centred Domain levels: 6) Physiotherapy,D,D,D,D,D,C,C,B,C,D,D,D,B,B,Too few to report,.
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,D,E,B,B,A,E,C,C,B,Too few to report,.
Patient-centred Domain levels: 8) MDT working,D,E,E,E,E,E,E,C,E,D,D,C,B,D,Too few to report,None entered
Patient-centred Domain levels: 9) Standards by discharge,B,B,B,B,B,A,B,B,B,B,A,B,B,A,Too few to report,.
Patient-centred Domain levels: 10) Discharge processes,C,C,C,C,C,D,C,C,D,C,D,D,C,A,Too few to report,.
Patient-centred KI level Patient-centred Total KI level,D,D,E,E,E,D,D,C,D,D,D,D,B,B,TFP,
Patient-centred KI level Patient-centred Total KI score,42,42,34,34,36,40,46,62,50,54,44,50,76,74,.,.
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,E,E,E,D,D,C,D,D,D,D,B,B,TFP,
Patient-centred SSNAP level Patient-centred SSNAP score,42,42,32.3,32.3,36,40,46,62,50,54,41.8,50,76,74,.,.
Team-centred Domain levels: 1) Scanning,E,D,E,E,E,E,D,E,,,,,,,,
Team-centred Domain levels: 2) Stroke unit,C,E,E,E,E,E,D,C,B,B,D,D,B,C,Too few to report,.
Team-centred Domain levels: 3) Thrombolysis,D,C,E,E,D,E,D,.,,,,,,,,
Team-centred Domain levels: 4) Specialist Assessments,D,D,E,E,E,E,D,D,,,,,,,,
Team-centred Domain levels: 5) Occupational therapy,E,D,E,D,D,C,C,B,C,C,C,C,A,A,Too few to report,.
Team-centred Domain levels: 6) Physiotherapy,D,D,D,D,D,C,C,B,C,D,D,D,B,C,Too few to report,.
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,D,E,B,C,B,E,E,C,C,Too few to report,.
Team-centred Domain levels: 8) MDT working,D,E,E,E,E,E,D,D,,,,,,,,
Team-centred Domain levels: 9) Standards by discharge,B,C,B,B,B,A,B,B,B,B,A,B,B,A,Too few to report,.
Team-centred Domain levels: 10) Discharge processes,C,C,C,C,D,D,C,C,D,C,D,D,C,A,Too few to report,.
Team-centred KI level Team-centred Total KI level,D,D,E,E,E,D,D,C,C,C,D,D,B,B,TFP,
Team-centred KI level Team-centred Total KI score,42,40,32,34,34,40,48,60,63.3,66.7,50,46.7,76.7,80,.,.
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,D,E,E,E,D,D,C,C,C,D,D,B,B,TFP,
Team-centred SSNAP level Team-centred SSNAP score,42,40,30.4,32.3,34,40,48,60,63.3,66.7,47.5,46.7,76.7,80,.,.
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,107,110,135,127,117,118,106,122,149,111,120,126,133,129,109
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,1,1,1,1,1,1,1,0.97,0.79,0.84,0.83,0.79,76%,0.74
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,30,32,46,29,1,2,3,12,51,100,111,116,123,120,103
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.28,0.29,0.34,0.23,0.01,0.02,0.03,0.1,0.34,0.9,0.93,0.92,0.92,93%,0.94
