SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
  SSNAP level,E,E,D,D,D,C,C,B,C,D,D,D,D,D,D,D,D,C,B,C,C,D,C,B,C,B,B,B,C,C
  SSNAP score,25.6,37,51.3,58.9,54.2,64,64,72,69,55.1,47.4,50.8,57.9,49.5,58.7,58.9,57,69.1,70.3,66.8,62.7,57.0,69.6,74.4,64.6,72.9,73.1,78.5,63.7,62.0
  Case ascertainment band,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
  Audit compliance band,B,B,B,B,B,A,A,A,A,B,C,B,B,C,C,B,B,A,A,B,B,B,C,B,B,C,B,B,B,A
  Combined Total Key Indicator level,E,E,D,C,D,C,C,B,C,D,D,D,C,D,C,C,C,C,B,B,C,C,B,B,C,A,B,A,C,C
  Combined Total Key Indicator score,38.5,39,54,62,57,64,64,72,69,58,52.7,53.4,61,55,65.2,62,60,69.1,70.3,70.3,66.0,60.0,77.3,78.3,68.0,81.0,77.0,82.7,67.0,62.0
Number of records completed: Team-centred post-72h all teams cohort,83,103,117,111,130,108,137,129,130,164,123,133,128,122,136,111,102,104,84,82,99,90,76,67,87,66,57,64,74,80
Patient-centred Domain levels: 1) Scanning,D,D,D,C,C,C,C,C,B,D,D,D,C,D,C,C,B,B,C,C,C,D,B,B,A,B,B,A,B,C
Patient-centred Domain levels: 2) Stroke unit,D,D,D,D,D,C,D,C,C,E,E,E,E,E,E,D,C,D,E,E,E,E,D,D,D,C,D,C,E,E
Patient-centred Domain levels: 3) Thrombolysis,E,E,D,D,D,E,E,D,D,E,D,C,D,D,C,E,D,C,C,C,C,D,C,C,D,C,D,D,D,E
Patient-centred Domain levels: 4) Specialist Assessments,E,E,E,D,D,C,C,C,C,D,D,C,B,C,B,B,B,B,B,B,B,C,B,B,B,A,B,A,B,B
Patient-centred Domain levels: 5) Occupational therapy,Insufficient records,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,Insufficient records,D,B,A,B,B,A,A,A,A,B,B,A,A,A,A,A,B,A,B,B,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,Insufficient records,E,C,C,E,D,E,C,D,D,E,D,D,E,D,D,C,C,C,C,C,C,D,B,C,C,C,C,C,D
Patient-centred Domain levels: 8) MDT working,D,E,D,D,D,C,C,B,C,B,C,C,B,C,B,B,C,C,B,B,C,C,B,B,C,B,C,B,C,B
Patient-centred Domain levels: 9) Standards by discharge,Insufficient records,B,B,B,B,A,A,A,A,A,B,B,B,B,B,B,B,A,B,A,A,B,A,B,B,B,B,B,A,B
Patient-centred Domain levels: 10) Discharge processes,Insufficient records,E,D,C,C,C,C,C,C,C,D,D,C,D,D,D,D,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,E,E,D,C,D,C,C,B,B,C,D,D,C,D,C,C,B,B,B,B,B,C,B,B,B,A,B,A,B,C
Patient-centred KI level Patient-centred Total KI score,32,36,54,62,56,64,62,72,70,60,52,58,66,56,66.0,64,70,76.0,74.0,74.0,72.0,66.0,78.0,80.0,76.0,82.0,74.0,82.0,74.0,68.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,E,D,D,D,C,C,B,B,D,D,D,C,D,D,C,C,B,B,B,C,C,B,B,B,B,B,B,B,C
Patient-centred SSNAP level Patient-centred SSNAP score,21.3,34.2,51.3,58.9,53.2,64,62,72,70,57,46.8,55.1,62.7,50.4,59.4,60.8,66.5,76.0,74.0,70.3,68.4,62.7,70.2,76.0,72.2,73.8,70.3,77.9,70.3,68.0
Team-centred Domain levels: 1) Scanning,D,C,D,C,C,C,C,C,B,D,D,E,D,D,D,D,E,D,E,E,E,E,,,D,,,,E,E
Team-centred Domain levels: 2) Stroke unit,C,D,D,C,D,C,D,C,C,E,E,E,E,E,E,D,E,E,E,E,E,E,C,C,E,B,C,A,E,E
Team-centred Domain levels: 3) Thrombolysis,E,E,D,E,D,E,D,D,D,E,.,.,E,E,.,E,E,.,.,.,.,E,,,E,,,,E,E
Team-centred Domain levels: 4) Specialist Assessments,E,E,E,D,D,C,C,C,C,D,D,D,C,C,B,B,C,B,B,C,C,D,,,B,,,,B,C
Team-centred Domain levels: 5) Occupational therapy,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 6) Physiotherapy,B,D,B,A,B,B,A,A,A,A,A,B,A,A,A,A,A,B,A,B,B,B,A,A,A,A,A,A,A,B
Team-centred Domain levels: 7) Speech and Language therapy,D,D,C,C,D,D,D,C,D,D,E,E,E,E,E,E,E,E,D,D,D,D,E,E,E,E,E,E,E,D
Team-centred Domain levels: 8) MDT working,D,D,D,D,D,C,C,B,C,C,C,C,B,C,B,B,D,D,B,B,D,D,,,D,,,,D,D
Team-centred Domain levels: 9) Standards by discharge,Insufficient records,B,B,B,B,A,A,A,A,A,B,B,B,B,A,B,B,A,B,A,B,B,A,B,B,B,A,B,A,B
Team-centred Domain levels: 10) Discharge processes,Insufficient records,E,D,C,C,C,C,C,D,D,E,E,D,D,D,D,D,B,B,A,A,A,B,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,D,D,D,C,D,C,C,B,C,D,D,D,D,D,C,C,D,C,C,C,C,D,B,B,C,B,B,A,C,D
Team-centred KI level Team-centred Total KI score,45,42,54,62,58,64,66,72,68,56,53.3,48.9,56,54,64.4,60,50,62.2,66.7,66.7,60.0,54.0,76.7,76.7,60.0,80.0,80.0,83.3,60.0,56.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",E,E,D,D,D,C,C,B,C,D,D,D,D,D,D,D,D,C,C,C,D,D,C,B,D,B,B,B,D,D
Team-centred SSNAP level Team-centred SSNAP score,29.9,39.9,51.3,58.9,55.1,64,66,72,68,53.2,48,46.4,53.2,48.6,58.0,57,47.5,62.2,66.7,63.3,57.0,51.3,69.0,72.8,57.0,72.0,76.0,79.2,57.0,56.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,169,175,158,159,201,231,221,201,174,154,176,140,132,162,173,166,80,84,100,110,92,100,97,97,82,80,97,66,65
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,1,1,1,1,1,1,1,0.92,0.84,0.84,0.82,0.86,89%,0.91,0.9,90%,89%,87%,87%,84%,86%,86%,84%,85%,88%,87%,81%,81%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,0,2,1,0,1,1,1,0,43,124,142,106,82,88,88,103,63,67,77,88,75,79,78,77,56,63,86,56,56
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0,0.01,0.01,0,0,0,0,0,0.25,0.81,0.81,0.76,0.62,54%,0.51,0.62,79%,80%,77%,80%,82%,79%,80%,79%,68%,79%,89%,85%,86%
