SSNAP Scoring Summary:,2014-07-01,2015-10-01,2018-10-01,2019-01-01,2019-07-01,2019-10-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
  SSNAP level,D,D,C,C,B,C,C,D,D,D,C,B,D,B,C,B,B,B
  SSNAP score,55.8,58.3,68.2,61.3,70.4,67.6,60.3,59.1,59.0,58.6,65.6,76.0,56.8,73.8,68.1,77.8,70.3,75.7
  Case ascertainment band,A,A,A,A,A,A,A,A,A,B,A,A,B,A,B,A,A,A
  Audit compliance band,E,E,D,D,D,E,D,D,E,D,C,A,C,A,B,B,B,A
  Combined Total Key Indicator level,C,B,A,B,A,A,B,C,B,B,B,B,C,B,B,A,B,B
  Combined Total Key Indicator score,69.8,72.9,80.2,72.1,82.9,84.5,71.0,69.5,73.8,72.6,72.9,76.0,66.4,73.8,75.5,81.9,74.0,75.7
Number of records completed: Team-centred post-72h all teams cohort,24,25,25,32,23,25,34,32,22,24,22,26,27,30,31,34,26,29
Patient-centred Domain levels: 2) Stroke unit,A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 5) Occupational therapy,C,C,B,C,C,C,D,E,C,D,D,D,D,C,C,C,C,C
Patient-centred Domain levels: 6) Physiotherapy,B,B,B,B,A,A,B,C,C,C,C,C,C,B,B,B,C,B
Patient-centred Domain levels: 7) Speech and Language therapy,E,C,C,C,C,C,D,C,C,D,E,D,C,C,C,C,C,C
Patient-centred Domain levels: 8) MDT working,E,E,C,C,A,B,E,E,D,D,D,D,E,E,D,D,E,E
Patient-centred Domain levels: 9) Standards by discharge,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 10) Discharge processes,A,B,C,C,B,A,A,A,A,A,A,A,C,A,B,A,A,B
Patient-centred KI level Patient-centred Total KI level,C,C,B,B,A,A,C,C,B,C,C,C,C,B,B,B,B,B
Patient-centred KI level Patient-centred Total KI score,62.9,65.7,77.1,74.3,85.7,85.7,68.6,65.7,74.3,68.6,65.7,68.6,62.9,74.3,74.3,77.1,71.4,71.4
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,C,C,B,C,D,D,D,D,D,C,D,B,C,B,C,B
Patient-centred SSNAP level Patient-centred SSNAP score,50.3,52.6,65.6,63.1,72.9,68.6,58.3,55.9,59.4,55.4,59.1,68.6,53.7,74.3,67.0,73.3,67.9,71.4
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,C,D,B,C,C,C,D,E,C,C,C,C,C,D,C,C,D,D
Team-centred Domain levels: 6) Physiotherapy,A,A,B,B,A,A,B,B,C,B,B,A,B,B,A,A,C,A
Team-centred Domain levels: 7) Speech and Language therapy,E,C,B,E,D,D,E,D,E,E,D,D,E,E,E,C,C,C
Team-centred Domain levels: 9) Standards by discharge,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 10) Discharge processes,A,B,C,C,B,A,A,A,A,A,A,A,C,A,B,A,A,B
Team-centred KI level Team-centred Total KI level,B,B,A,B,B,A,B,B,B,B,B,A,B,B,B,A,B,B
Team-centred KI level Team-centred Total KI score,76.7,80,83.3,70,80,83.3,73.3,73.3,73.3,76.7,80.0,83.3,70.0,73.3,76.7,86.7,76.7,80.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",C,C,B,D,C,C,C,C,D,C,B,A,D,B,C,A,B,B
Team-centred SSNAP level Team-centred SSNAP score,61.3,64,70.8,59.5,68,66.7,62.3,62.3,58.7,61.9,72.0,83.3,59.8,73.3,69.2,82.3,72.8,80.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),52,51,38,43,58,51,34,44,66,51,39,45,38,33,30,30,37,45
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),1,1,1,1,0.98,1,89%,80%,79%,77%,76%,75%,72%,69%,60%,60%,69%,67%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),0,0,3,8,5,8,1,5,9,5,6,7,5,3,6,6,5,9
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0,0,0.08,0.19,0.09,0.16,3%,11%,14%,10%,15%,16%,13%,9%,20%,20%,14%,20%
