SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01
SSNAP level,E,E,D,D,C,C,D,C,D,D,C,B,B,B
SSNAP score,31.6,38.9,48.7,52.3,63.2,62.3,54.7,63.7,54.2,54.9,69,71,79,73
Case ascertainment band,B,A,B,B,B,B,B,A,A,A,A,A,A,A
Audit compliance band,B,B,B,B,B,B,C,B,B,C,A,A,A,A
Combined Total Key Indicator level,E,D,D,D,B,C,C,C,D,C,C,B,B,B
Combined Total Key Indicator score,35,41,54,58,70,69,64,67,57,61,69,71,79,73
Number of records completed: Team-centred post-72h all teams cohort,112,124,105,119,109,115,111,132,160,144,166,170,194,177
Patient-centred Domain levels: 1) Scanning,E,D,D,E,C,C,C,C,C,C,C,C,C,C
Patient-centred Domain levels: 2) Stroke unit,D,D,C,C,C,B,C,C,C,C,D,E,C,D
Patient-centred Domain levels: 3) Thrombolysis,D,D,D,C,B,C,D,C,D,D,E,E,C,D
Patient-centred Domain levels: 4) Specialist Assessments,E,E,D,D,D,D,D,D,E,D,B,B,B,B
Patient-centred Domain levels: 5) Occupational therapy,C,C,C,D,B,C,B,A,B,C,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,D,D,C,B,C,C,B,B,C,B,B,A,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,C,B,B,B,B,C,C,C,D,C,C,D
Patient-centred Domain levels: 8) MDT working,E,E,D,D,D,D,D,D,D,D,B,B,B,C
Patient-centred Domain levels: 9) Standards by discharge,D,B,B,B,A,A,B,A,B,B,B,A,A,A
Patient-centred Domain levels: 10) Discharge processes,D,D,C,B,A,A,B,C,B,B,B,B,B,A
Patient-centred KI level Patient-centred Total KI level,E,D,D,D,B,C,C,C,D,C,C,B,B,B
Patient-centred KI level Patient-centred Total KI score,34,40,54,58,70,68,64,66,58,60,66,70,78,72
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,E,D,D,C,C,D,C,D,D,C,B,B,B
Patient-centred SSNAP level Patient-centred SSNAP score,30.7,38,48.7,52.3,63.2,61.4,54.7,62.7,55.1,54,66,70,78,72
Team-centred Domain levels: 1) Scanning,E,D,D,E,C,C,C,C,C,D,C,C,C,C
Team-centred Domain levels: 2) Stroke unit,D,D,C,C,C,B,C,C,D,C,D,E,C,D
Team-centred Domain levels: 3) Thrombolysis,D,D,D,C,B,B,D,D,D,D,E,E,C,D
Team-centred Domain levels: 4) Specialist Assessments,E,E,D,D,D,D,D,D,E,D,B,B,B,B
Team-centred Domain levels: 5) Occupational therapy,C,C,C,D,B,C,B,A,C,B,A,A,A,A
Team-centred Domain levels: 6) Physiotherapy,D,D,C,B,C,C,B,A,B,A,A,A,A,A
Team-centred Domain levels: 7) Speech and Language therapy,E,E,C,B,B,B,B,C,D,D,C,C,C,C
Team-centred Domain levels: 8) MDT working,D,D,D,D,D,D,D,C,D,D,B,B,B,C
Team-centred Domain levels: 9) Standards by discharge,D,B,B,B,A,A,B,A,A,A,B,A,A,A
Team-centred Domain levels: 10) Discharge processes,D,D,C,B,A,A,B,C,B,B,A,A,A,A
Team-centred KI level Team-centred Total KI level,E,D,D,D,B,B,C,C,D,C,B,B,B,B
Team-centred KI level Team-centred Total KI score,36,42,54,58,70,70,64,68,56,62,72,72,80,74
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",E,E,D,D,C,C,D,C,D,D,B,B,B,B
Team-centred SSNAP level Team-centred SSNAP score,32.5,39.9,48.7,52.3,63.2,63.2,54.7,64.6,53.2,55.8,72,72,80,74
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,40,142,203,207,206,197,184,191,198,185,235,273,265
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,0.98,0.99,1,1,1,0.99,1,1,1,0.77,0.76,0.77,0.81
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,10,33,26,9,0,0,1,2,57,136,186,234,226
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.25,0.23,0.13,0.04,0,0,0.01,0.01,0.29,0.74,0.79,0.86,0.85
