SSNAP Scoring Summary:,2019-01-01
  SSNAP level,B
  SSNAP score,78.9
  Case ascertainment band,A
  Audit compliance band,E
  Combined Total Key Indicator level,A
  Combined Total Key Indicator score,98.6
Number of records completed: Team-centred post-72h all teams cohort,22
Patient-centred Domain levels: 2) Stroke unit,A
Patient-centred Domain levels: 5) Occupational therapy,A
Patient-centred Domain levels: 6) Physiotherapy,A
Patient-centred Domain levels: 7) Speech and Language therapy,A
Patient-centred Domain levels: 8) MDT working,B
Patient-centred Domain levels: 9) Standards by discharge,A
Patient-centred Domain levels: 10) Discharge processes,A
Patient-centred KI level Patient-centred Total KI level,A
Patient-centred KI level Patient-centred Total KI score,97.1
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",B
Patient-centred SSNAP level Patient-centred SSNAP score,77.7
Team-centred Domain levels: 2) Stroke unit,A
Team-centred Domain levels: 5) Occupational therapy,A
Team-centred Domain levels: 6) Physiotherapy,A
Team-centred Domain levels: 7) Speech and Language therapy,A
Team-centred Domain levels: 9) Standards by discharge,A
Team-centred Domain levels: 10) Discharge processes,A
Team-centred KI level Team-centred Total KI level,A
Team-centred KI level Team-centred Total KI score,100
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",B
Team-centred SSNAP level Team-centred SSNAP score,80
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),23
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),0.92
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),22
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0.96
