SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
SSNAP level,D,D,D,D,C,C,C,A,B,B,A,A,A,A,A,A,A,A,A,B,A,A,B,B,B,A,A,C,B,C
SSNAP score,54,46.2,57.8,54.4,62.9,62.1,65.9,84,79,76,84,90,88,88,89.0,92,95,90.0,85.0,76.0,84.0,81.0,79.0,75.0,79.0,83.0,84.0,63.0,70.0,69.0
Case ascertainment band,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,C,C,D,D,D,C,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Combined Total Key Indicator level,C,D,C,C,B,C,B,A,B,B,A,A,A,A,A,A,A,A,A,B,A,A,B,B,B,A,A,C,B,C
Combined Total Key Indicator score,60,54,68,64,74,69,73,84,79,76,84,90,88,88,89.0,92,95,90.0,85.0,76.0,84.0,81.0,79.0,75.0,79.0,83.0,84.0,63.0,70.0,69.0
Number of records completed: Team-centred post-72h all teams cohort,130,105,111,127,102,113,100,111,133,126,116,145,156,143,140,135,154,188,147,190,167,164,177,179,189,193,165,181,215,197
Patient-centred Domain levels: 1) Scanning,B,C,B,B,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,B,A,C,B,B,A,A,A,B,A,A
Patient-centred Domain levels: 2) Stroke unit,C,C,C,C,B,C,B,B,B,B,B,B,C,C,B,B,B,B,C,C,C,C,C,D,E,C,D,E,E,D
Patient-centred Domain levels: 3) Thrombolysis,C,C,C,C,A,B,A,A,A,B,A,B,C,B,B,B,B,B,B,B,B,B,C,C,C,B,B,B,B,A
Patient-centred Domain levels: 4) Specialist Assessments,C,D,C,C,B,B,B,B,B,B,A,A,A,A,A,A,A,B,B,B,B,B,B,C,B,B,B,C,B,B
Patient-centred Domain levels: 5) Occupational therapy,B,C,A,C,C,C,C,B,B,B,C,A,A,A,A,A,A,A,A,C,B,A,A,A,A,A,A,C,C,C
Patient-centred Domain levels: 6) Physiotherapy,B,C,A,B,B,C,C,B,B,B,B,A,A,B,B,B,A,A,B,B,A,A,A,A,B,B,A,C,B,B
