SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
SSNAP level,E,D,E,E,D,E,D,D,D,B,C,B,A,A,A,B,B,A,B,C,C,C,B,C,C,C,B,B,D,C
SSNAP score,37.6,41.3,30.8,36.8,45,36.7,46.2,46.8,54.9,72,68,77,89,88,86.0,79,76,84.0,79.0,61.0,69.0,67.0,71.0,67.5,62.7,66.0,71.0,70.0,53.2,64.0
Case ascertainment band,B,C,B,B,A,C,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,C,C,C,C,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,B,A
Combined Total Key Indicator level,D,D,E,D,D,D,D,D,C,B,C,B,A,A,A,B,B,A,B,C,C,C,B,B,C,C,B,B,D,C
Combined Total Key Indicator score,44,54,36,43,50,48,54,52,61,80,68,77,89,88,86.0,79,76,84.0,79.0,61.0,69.0,67.0,71.0,71.0,66.0,66.0,71.0,70.0,56.0,64.0
Number of records completed: Team-centred post-72h all teams cohort,113,103,134,129,123,91,101,161,150,155,143,158,182,168,158,168,176,166,175,168,168,192,198,199,217,231,212,220,198,176
Patient-centred Domain levels: 1) Scanning,E,C,D,D,D,D,D,C,D,C,C,B,A,A,A,B,A,B,B,C,C,B,B,B,C,C,C,B,C,B
Patient-centred Domain levels: 2) Stroke unit,D,C,D,D,C,C,C,D,C,C,C,C,B,C,D,D,E,D,E,E,E,E,E,E,E,E,D,D,E,E
Patient-centred Domain levels: 3) Thrombolysis,D,B,D,B,C,D,D,B,C,B,B,C,A,B,B,B,B,B,B,D,C,C,D,C,D,D,C,C,C,C
Patient-centred Domain levels: 4) Specialist Assessments,C,B,C,B,C,C,C,D,C,B,D,C,A,B,B,B,C,B,B,C,B,B,B,B,C,C,B,B,D,C
Patient-centred Domain levels: 5) Occupational therapy,B,C,E,E,D,E,C,C,B,A,A,A,A,A,A,A,A,A,A,C,C,C,B,C,B,C,B,B,C,B
Patient-centred Domain levels: 6) Physiotherapy,D,D,E,E,D,D,B,C,D,B,D,B,B,B,A,B,B,A,A,A,B,A,A,B,A,A,A,A,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,D,D,D,D,D,D,C,C,C,C,C,B,C,B,B,B,B,B,B,C,C,D,D,C,C,D,D,C,D,C
Patient-centred Domain levels: 8) MDT working,E,E,E,E,D,D,D,D,C,B,C,C,B,A,B,C,C,B,B,C,B,C,C,B,C,B,B,B,C,B
Patient-centred Domain levels: 9) Standards by discharge,D,D,D,C,C,B,B,D,B,A,B,B,B,A,A,B,B,A,B,D,A,B,A,A,B,A,B,E,E,E
Patient-centred Domain levels: 10) Discharge processes,C,C,D,D,C,C,D,D,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,D,D,E,D,D,D,D,D,C,B,C,B,A,A,A,B,B,A,B,C,B,C,B,B,C,C,B,B,D,C
Patient-centred KI level Patient-centred Total KI score,44,54,36,44,50,48,56,52,62,80,68,76,88,88,86.0,78,76,84.0,80.0,60.0,70.0,68.0,70.0,72.0,66.0,66.0,72.0,70.0,56.0,66.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,D,E,E,D,E,D,D,D,B,C,B,A,A,A,B,B,A,B,C,B,C,B,C,C,C,B,B,D,C
Patient-centred SSNAP level Patient-centred SSNAP score,37.6,41.3,30.8,37.6,45,36.7,47.9,46.8,55.8,72,68,76,88,88,86.0,78,76,84.0,80.0,60.0,70.0,68.0,70.0,68.4,62.7,66.0,72.0,70.0,53.2,66.0
Team-centred Domain levels: 1) Scanning,E,C,D,D,D,D,D,C,D,C,C,B,A,A,A,B,B,B,B,C,C,B,B,C,C,C,C,B,C,B
Team-centred Domain levels: 2) Stroke unit,D,C,D,D,C,C,C,D,C,C,C,C,B,C,D,D,E,D,E,E,E,E,E,E,E,E,D,D,E,E
Team-centred Domain levels: 3) Thrombolysis,D,B,D,C,C,D,D,B,C,B,B,C,A,B,B,B,B,B,B,D,C,C,D,C,D,D,D,C,C,C
Team-centred Domain levels: 4) Specialist Assessments,C,B,C,B,C,C,C,D,C,B,D,C,A,B,B,B,C,B,B,C,C,B,B,B,C,C,B,B,D,C
Team-centred Domain levels: 5) Occupational therapy,B,C,E,E,D,E,C,C,C,A,B,A,A,A,A,A,A,A,A,C,C,C,B,C,B,C,B,B,C,B
Team-centred Domain levels: 6) Physiotherapy,D,D,E,E,D,D,C,C,D,B,D,B,B,B,A,B,B,A,A,A,B,B,A,B,A,A,A,A,A,B
Team-centred Domain levels: 7) Speech and Language therapy,D,D,D,D,D,D,D,C,C,C,C,B,C,B,B,B,B,B,B,C,C,D,D,C,C,D,D,C,D,D
Team-centred Domain levels: 8) MDT working,E,E,E,E,D,D,D,D,B,B,B,B,A,A,B,B,B,B,B,B,B,C,B,B,C,B,B,B,C,B
Team-centred Domain levels: 9) Standards by discharge,D,D,D,C,C,B,B,D,C,A,B,B,B,A,A,B,B,A,C,D,A,B,A,A,B,A,B,E,E,E
Team-centred Domain levels: 10) Discharge processes,C,C,D,D,C,C,D,D,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,D,D,E,D,D,D,D,D,C,B,C,B,A,A,A,B,B,A,B,C,C,C,B,B,C,C,B,B,D,C
Team-centred KI level Team-centred Total KI score,44,54,36,42,50,48,52,52,60,80,68,78,90,88,86.0,80,76,84.0,78.0,62.0,68.0,66.0,72.0,70.0,66.0,66.0,70.0,70.0,56.0,62.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",E,D,E,E,D,E,D,D,D,B,C,B,A,A,A,B,B,A,B,C,C,C,B,C,C,C,B,B,D,C
