SSNAP Scoring Summary:,2014-04-01,2014-07-01
SSNAP level,D,C
SSNAP score,58.1,68
Case ascertainment band,A,A
Audit compliance band,E,E
Combined Total Key Indicator level,B,A
Combined Total Key Indicator score,72.6,85
Number of records completed: Team-centred post-72h all teams cohort,20,20
Patient-centred Domain levels: 2) Stroke unit,A,A
Patient-centred Domain levels: 5) Occupational therapy,B,A
Patient-centred Domain levels: 6) Physiotherapy,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,C,A
Patient-centred Domain levels: 8) MDT working,E,E
Patient-centred Domain levels: 9) Standards by discharge,B,B
Patient-centred Domain levels: 10) Discharge processes,D,C
Patient-centred KI level Patient-centred Total KI level,C,B
Patient-centred KI level Patient-centred Total KI score,68.6,80
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,C
Patient-centred SSNAP level Patient-centred SSNAP score,54.9,64
Team-centred Domain levels: 2) Stroke unit,A,A
Team-centred Domain levels: 5) Occupational therapy,B,A
Team-centred Domain levels: 6) Physiotherapy,A,A
Team-centred Domain levels: 7) Speech and Language therapy,C,A
Team-centred Domain levels: 9) Standards by discharge,B,B
Team-centred Domain levels: 10) Discharge processes,D,C
Team-centred KI level Team-centred Total KI level,B,A
Team-centred KI level Team-centred Total KI score,76.7,90
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",C,B
Team-centred SSNAP level Team-centred SSNAP score,61.3,72
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),18,36
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),1,0.97
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),0,0
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0,0
