SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01
  SSNAP level,E,D,D,D,D,D,D,D,D
  SSNAP score,29.7,44.4,51,57,51.4,55,50,49.9,41.3
  Case ascertainment band,E,C,A,A,A,A,B,A,C
  Audit compliance band,C,D,D,C,C,D,D,C,D
  Combined Total Key Indicator level,D,C,C,C,D,C,C,D,D
  Combined Total Key Indicator score,55,61.4,60,63.3,57.1,64.8,61.9,55.5,57.1
Number of records completed: Team-centred post-72h all teams cohort,21,25,29,35,28,29,25,23,24
Patient-centred Domain levels: 2) Stroke unit,Insufficient records,A,A,B,A,A,B,A,A
Patient-centred Domain levels: 5) Occupational therapy,Insufficient records,C,C,C,C,C,C,C,C
Patient-centred Domain levels: 6) Physiotherapy,Insufficient records,C,B,B,C,C,C,C,D
Patient-centred Domain levels: 7) Speech and Language therapy,Insufficient records,C,D,D,D,C,D,D,E
Patient-centred Domain levels: 8) MDT working,Insufficient records,D,E,D,E,E,E,E,D
Patient-centred Domain levels: 9) Standards by discharge,Insufficient records,C,C,B,C,B,B,D,B
Patient-centred Domain levels: 10) Discharge processes,Insufficient records,C,C,D,D,C,C,C,D
Patient-centred KI level Patient-centred Total KI level,Insufficient records,C,C,C,D,C,D,D,D
Patient-centred KI level Patient-centred Total KI score,.,62.9,60,60,54.3,62.9,57.1,54.3,54.3
Patient-centred SSNAP level Patient-centred SSNAP score,.,45.4,51,54,48.9,53.4,46.1,48.9,39.2
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,C,C,C,B,C,C,C,D,C
Team-centred Domain levels: 6) Physiotherapy,D,C,B,B,B,B,C,C,C
Team-centred Domain levels: 7) Speech and Language therapy,E,D,E,D,D,D,D,E,E
Team-centred Domain levels: 9) Standards by discharge,Insufficient records,D,D,C,D,C,B,C,B
Team-centred Domain levels: 10) Discharge processes,Insufficient records,C,C,D,D,C,C,C,D
Team-centred KI level Team-centred Total KI level,D,C,C,C,C,C,C,D,C
Team-centred KI level Team-centred Total KI score,55,60,60,66.7,60,66.7,66.7,56.7,60
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",E,D,D,C,D,D,D,D,D
Team-centred SSNAP level Team-centred SSNAP score,29.7,43.4,51,60,54,56.7,53.8,51,43.4
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",,D,D,D,D,D,D,D,E
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,11,25,52,47,49,49,41,51
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,1,0.96,0.9,0.94,0.92,0.89,0.93
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,0,6,21,22,25,23,16,19
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0,0.24,0.4,0.47,0.51,0.47,0.39,0.37
