SSNAP Scoring Summary:,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
SSNAP level,D,D,D,D,B,C,B,B,B,A,B,A,A,A,B,C,B,D,B,B,B,C,B,C,B,B,A
SSNAP score,43.1,49.3,44.8,53.9,70.5,61.5,71.8,76.3,79.2,83.1,77.8,81.7,83.1,81.9,76.2,66.8,71.0,57.2,71.0,70.3,71.2,66.0,71.5,67.4,78.7,78.6,80.3
Case ascertainment band,A,A,B,B,A,A,A,B,A,A,B,A,A,A,A,A,A,B,A,B,A,A,B,A,A,A,A
Audit compliance band,D,B,C,B,C,D,D,B,B,A,B,A,A,B,B,D,A,A,A,A,A,A,A,A,B,A,B
Combined Total Key Indicator level,D,D,D,D,B,B,A,A,A,A,A,A,A,A,A,B,B,C,B,B,B,C,B,C,A,B,A
Combined Total Key Indicator score,50.7,51.9,52.4,59.8,78.3,72.4,84.5,84.5,83.3,83.1,86.2,81.7,83.1,86.2,80.2,78.6,71.0,60.2,71.0,74.0,71.2,66.0,75.2,67.4,82.9,78.6,84.5
Number of records completed: Team-centred post-72h all teams cohort,32,34,26,39,35,33,29,37,42,40,33,44,37,36,44,41,46,35,44,43,76,71,49,66,75,59,58
Patient-centred Domain levels: 2) Stroke unit,B,B,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,C,B,A,B,C,B,C,B,C,B
Patient-centred Domain levels: 5) Occupational therapy,C,C,C,B,A,A,A,A,A,A,A,A,A,A,B,B,C,C,C,B,C,B,B,C,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,C,C,D,D,B,B,A,A,A,B,B,B,B,B,B,B,C,D,C,B,B,C,B,B,B,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,E,D,E,D,C,D,C,B,C,A,A,A,B,B,C,C,D,E,D,E,E,D,D,C,B,C,B
Patient-centred Domain levels: 8) MDT working,E,D,D,D,B,D,B,C,C,D,C,D,C,B,E,E,E,E,D,E,E,D,C,D,C,D,C
