SSNAP Scoring Summary:,2014-04-01,2015-10-01,2018-07-01,2018-10-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2023-07-01,2024-01-01,2024-04-01
SSNAP level,D,C,B,A,A,A,A,A,TFP,TFP,D
SSNAP score,57.3,68,75.7,81.4,80.1,82.6,88.6,91.7,.,.,52.0
Case ascertainment band,A,A,A,A,A,A,A,A,,B,A
Audit compliance band,D,D,D,C,C,A,A,A,TFP,A,D
Combined Total Key Indicator level,C,B,A,A,A,A,A,A,TFP,TFP,C
Combined Total Key Indicator score,67.4,80,89,90.5,89.0,82.6,88.6,91.7,.,.,61.2
Number of records completed: Team-centred post-72h all teams cohort,20,23,27,24,24,21,20,20,Too few to report,20,25
Patient-centred Domain levels: 2) Stroke unit,B,B,A,A,A,A,A,A,E,Too few to report,E
Patient-centred Domain levels: 5) Occupational therapy,B,A,A,A,A,A,A,A,C,Too few to report,C
Patient-centred Domain levels: 6) Physiotherapy,D,A,A,A,A,A,A,A,B,Too few to report,B
Patient-centred Domain levels: 7) Speech and Language therapy,C,B,C,C,C,C,B,A,B,Too few to report,C
Patient-centred Domain levels: 8) MDT working,D,D,A,A,B,B,A,A,C,Too few to report,C
Patient-centred Domain levels: 9) Standards by discharge,A,C,B,A,A,B,A,A,B,Too few to report,B
Patient-centred Domain levels: 10) Discharge processes,A,A,A,A,A,A,A,A,B,Too few to report,A
Patient-centred KI level Patient-centred Total KI level,B,B,A,A,A,A,A,A,Not included in scoring,TFP,C
Patient-centred KI level Patient-centred Total KI score,71.4,80,91.4,94.3,91.4,88.6,97.1,100.0,.,.,65.7
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",C,C,B,A,A,A,A,A,,TFP,D
Patient-centred SSNAP level Patient-centred SSNAP score,60.7,68,77.7,84.9,82.3,88.6,97.1,100.0,.,.,55.9
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,A,A,Too few to report,E,E
Team-centred Domain levels: 5) Occupational therapy,D,A,A,A,A,B,B,B,Too few to report,E,D
Team-centred Domain levels: 6) Physiotherapy,E,B,A,A,A,B,B,A,Too few to report,D,C
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,E,E,Too few to report,E,E
Team-centred Domain levels: 9) Standards by discharge,A,B,A,A,A,B,A,A,Too few to report,Too few to report,A
Team-centred Domain levels: 10) Discharge processes,A,A,A,A,A,A,A,A,Too few to report,Too few to report,A
Team-centred KI level Team-centred Total KI level,C,B,A,A,A,B,B,A,Too few to report,TFP,D
Team-centred KI level Team-centred Total KI score,63.3,80,86.7,86.7,86.7,76.7,80,83.3,.,.,56.7
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,C,B,B,B,B,B,A,,TFP,D
Team-centred SSNAP level Team-centred SSNAP score,53.8,68,73.7,78,78.0,76.7,80,83.3,.,.,48.2
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),35,42,26,33,38,37,33,40,26,39,30
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),1,1,0.63,0.79,83%,0.84,0.92,95%,100%,98%,91%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),0,0,14,17,24,20,24,9,10,16,11
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0,0,0.54,0.52,63%,0.54,0.73,23%,38%,41%,37%
