SSNAP Scoring Summary:,2014-07-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
  SSNAP level,E,E,C,E,C,C,B,B,B,C,A,B,B,D,C,C,B,C,C,C,C,D,C,C,C,B
  SSNAP score,38.1,36.3,65.1,39.2,60.3,64.4,70.8,73.3,77.6,69.2,87.8,77.6,74.7,59.9,61.5,67.6,75.0,66.8,65.2,66.8,62.5,59.0,67.9,69.2,62.1,70.3
  Case ascertainment band,D,D,A,D,A,B,A,A,A,A,A,B,A,C,A,A,A,A,A,A,B,A,A,A,A,A
  Audit compliance band,E,E,C,D,D,D,D,C,C,D,B,A,D,C,E,E,C,D,D,D,C,E,C,D,C,B
  Combined Total Key Indicator level,C,C,B,C,B,B,A,A,A,A,A,A,A,B,B,A,A,B,B,B,B,B,B,A,C,B
  Combined Total Key Indicator score,68.1,64.8,72.4,66,71,79.8,83.3,81.4,86.2,81.4,92.4,81.7,87.9,78.3,76.9,84.5,83.3,78.6,76.7,78.6,73.1,73.8,75.5,81.4,69.0,74.0
Number of records completed: Team-centred post-72h all teams cohort,32,24,35,22,39,33,36,39,35,39,39,33,43,29,37,42,41,35,31,37,31,40,30,35,29,27
Patient-centred Domain levels: 2) Stroke unit,B,A,A,A,A,A,A,A,A,B,A,B,A,A,B,A,A,A,A,B,C,A,A,A,A,A
Patient-centred Domain levels: 5) Occupational therapy,A,A,B,C,D,C,B,A,A,A,A,A,A,B,B,A,A,A,C,A,C,C,B,A,C,C
Patient-centred Domain levels: 6) Physiotherapy,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,B,B,B,B,B,B,B,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,D,E,D,C,C,D,C,C,B,C,B,C,B,B,C,C,B,C,C,D,C,C,C,D
Patient-centred Domain levels: 8) MDT working,E,E,D,C,D,A,D,C,C,B,B,C,C,B,D,C,D,D,C,D,E,D,D,D,D,D
Patient-centred Domain levels: 9) Standards by discharge,B,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,B,A,A,B,A,B,A,A,A
Patient-centred Domain levels: 10) Discharge processes,B,E,C,C,B,B,A,A,A,B,A,B,A,C,B,C,C,B,B,B,B,A,B,A,C,B
Patient-centred KI level Patient-centred Total KI level,C,C,B,C,C,A,B,A,A,A,A,B,A,B,B,A,B,B,B,B,C,B,B,A,B,B
Patient-centred KI level Patient-centred Total KI score,62.9,62.9,71.4,68.6,68.6,82.9,80,82.9,85.7,82.9,91.4,80,85.7,80.0,77.1,85.7,80.0,77.1,80.0,77.1,62.9,74.3,74.3,82.9,71.4,71.4
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,E,C,D,D,C,C,B,B,B,A,B,B,C,C,C,B,C,C,C,D,D,C,B,C,C
Patient-centred SSNAP level Patient-centred SSNAP score,35.2,35.2,64.3,40.8,58.3,66.9,68,74.6,77.1,70.4,86.9,76,72.9,61.2,61.7,68.6,72.0,65.6,68.0,65.6,53.7,59.4,66.9,70.4,64.3,67.9
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,A,A,B,D,C,C,B,B,B,B,A,B,A,C,C,A,A,A,C,A,C,C,B,B,C,B
Team-centred Domain levels: 6) Physiotherapy,C,B,B,C,B,B,B,B,B,B,B,B,B,B,C,A,A,B,B,B,B,B,B,B,C,B
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,D,C,E,C,D,B,C,C,C,C,D,C,D,D,E,B,E,E,E,E,E
Team-centred Domain levels: 9) Standards by discharge,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A
