SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
  SSNAP level,B,B,B,B,B,C,B,B,B,B,A,A,A,A,A,A,A,A,A,B,A,B,A,B,B,A,A,A,B,A
  SSNAP score,73.8,75,74.7,77.9,78,68,72,79,79,72,86,91,88,86,89.0,92,94,92.0,83.6,77.0,81.0,79.0,84.0,76.0,76.0,85.0,84.0,84.0,80.0,82.0
  Case ascertainment band,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
  Audit compliance band,C,B,C,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A
  Combined Total Key Indicator level,A,B,A,A,B,C,B,B,B,B,A,A,A,A,A,A,A,A,A,B,A,B,A,B,B,A,A,A,B,A
  Combined Total Key Indicator score,82,79,83,82,78,68,72,79,79,72,86,91,88,86,89.0,92,94,92.0,88.0,77.0,81.0,79.0,84.0,76.0,76.0,85.0,84.0,84.0,80.0,82.0
Number of records completed: Team-centred post-72h all teams cohort,115,141,145,158,147,161,159,136,145,153,155,161,158,148,164,166,180,184,180,167,171,155,160,160,168,194,176,169,173,149
Patient-centred Domain levels: 1) Scanning,A,A,A,A,A,A,A,B,A,A,A,A,B,A,A,A,A,A,A,B,A,A,A,B,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,C,C,C,C,C,E,D,C,C,D,C,C,B,C,C,C,C,C,C,E,D,E,C,D,E,D,D,D,E,D
Patient-centred Domain levels: 3) Thrombolysis,B,B,B,B,B,C,B,B,B,C,B,A,B,B,C,B,B,B,B,C,C,B,C,D,D,B,B,C,C,B
Patient-centred Domain levels: 4) Specialist Assessments,B,B,B,B,B,B,B,B,B,B,B,A,A,B,A,A,A,A,B,B,A,A,B,B,B,A,A,B,A,A
Patient-centred Domain levels: 5) Occupational therapy,A,A,A,A,A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,C
Patient-centred Domain levels: 6) Physiotherapy,A,A,A,A,A,B,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,D,D,D,C,C,C,C,D,C,D,C,C,C,C,C,B,A,A,C,D,C,D,C,C,C,B,B,B,B,C
Patient-centred Domain levels: 8) MDT working,B,C,B,C,C,D,C,C,C,C,A,A,A,A,A,A,A,A,A,B,B,B,A,B,B,B,B,A,B,B
Patient-centred Domain levels: 9) Standards by discharge,B,B,B,B,C,C,C,B,C,C,B,B,B,B,A,A,A,B,A,A,B,B,B,B,A,B,B,A,B,A
Patient-centred Domain levels: 10) Discharge processes,A,B,A,B,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,A,B,A,B,B,C,B,B,B,B,A,A,A,A,A,A,A,A,A,B,A,B,A,B,B,A,A,A,B,B
Patient-centred KI level Patient-centred Total KI score,82,78,82,80,78,66,74,78,80,72,86,90,88,86,88.0,92,94,92.0,88.0,76.0,82.0,80.0,84.0,76.0,76.0,86.0,84.0,84.0,78.0,80.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",B,B,B,B,B,C,B,B,B,B,A,A,A,A,A,A,A,A,A,B,A,B,A,B,B,A,A,A,B,B
Patient-centred SSNAP level Patient-centred SSNAP score,73.8,74.1,73.8,76,78,66,74,78,80,72,86,90,88,86,88.0,92,94,92.0,83.6,76.0,82.0,80.0,84.0,76.0,76.0,86.0,84.0,84.0,78.0,80.0
Team-centred Domain levels: 1) Scanning,A,A,A,A,A,A,A,B,A,A,A,A,B,A,A,A,A,A,A,C,A,A,A,B,A,A,A,A,A,A
Team-centred Domain levels: 2) Stroke unit,C,C,C,C,C,E,D,C,C,D,C,C,B,C,C,C,C,C,C,E,D,D,C,D,E,D,D,D,D,C
Team-centred Domain levels: 3) Thrombolysis,B,B,B,B,B,C,C,B,B,C,B,A,B,B,C,B,B,B,B,C,D,B,C,D,D,B,B,C,C,B
Team-centred Domain levels: 4) Specialist Assessments,B,B,B,B,B,B,B,B,B,B,B,A,A,B,A,A,A,A,B,B,A,A,B,B,B,B,A,B,A,B
Team-centred Domain levels: 5) Occupational therapy,A,A,A,A,A,C,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,B,B,B,B
Team-centred Domain levels: 6) Physiotherapy,A,A,A,A,A,B,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,A,A,B,B
Team-centred Domain levels: 7) Speech and Language therapy,D,C,C,B,C,B,C,C,C,D,C,C,C,C,B,B,A,A,C,C,C,D,C,C,C,B,C,B,B,C
Team-centred Domain levels: 8) MDT working,B,C,B,B,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A,A,B,B,A,B,B,B,B,A,A,A
Team-centred Domain levels: 9) Standards by discharge,B,B,B,B,C,C,C,B,C,C,B,A,B,B,A,A,A,B,A,A,B,B,B,B,A,B,A,A,B,A
Team-centred Domain levels: 10) Discharge processes,A,B,A,B,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,A,B,A,A,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,B,B,B,A,B,B,A,A,A,A,A
Team-centred KI level Team-centred Total KI score,82,80,84,84,78,70,70,80,78,72,86,92,88,86,90.0,92,94,92.0,88.0,78.0,80.0,78.0,84.0,76.0,76.0,84.0,84.0,84.0,82.0,84.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,B,B,B,A,B,B,A,A,A,A,A
Team-centred SSNAP level Team-centred SSNAP score,73.8,76,75.6,79.8,78,70,70,80,78,72,86,92,88,86,90.0,92,94,92.0,83.6,78.0,80.0,78.0,84.0,76.0,76.0,84.0,84.0,84.0,82.0,84.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,191,199,180,152,151,147,126,151,154,143,153,152,160,162,195,202,265,259,265,294,293,284,259,229,241,240,218,261,244
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,0.95,0.93,0.94,0.87,0.79,0.73,0.7,0.77,0.82,0.67,0.68,0.72,0.75,77%,0.89,0.89,96%,97%,100%,100%,100%,100%,100%,100%,99%,96%,90%,94%,92%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,20,15,21,65,63,69,61,72,108,127,109,127,125,98,94,118,54,35,62,58,51,37,60,60,53,72,63,97,103
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.1,0.08,0.12,0.43,0.42,0.47,0.48,0.48,0.7,0.89,0.71,0.84,0.78,60%,0.48,0.58,20%,14%,23%,20%,17%,13%,23%,26%,22%,30%,29%,37%,42%
