SSNAP Scoring Summary:,2013-10-01,2014-01-01
SSNAP level,D,D
SSNAP score,55.3,57.5
Case ascertainment band,A,B
Audit compliance band,D,D
Combined Total Key Indicator level,C,B
Combined Total Key Indicator score,65,71.2
Number of records completed: Team-centred post-72h all teams cohort,87,86
Patient-centred Domain levels: 2) Stroke unit,B,C
Patient-centred Domain levels: 5) Occupational therapy,A,A
Patient-centred Domain levels: 6) Physiotherapy,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,B,B
Patient-centred Domain levels: 8) MDT working,E,E
Patient-centred Domain levels: 9) Standards by discharge,E,D
Patient-centred Domain levels: 10) Discharge processes,D,B
Patient-centred KI level Patient-centred Total KI level,C,C
Patient-centred KI level Patient-centred Total KI score,60,65.7
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D
Patient-centred SSNAP level Patient-centred SSNAP score,51,53.1
Team-centred Domain levels: 2) Stroke unit,B,A
Team-centred Domain levels: 5) Occupational therapy,A,A
Team-centred Domain levels: 6) Physiotherapy,A,B
Team-centred Domain levels: 7) Speech and Language therapy,B,B
Team-centred Domain levels: 9) Standards by discharge,E,E
Team-centred Domain levels: 10) Discharge processes,D,B
Team-centred KI level Team-centred Total KI level,B,B
Team-centred KI level Team-centred Total KI score,70,76.7
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,C
Team-centred SSNAP level Team-centred SSNAP score,59.5,61.9
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,119
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,3
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.03
