SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
SSNAP level,E,E,D,D,C,B,A,A,B,C,C,B,B,A,B,B,B,D,D,D,D,D,C,B,C,B,B,A,C,B
SSNAP score,23.8,30.7,54.2,55.1,65.5,73,82,86,77,66,67,72,74,85,74.0,74.1,70,48.0,47.5,47.0,49.0,55.1,64.0,71.0,69.0,74.1,76.0,81.0,67.0,75.0
Case ascertainment band,E,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,C,B,B,B,B,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,A,B,A,A,A,B,A,A,A,A
Combined Total Key Indicator level,D,E,D,D,C,B,A,A,B,C,C,B,B,A,B,B,B,D,D,D,D,D,C,B,C,B,B,A,C,B
Combined Total Key Indicator score,44,34,57,58,69,73,82,86,77,66,67,72,74,85,74.0,78,70,48.0,50.0,47.0,49.0,58.0,64.0,71.0,69.0,78.0,76.0,81.0,67.0,75.0
Number of records completed: Team-centred post-72h all teams cohort,None completed,83,95,88,97,119,99,89,100,97,89,107,106,95,97,103,111,109,121,131,99,109,95,96,123,91,116,99,131,115
Patient-centred Domain levels: 1) Scanning,D,D,D,C,B,B,B,B,A,B,B,A,B,A,A,B,A,C,B,B,B,C,A,B,A,A,B,A,B,A
Patient-centred Domain levels: 2) Stroke unit,D,D,C,C,C,C,B,B,C,D,D,D,D,C,D,C,D,E,E,E,E,E,E,E,E,E,E,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,D,D,C,D,B,C,B,A,B,C,D,C,B,C,D,B,C,D,D,E,E,D,D,D,D,C,D,B,D,D
Patient-centred Domain levels: 4) Specialist Assessments,D,E,C,B,B,A,A,A,A,A,B,A,B,A,B,B,B,C,C,C,B,B,A,A,A,A,A,A,A,B
Patient-centred Domain levels: 5) Occupational therapy,None entered,E,B,C,C,C,B,A,B,C,A,B,A,A,A,A,B,E,E,E,E,C,C,B,B,B,A,A,B,A
Patient-centred Domain levels: 6) Physiotherapy,None entered,E,C,E,D,C,B,B,D,D,B,B,B,B,A,A,C,D,E,D,E,D,B,B,B,B,B,B,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,None entered,E,E,E,D,D,C,C,D,E,E,E,D,C,D,C,E,E,E,E,E,E,D,D,D,C,C,C,D,C
Patient-centred Domain levels: 8) MDT working,C,D,C,B,C,B,B,B,A,B,B,B,C,B,B,B,B,B,B,B,C,C,C,B,C,B,B,B,B,B
Patient-centred Domain levels: 9) Standards by discharge,None entered,E,D,B,B,B,B,B,B,B,B,B,B,A,B,C,B,B,B,C,B,A,B,A,A,A,A,A,B,A
Patient-centred Domain levels: 10) Discharge processes,None entered,B,B,A,A,A,A,A,A,A,B,B,A,A,B,B,A,C,B,B,A,A,B,A,B,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,D,E,D,C,C,B,A,A,B,C,C,B,B,A,B,B,B,D,D,D,D,D,C,B,B,B,B,A,B,B
Patient-centred KI level Patient-centred Total KI score,44,34,56,60,68,72,82,86,78,66,68,72,74,84,74.0,78,70,48.0,50.0,48.0,50.0,58.0,66.0,72.0,70.0,78.0,76.0,82.0,70.0,76.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,E,D,D,C,B,A,A,B,C,C,B,B,A,B,B,B,D,D,D,D,D,C,B,B,B,B,A,B,B
Patient-centred SSNAP level Patient-centred SSNAP score,23.8,30.7,53.2,57,64.6,72,82,86,78,66,68,72,74,84,74.0,74.1,70,48.0,47.5,48.0,50.0,55.1,66.0,72.0,70.0,74.1,76.0,82.0,70.0,76.0
Team-centred Domain levels: 1) Scanning,D,D,D,C,B,B,B,B,A,B,B,A,B,A,A,B,A,C,B,B,C,C,B,B,A,A,B,A,B,B
Team-centred Domain levels: 2) Stroke unit,D,D,C,D,C,C,B,B,C,D,D,D,D,C,D,C,D,E,E,E,E,E,E,E,E,E,E,E,E,E
Team-centred Domain levels: 3) Thrombolysis,D,D,C,D,B,C,B,A,B,C,D,C,B,C,D,B,C,D,D,E,E,D,D,D,E,C,D,C,E,D
Team-centred Domain levels: 4) Specialist Assessments,D,E,C,B,B,A,A,A,A,A,C,A,B,A,B,B,B,C,C,C,B,B,A,A,A,A,A,A,A,B
Team-centred Domain levels: 5) Occupational therapy,None entered,E,B,D,C,C,B,A,B,C,A,B,A,A,A,A,B,E,E,E,E,C,C,C,B,B,A,A,B,A
