SSNAP Scoring Summary:,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
  SSNAP level,X,X,X,D,E,D,D,D,E,C,D,B,B,C,C,B,B,C,B,B,B,C,C,C,C,D,C,D,D
  SSNAP score,.,.,.,49.6,34.2,42.8,41.8,40.9,36,66,57.9,73,73,60.0,67,72,71.0,62.0,72.0,76.0,73.0,69.0,68.0,64.0,64.0,50.8,66.5,54.5,52.0
  Case ascertainment band,X,X,X,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
  Audit compliance band,X,X,,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
  Combined Total Key Indicator level,X,X,X,D,E,D,D,D,E,C,C,B,B,C,C,B,B,C,B,B,B,C,C,C,C,D,C,D,D
  Combined Total Key Indicator score,.,.,.,55,36,45,44,43,36,66,61,73,73,60.0,67,72,71.0,62.0,72.0,76.0,73.0,69.0,68.0,64.0,64.0,50.8,66.5,54.5,52.0
Number of records completed: Team-centred post-72h all teams cohort,None completed,None completed,None completed,32,47,42,42,48,37,30,31,34,38,37,46,56,44,39,56,41,47,58,50,40,45,34,48,38,38
Patient-centred Domain levels: 1) Scanning,None entered,None entered,None entered,B,B,C,C,C,D,A,A,A,A,A,A,A,A,C,B,A,A,A,A,B,A,B,B,A,A
Patient-centred Domain levels: 2) Stroke unit,None entered,None entered,None entered,C,E,E,D,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,D,B,B,B
Patient-centred Domain levels: 3) Thrombolysis,None entered,None entered,None entered,B,E,C,D,D,D,C,C,B,B,C,B,B,C,E,B,C,B,C,B,C,C,B,B,C,C
