SSNAP Scoring Summary:,2015-10-01,2016-01-01,2018-04-01,2018-10-01,2019-01-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2024-01-01,2024-04-01
  SSNAP level,C,D,B,A,B,B,TFP,A,A,C,C,TFP,C,C,C,B
  SSNAP score,61,58.9,71.7,83.3,77.6,75.5,.,85.0,88.1,61.3,65.6,.,67.6,65.8,66.6,70.6
  Case ascertainment band,B,A,A,A,A,A,,A,A,B,A,C,B,A,A,A
  Audit compliance band,E,D,B,A,B,A,A,B,A,D,D,E,C,D,D,D
  Combined Total Key Indicator level,A,C,B,A,A,B,TFP,A,A,B,B,TFP,B,B,B,A
  Combined Total Key Indicator score,80.2,69.3,75.5,83.3,81.7,75.5,.,89.5,88.1,76.0,77.1,.,79.0,77.4,78.3,83.1
Number of records completed: Team-centred post-72h all teams cohort,23,30,23,24,20,26,24,36,28,23,23,21,25,32,28,34
Patient-centred Domain levels: 2) Stroke unit,B,B,A,A,A,A,Too few to report,A,A,B,A,Too few to report,A,A,A,A
Patient-centred Domain levels: 5) Occupational therapy,A,B,A,A,C,C,Too few to report,A,B,C,C,Too few to report,B,C,C,C
Patient-centred Domain levels: 6) Physiotherapy,A,B,B,A,B,A,Too few to report,A,B,B,B,Too few to report,B,A,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,B,A,B,A,A,A,Too few to report,A,A,C,B,Too few to report,C,C,C,B
Patient-centred Domain levels: 8) MDT working,D,E,E,E,C,D,Too few to report,E,E,E,E,Too few to report,E,E,C,C
Patient-centred Domain levels: 9) Standards by discharge,B,D,B,B,B,D,Too few to report,B,A,B,B,Too few to report,C,C,B,B
Patient-centred Domain levels: 10) Discharge processes,C,B,C,C,B,B,Too few to report,A,A,A,A,Too few to report,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,B,C,B,B,B,B,TFP,A,A,C,B,TFP,B,B,B,A
Patient-centred KI level Patient-centred Total KI score,77.1,68.6,74.3,80,80,74.3,.,85.7,82.9,68.6,74.3,.,71.4,71.4,80.0,82.9
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,B,B,B,B,TFP,A,A,D,C,TFP,C,C,C,B
Patient-centred SSNAP level Patient-centred SSNAP score,58.6,58.3,70.6,80,76,74.3,.,81.4,82.9,55.4,63.1,.,61.1,60.7,68.0,70.4
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,A,C,A,A,C,C,B,A,A,B,C,C,B,B,C,C
Team-centred Domain levels: 6) Physiotherapy,A,B,A,A,B,A,A,A,A,B,B,A,A,A,A,A
Team-centred Domain levels: 7) Speech and Language therapy,B,C,E,A,A,C,C,B,C,C,C,D,C,C,E,C
Team-centred Domain levels: 9) Standards by discharge,C,D,B,C,B,C,Too few to report,B,A,B,B,Too few to report,B,C,B,B
Team-centred Domain levels: 10) Discharge processes,C,B,C,C,B,B,Too few to report,A,A,A,A,Too few to report,A,A,A,A
Team-centred KI level Team-centred Total KI level,A,B,B,A,A,B,TFP,A,A,A,B,TFP,A,A,B,A
Team-centred KI level Team-centred Total KI score,83.3,70,76.7,86.7,83.3,76.7,.,93.3,93.3,83.3,80.0,.,86.7,83.3,76.7,83.3
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",C,D,B,A,B,B,TFP,A,A,C,C,TFP,B,B,C,B
Team-centred SSNAP level Team-centred SSNAP score,63.3,59.5,72.8,86.7,79.2,76.7,.,88.7,93.3,67.3,68.0,.,74.1,70.8,65.2,70.8
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),30,31,23,35,31,37,31,47,46,59,54,56,45,36,38,42
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),0.97,0.97,0.74,0.88,0.97,0.86,0.89,92%,98%,91%,92%,97%,98%,100%,78%,91%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),7,2,10,10,9,13,9,15,7,7,4,6,15,7,12,8
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0.23,0.06,0.43,0.29,0.29,0.35,0.29,32%,15%,12%,7%,11%,33%,19%,32%,19%
