SSNAP Scoring Summary:,2023-10-01,2024-04-01
  SSNAP level,D,C
  SSNAP score,58.1,69.9
  Case ascertainment band,A,A
  Audit compliance band,E,B
  Combined Total Key Indicator level,B,B
  Combined Total Key Indicator score,72.6,73.6
Number of records completed: Team-centred post-72h all teams cohort,33,21
Patient-centred Domain levels: 2) Stroke unit,C,A
Patient-centred Domain levels: 5) Occupational therapy,C,C
Patient-centred Domain levels: 6) Physiotherapy,B,C
Patient-centred Domain levels: 7) Speech and Language therapy,C,B
Patient-centred Domain levels: 8) MDT working,C,B
Patient-centred Domain levels: 9) Standards by discharge,A,A
Patient-centred Domain levels: 10) Discharge processes,C,C
Patient-centred KI level Patient-centred Total KI level,C,B
Patient-centred KI level Patient-centred Total KI score,68.6,77.1
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,B
Patient-centred SSNAP level Patient-centred SSNAP score,54.9,73.3
Team-centred Domain levels: 2) Stroke unit,A,A
Team-centred Domain levels: 5) Occupational therapy,B,C
Team-centred Domain levels: 6) Physiotherapy,B,D
Team-centred Domain levels: 7) Speech and Language therapy,D,C
Team-centred Domain levels: 9) Standards by discharge,A,A
Team-centred Domain levels: 10) Discharge processes,C,C
Team-centred KI level Team-centred Total KI level,B,B
Team-centred KI level Team-centred Total KI score,76.7,70.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",C,C
Team-centred SSNAP level Team-centred SSNAP score,61.3,66.5
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),27,19
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),82%,59%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),7,7
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),26%,37%
