SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
SSNAP level,D,D,D,D,D,D,C,B,B,A,B,B,A,B,B,B,A,B,A,B,C,B,B,B,B,C,B,B,B,B
SSNAP score,45.9,52.3,46.8,58.5,56.7,59.8,66.5,78,78,81,80,80,82,78,80.0,79,83,76.0,81.0,78.0,68.6,80.0,75.0,78.0,77.0,67.5,72.0,79.0,75.0,72.0
Case ascertainment band,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,B,A,A,A,A
Audit compliance band,C,B,D,C,C,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,C,A,A,A,A
Combined Total Key Indicator level,D,D,D,C,C,C,B,B,B,A,B,B,A,B,B,B,A,B,A,B,B,B,B,B,B,B,B,B,B,B
Combined Total Key Indicator score,51,55,58,65,63,63,70,78,78,81,80,80,82,78,80.0,79,83,76.0,81.0,78.0,76.0,80.0,79.0,78.0,77.0,79.0,72.0,79.0,75.0,72.0
Number of records completed: Team-centred post-72h all teams cohort,160,140,123,145,158,163,173,150,145,153,158,173,185,195,183,167,204,195,165,185,157,169,163,191,166,138,176,183,183,175
Patient-centred Domain levels: 1) Scanning,C,C,D,C,C,D,C,B,B,B,A,B,A,A,B,B,B,C,A,B,A,A,A,A,B,A,B,A,B,B
Patient-centred Domain levels: 2) Stroke unit,E,E,E,E,E,E,D,C,C,C,C,C,C,C,C,D,C,E,E,E,E,E,E,E,E,D,E,E,E,D
Patient-centred Domain levels: 3) Thrombolysis,D,D,D,D,E,E,D,C,C,D,C,B,B,B,B,B,B,C,C,C,C,C,C,C,C,C,C,C,C,C
Patient-centred Domain levels: 4) Specialist Assessments,E,E,E,D,D,D,C,C,D,B,B,C,C,C,C,C,B,C,B,B,B,B,B,B,B,B,C,B,B,B
Patient-centred Domain levels: 5) Occupational therapy,C,C,B,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,C,C,B,B,B,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,B,B,A,B
Patient-centred Domain levels: 7) Speech and Language therapy,C,C,B,A,A,B,A,A,A,A,B,B,B,B,B,B,B,A,B,B,B,A,B,A,A,A,A,A,B,C
Patient-centred Domain levels: 8) MDT working,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
Patient-centred Domain levels: 9) Standards by discharge,B,B,B,B,B,A,B,B,B,B,B,B,A,B,A,A,A,A,A,A,B,A,A,B,A,B,B,A,B,B
Patient-centred Domain levels: 10) Discharge processes,D,C,D,D,D,D,D,D,C,B,C,C,C,C,C,C,C,B,B,B,B,C,B,B,C,D,C,C,B,C
Patient-centred KI level Patient-centred Total KI level,D,D,D,C,C,C,B,B,B,B,B,B,A,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B
Patient-centred KI level Patient-centred Total KI score,50,54,56,64,62,62,70,76,76,80,80,78,82,76,80.0,78,82,76.0,80.0,78.0,76.0,80.0,80.0,78.0,78.0,78.0,72.0,78.0,76.0,72.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,D,D,D,D,C,B,B,B,B,B,A,B,B,B,A,B,B,B,C,B,B,B,B,C,B,B,B,B
Patient-centred SSNAP level Patient-centred SSNAP score,45,51.3,45.2,57.6,55.8,58.9,66.5,76,76,80,80,78,82,76,80.0,78,82,76.0,80.0,78.0,68.6,80.0,76.0,78.0,78.0,66.7,72.0,78.0,76.0,72.0
Team-centred Domain levels: 1) Scanning,C,C,D,C,C,D,C,B,B,B,A,B,A,A,B,B,B,C,A,B,A,A,A,A,B,A,B,A,B,B
Team-centred Domain levels: 2) Stroke unit,E,E,E,E,E,E,D,C,C,C,C,C,C,C,C,C,C,E,E,E,E,E,E,E,E,D,E,E,E,E
Team-centred Domain levels: 3) Thrombolysis,D,D,D,D,E,E,D,C,C,D,C,B,B,B,B,B,B,C,C,C,C,C,C,C,D,C,C,C,C,C
Team-centred Domain levels: 4) Specialist Assessments,E,E,E,D,D,D,C,C,C,B,B,B,C,C,C,C,B,C,B,B,B,B,B,B,B,B,C,B,B,B
Team-centred Domain levels: 5) Occupational therapy,C,C,B,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 6) Physiotherapy,B,B,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,B,A,B,B,A,A,B,A,A,A
Team-centred Domain levels: 7) Speech and Language therapy,C,C,A,A,A,A,A,A,A,A,B,B,B,B,B,B,A,A,A,B,B,A,B,A,B,A,A,A,B,C
Team-centred Domain levels: 8) MDT working,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
Team-centred Domain levels: 9) Standards by discharge,B,B,B,B,B,A,B,A,A,A,B,A,A,A,A,B,A,A,A,A,B,A,A,B,A,A,B,A,B,A
Team-centred Domain levels: 10) Discharge processes,D,C,D,D,D,D,D,C,C,B,C,C,C,B,C,B,C,B,B,B,B,C,B,B,B,D,C,C,C,D
Team-centred KI level Team-centred Total KI level,D,D,C,C,C,C,B,B,B,A,B,A,A,B,B,B,A,B,A,B,B,B,B,B,B,B,B,B,B,B
