SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
  SSNAP level,E,E,E,D,D,D,D,D,D,E,B,C,B,C,C,B,B,C,C,C,B,C,B,C,C,C,C,C,B,B
  SSNAP score,36.1,39.9,39.9,58.9,56,52.3,53.2,47.8,53.2,39.6,72.2,65,77,61,64.0,74,73,68.0,63.0,61.8,78.0,66.0,79.0,68.0,63.0,65.0,62.0,67.0,76.0,79.0
  Case ascertainment band,A,A,A,A,A,B,A,B,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
  Audit compliance band,B,B,B,B,B,B,B,B,B,C,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A
  Combined Total Key Indicator level,E,D,D,C,D,D,D,D,D,D,B,B,B,C,C,B,B,C,C,C,B,C,B,C,C,C,C,C,B,B
  Combined Total Key Indicator score,38,42,42,62,59,58,56,53,56,44,76,72,77,61,64.0,74,73,68.0,63.0,65.0,78.0,66.0,79.0,68.0,63.0,65.0,62.0,67.0,76.0,79.0
Number of records completed: Team-centred post-72h all teams cohort,105,95,99,95,94,89,101,82,109,106,88,79,89,102,89,114,110,138,141,121,114,110,94,116,113,131,130,122,125,145
Patient-centred Domain levels: 1) Scanning,E,E,E,E,E,E,E,D,D,E,C,C,C,C,C,B,B,C,C,A,A,B,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,C,C,D,B,B,C,C,C,C,C,C,C,D,E,D,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,E,B,C,B,B,B,B,C,B,D,B,C,B,E,D,C,B,D,C,D,D,D,C,D,D,C,E,C,B,C
Patient-centred Domain levels: 4) Specialist Assessments,D,D,D,D,C,D,D,D,D,D,C,D,C,D,D,C,D,D,D,D,B,C,B,C,B,B,B,B,B,B
Patient-centred Domain levels: 5) Occupational therapy,D,C,C,A,A,A,B,C,A,B,A,A,A,A,A,A,A,A,B,C,A,C,A,B,C,B,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,D,D,D,B,C,C,D,D,C,D,C,C,B,C,D,B,B,A,D,B,B,B,A,C,C,B,B,C,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,C,E,C,C,C,C,B,C,C,C,A,A,C,B,B,B,B,C,B,B,A,A,B,B,B,B,D,C,B,A
Patient-centred Domain levels: 8) MDT working,C,C,D,C,C,C,D,B,D,D,B,B,B,C,C,B,B,B,C,C,B,C,C,B,C,C,D,D,B,B
Patient-centred Domain levels: 9) Standards by discharge,E,E,D,B,E,E,E,E,C,E,B,B,A,C,B,B,B,B,A,B,B,B,B,C,D,D,D,D,C,C
Patient-centred Domain levels: 10) Discharge processes,E,E,E,E,D,B,B,B,D,D,B,A,A,A,A,A,A,A,B,A,A,B,A,A,B,C,A,A,B,A
Patient-centred KI level Patient-centred Total KI level,E,D,D,C,D,D,D,D,D,D,B,B,B,C,C,B,B,C,C,C,B,C,B,C,C,C,C,C,B,B
Patient-centred KI level Patient-centred Total KI score,38,42,42,62,58,58,54,54,58,44,76,74,76,60,64.0,76,74,68.0,62.0,66.0,78.0,66.0,78.0,68.0,62.0,66.0,62.0,66.0,78.0,80.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,E,E,D,D,D,D,D,D,E,B,C,B,C,C,B,B,C,C,C,B,C,B,C,C,C,C,C,B,B
Patient-centred SSNAP level Patient-centred SSNAP score,36.1,39.9,39.9,58.9,55.1,52.3,51.3,48.7,55.1,39.6,72.2,66.8,76,60,64.0,76,74,68.0,62.0,62.7,78.0,66.0,78.0,68.0,62.0,66.0,62.0,66.0,78.0,80.0
Team-centred Domain levels: 1) Scanning,E,E,E,E,E,E,E,E,E,E,C,C,C,C,C,B,B,C,C,A,A,B,A,A,A,A,A,A,A,A
Team-centred Domain levels: 2) Stroke unit,C,C,D,B,B,C,C,C,C,C,C,C,C,E,D,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Team-centred Domain levels: 3) Thrombolysis,E,B,C,B,B,B,B,C,C,D,B,C,B,E,D,D,C,D,C,D,D,D,C,D,D,D,E,C,C,C
Team-centred Domain levels: 4) Specialist Assessments,D,D,D,D,C,D,D,D,D,D,C,D,C,D,D,D,D,D,D,D,B,B,B,B,B,B,C,B,B,B
Team-centred Domain levels: 5) Occupational therapy,D,C,C,A,A,A,B,C,A,B,A,A,A,A,A,A,A,A,B,C,A,C,A,B,C,B,B,B,A,A
Team-centred Domain levels: 6) Physiotherapy,D,D,D,B,C,C,D,D,C,D,C,D,B,C,D,B,B,A,D,C,B,C,A,C,C,B,B,C,B,A
Team-centred Domain levels: 7) Speech and Language therapy,C,E,C,C,C,C,A,C,C,C,A,B,C,B,B,B,B,C,A,B,A,B,B,B,B,B,C,B,A,B
Team-centred Domain levels: 8) MDT working,C,C,D,C,B,C,C,B,D,D,B,B,B,B,C,B,B,B,C,C,B,B,B,C,B,C,C,C,B,B
Team-centred Domain levels: 9) Standards by discharge,E,E,D,B,E,E,E,E,C,E,B,B,A,C,B,B,B,B,A,B,B,B,B,C,D,D,D,D,D,C
Team-centred Domain levels: 10) Discharge processes,E,E,E,E,D,B,B,B,D,D,B,A,A,A,A,A,A,A,B,A,A,B,A,A,B,C,A,A,B,A
Team-centred KI level Team-centred Total KI level,E,D,D,C,C,D,D,D,D,D,B,B,B,C,C,B,B,C,C,C,B,C,B,C,C,C,C,C,B,B
Team-centred KI level Team-centred Total KI score,38,42,42,62,60,58,58,52,54,44,76,70,78,62,64.0,72,72,68.0,64.0,64.0,78.0,66.0,80.0,68.0,64.0,64.0,62.0,68.0,74.0,78.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",E,E,E,D,D,D,D,D,D,E,B,C,B,C,C,B,B,C,C,C,B,C,B,C,C,C,C,C,B,B
Team-centred SSNAP level Team-centred SSNAP score,36.1,39.9,39.9,58.9,57,52.3,55.1,46.9,51.3,39.6,72.2,63.2,78,62,64.0,72,72,68.0,64.0,60.8,78.0,66.0,80.0,68.0,64.0,64.0,62.0,68.0,74.0,78.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,51,108,133,123,116,120,108,96,101,105,98,85,93,95,113,106,111,112,142,159,146,143,122,106,96,104,158,191,174
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,0.35,0.7,0.87,0.92,0.92,0.9,0.84,0.81,0.9,0.78,0.8,0.83,0.89,90%,0.89,0.84,83%,90%,93%,90%,81%,82%,71%,70%,60%,65%,91%,93%,82%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,1,12,36,54,84,83,72,81,87,87,86,72,77,74,93,95,76,71,88,72,51,57,42,5,17,31,27,20,23
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.02,0.11,0.27,0.44,0.72,0.69,0.67,0.84,0.86,0.83,0.88,0.85,0.83,78%,0.82,0.9,68%,63%,62%,45%,35%,40%,34%,5%,18%,30%,17%,10%,13%
