SSNAP Scoring Summary:,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01
  SSNAP level,X,X,X,X,X,X,X,X,X,TFP,X,X,X,X,X,X
  SSNAP score,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
  Case ascertainment band,X,X,X,X,X,X,X,X,X,,E,E,X,X,X,X
  Audit compliance band,X,X,,X,X,X,X,X,X,TFP,X,X,X,X,X,X
  Combined Total Key Indicator level,X,X,X,X,X,X,X,X,X,TFP,X,X,X,X,X,X
  Combined Total Key Indicator score,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Number of records completed: Team-centred post-72h all teams cohort,None completed,None completed,None completed,None completed,None completed,None completed,None completed,None completed,None completed,Too few to report,Too few to report,Too few to report,None completed,None completed,None completed,None completed
Patient-centred Domain levels: 1) Scanning,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,Too few to report,Too few to report,Too few to report,None entered,None entered,None entered,
Patient-centred Domain levels: 2) Stroke unit,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,Too few to report,Too few to report,Too few to report,None entered,None entered,None entered,None entered
Patient-centred Domain levels: 3) Thrombolysis,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,Too few to report,Too few to report,Too few to report,None entered,None entered,None entered,
Patient-centred Domain levels: 4) Specialist Assessments,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,Too few to report,Too few to report,Too few to report,None entered,None entered,None entered,
Patient-centred Domain levels: 5) Occupational therapy,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,Too few to report,Too few to report,Too few to report,None entered,None entered,None entered,None entered
Patient-centred Domain levels: 6) Physiotherapy,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,Too few to report,Too few to report,Too few to report,None entered,None entered,None entered,None entered
Patient-centred Domain levels: 7) Speech and Language therapy,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,Too few to report,Too few to report,Too few to report,None entered,None entered,None entered,None entered
Patient-centred Domain levels: 8) MDT working,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,Too few to report,Too few to report,Too few to report,None entered,None entered,None entered,None entered
Patient-centred Domain levels: 9) Standards by discharge,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,Too few to report,Too few to report,Too few to report,None entered,None entered,None entered,None entered
Patient-centred Domain levels: 10) Discharge processes,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,Too few to report,Too few to report,Too few to report,None entered,None entered,None entered,None entered
Patient-centred KI level Patient-centred Total KI level,No records,No records,No records,No records,No records,No records,No records,No records,No records,TFP,Insufficient records,Insufficient records,No records,No records,No records,
Patient-centred KI level Patient-centred Total KI score,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",,,,X,X,X,X,X,X,TFP,X,X,X,X,X,X
Patient-centred SSNAP level Patient-centred SSNAP score,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Team-centred Domain levels: 1) Scanning,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,,Too few to report,Too few to report,None entered,None entered,None entered,
Team-centred Domain levels: 2) Stroke unit,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,Too few to report,Too few to report,Too few to report,None entered,None entered,None entered,None entered
Team-centred Domain levels: 3) Thrombolysis,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,,Too few to report,Too few to report,None entered,None entered,None entered,
Team-centred Domain levels: 4) Specialist Assessments,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,,Too few to report,Too few to report,None entered,None entered,None entered,
Team-centred Domain levels: 5) Occupational therapy,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,Too few to report,Too few to report,Too few to report,None entered,None entered,None entered,None entered
Team-centred Domain levels: 6) Physiotherapy,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,Too few to report,Too few to report,Too few to report,None entered,None entered,None entered,None entered
Team-centred Domain levels: 7) Speech and Language therapy,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,Too few to report,Too few to report,Too few to report,None entered,None entered,None entered,None entered
Team-centred Domain levels: 8) MDT working,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,,Too few to report,Too few to report,None entered,None entered,None entered,
Team-centred Domain levels: 9) Standards by discharge,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,Too few to report,Too few to report,Too few to report,None entered,None entered,None entered,None entered
Team-centred Domain levels: 10) Discharge processes,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,Too few to report,Too few to report,Too few to report,None entered,None entered,None entered,None entered
Team-centred KI level Team-centred Total KI level,No records,No records,No records,No records,No records,No records,No records,No records,No records,TFP,Insufficient records,Insufficient records,No records,No records,No records,No records
Team-centred KI level Team-centred Total KI score,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",,,,X,X,X,X,X,X,TFP,X,X,X,X,X,X
Team-centred SSNAP level Team-centred SSNAP score,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),.,.,.,.,.,.,.,.,.,15,8,12,10,5,6,6
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),.,.,.,.,.,.,.,.,.,1,1,1,1,100%,1,1
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),.,.,.,.,.,.,.,.,.,2,2,2,1,1,1,0
