SSNAP Scoring Summary:,2015-01-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
SSNAP level,D,TFP,B,B,B,B,A,A,A,A,A,A,A,A,A,B,A,A,B,A,A,A,B
SSNAP score,57.7,.,71.8,73.1,70.1,77.1,86.2,90.7,88.8,93.8,84.3,93.6,90.5,87.9,87.6,79.8,94.0,95.2,79.8,89.0,84.5,89.0,78.3
Case ascertainment band,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,E,D,C,D,E,D,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Combined Total Key Indicator level,B,TFP,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,A,A,B
Combined Total Key Indicator score,72.1,.,79.8,86,87.6,90.7,90.7,90.7,88.8,93.8,84.3,93.6,90.5,87.9,87.6,79.8,94.0,95.2,79.8,89.0,84.5,89.0,78.3
Number of records completed: Team-centred post-72h all teams cohort,22,20,35,48,46,45,52,43,48,62,41,65,44,49,41,41,48,43,59,53,50,43,43
Patient-centred Domain levels: 2) Stroke unit,A,Too few to report,A,A,A,A,A,A,A,A,A,A,A,B,C,A,A,A,A,A,B,B,A
Patient-centred Domain levels: 5) Occupational therapy,B,Too few to report,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,A,A,B
Patient-centred Domain levels: 6) Physiotherapy,B,Too few to report,A,A,A,A,A,B,B,A,B,B,A,B,B,B,B,A,A,A,A,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,C,Too few to report,C,C,B,B,B,B,A,B,A,A,A,B,A,B,A,A,B,A,B,B,B
Patient-centred Domain levels: 8) MDT working,D,Too few to report,C,B,B,B,B,B,A,B,C,A,C,C,B,D,C,B,D,C,C,A,D
Patient-centred Domain levels: 9) Standards by discharge,A,Too few to report,A,A,B,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,B,A,B
Patient-centred Domain levels: 10) Discharge processes,C,Too few to report,C,B,B,B,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,B,TFP,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B
Patient-centred KI level Patient-centred Total KI score,74.3,.,82.9,88.6,88.6,91.4,91.4,91.4,94.3,94.3,88.6,97.1,94.3,85.7,88.6,82.9,91.4,97.1,82.9,91.4,85.7,91.4,80.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,TFP,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B
Patient-centred SSNAP level Patient-centred SSNAP score,59.4,.,74.6,75.3,70.9,77.7,86.9,91.4,94.3,94.3,88.6,97.1,94.3,85.7,88.6,82.9,91.4,97.1,82.9,91.4,85.7,91.4,80.0
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,C,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,B,C,C,A,A,C
Team-centred Domain levels: 6) Physiotherapy,C,B,A,A,A,A,A,B,C,B,C,B,B,B,C,D,A,A,A,A,A,B,B
Team-centred Domain levels: 7) Speech and Language therapy,D,E,E,E,D,C,C,C,C,B,C,C,C,C,C,D,B,B,E,C,E,D,D
Team-centred Domain levels: 9) Standards by discharge,A,Too few to report,A,A,A,A,A,A,A,A,B,A,B,A,A,B,A,A,B,A,B,A,B
Team-centred Domain levels: 10) Discharge processes,C,Too few to report,C,B,B,B,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,B,TFP,B,A,A,A,A,A,A,A,B,A,A,A,A,B,A,A,B,A,A,A,B
Team-centred KI level Team-centred Total KI score,70,.,76.7,83.3,86.7,90,90,90.0,83.3,93.3,80.0,90.0,86.7,90.0,86.7,76.7,96.7,93.3,76.7,86.7,83.3,86.7,76.7
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,TFP,C,B,C,B,A,A,A,A,B,A,A,A,A,B,A,A,B,A,A,A,B
Team-centred SSNAP level Team-centred SSNAP score,56,.,69,70.8,69.3,76.5,85.5,90.0,83.3,93.3,80.0,90.0,86.7,90.0,86.7,76.7,96.7,93.3,76.7,86.7,83.3,86.7,76.7
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),.,50,38,58,65,72,85,95,96,93,46,63,81,84,99,85,79,77,76,84,80,90,91
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),.,1,1,1,1,0.99,0.99,100%,1,1,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,99%,98%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),.,0,0,0,0,0,0,0,1,3,0,0,0,3,21,15,16,14,19,20,17,26,24
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),.,0,0,0,0,0,0,0%,0.01,0.03,0%,0%,0%,4%,21%,18%,20%,18%,25%,24%,21%,29%,26%
