SSNAP Scoring Summary:,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2022-01-01,2022-04-01,2022-10-01
  SSNAP level,TFP,TFP,TFP,TFP,TFP,TFP,TFP,X,X,X,X
  SSNAP score,.,.,.,.,.,.,.,.,.,.,.
  Case ascertainment band,,,,,,,,X,X,X,X
  Audit compliance band,TFP,TFP,TFP,TFP,TFP,TFP,TFP,X,X,X,X
  Combined Total Key Indicator level,TFP,TFP,TFP,TFP,TFP,TFP,TFP,X,X,X,X
  Combined Total Key Indicator score,.,.,.,.,.,.,.,.,.,.,.
Number of records completed: Team-centred post-72h all teams cohort,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,None completed,None completed,None completed,None completed
Patient-centred Domain levels: 1) Scanning,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,None entered,None entered,None entered,None entered
Patient-centred Domain levels: 2) Stroke unit,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,None entered,None entered,None entered,None entered
Patient-centred Domain levels: 3) Thrombolysis,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,None entered,None entered,None entered,None entered
Patient-centred Domain levels: 4) Specialist Assessments,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,None entered,None entered,None entered,None entered
Patient-centred Domain levels: 5) Occupational therapy,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,None entered,None entered,None entered,None entered
Patient-centred Domain levels: 6) Physiotherapy,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,None entered,None entered,None entered,None entered
Patient-centred Domain levels: 7) Speech and Language therapy,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,None entered,None entered,None entered,None entered
Patient-centred Domain levels: 8) MDT working,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,None entered,None entered,None entered,None entered
Patient-centred Domain levels: 9) Standards by discharge,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,None entered,None entered,None entered,None entered
Patient-centred Domain levels: 10) Discharge processes,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,None entered,None entered,None entered,None entered
Patient-centred KI level Patient-centred Total KI level,TFP,TFP,TFP,TFP,TFP,TFP,TFP,No records,No records,No records,No records
Patient-centred KI level Patient-centred Total KI score,.,.,.,.,.,.,.,.,.,.,.
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",TFP,TFP,TFP,TFP,TFP,TFP,TFP,X,X,X,X
Patient-centred SSNAP level Patient-centred SSNAP score,.,.,.,.,.,.,.,.,.,.,.
Team-centred Domain levels: 2) Stroke unit,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,None entered,None entered,None entered,None entered
Team-centred Domain levels: 5) Occupational therapy,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,None entered,None entered,None entered,None entered
Team-centred Domain levels: 6) Physiotherapy,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,None entered,None entered,None entered,None entered
Team-centred Domain levels: 7) Speech and Language therapy,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,None entered,None entered,None entered,None entered
Team-centred Domain levels: 9) Standards by discharge,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,None entered,None entered,None entered,None entered
Team-centred Domain levels: 10) Discharge processes,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,None entered,None entered,None entered,None entered
Team-centred KI level Team-centred Total KI level,TFP,TFP,TFP,TFP,TFP,TFP,TFP,No records,No records,No records,No records
Team-centred KI level Team-centred Total KI score,.,.,.,.,.,.,.,.,.,.,.
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",TFP,TFP,TFP,TFP,TFP,TFP,TFP,X,X,X,X
Team-centred SSNAP level Team-centred SSNAP score,.,.,.,.,.,.,.,.,.,.,.
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),6,11,10,6,8,9,7,11,1,.,1
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),1,1,1,1,100%,1,1,100%,100%,.,100%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),0,0,1,1,1,2,3,0,0,.,0
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0,0,0.1,0.17,13%,0.22,0.43,0%,0%,.,0%
