SSNAP Scoring Summary:,2019-04-01,2019-07-01
  SSNAP level,B,A
  SSNAP score,78.9,80.5
  Case ascertainment band,A,A
  Audit compliance band,B,B
  Combined Total Key Indicator level,A,A
  Combined Total Key Indicator score,83.1,84.8
Number of records completed: Team-centred post-72h all teams cohort,21,20
Patient-centred Domain levels: 2) Stroke unit,A,B
Patient-centred Domain levels: 5) Occupational therapy,A,A
Patient-centred Domain levels: 6) Physiotherapy,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,A,A
Patient-centred Domain levels: 8) MDT working,D,D
Patient-centred Domain levels: 9) Standards by discharge,A,B
Patient-centred Domain levels: 10) Discharge processes,D,B
Patient-centred KI level Patient-centred Total KI level,A,A
Patient-centred KI level Patient-centred Total KI score,82.9,82.9
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",B,B
Patient-centred SSNAP level Patient-centred SSNAP score,78.7,78.7
Team-centred Domain levels: 2) Stroke unit,A,A
Team-centred Domain levels: 5) Occupational therapy,A,A
Team-centred Domain levels: 6) Physiotherapy,A,A
Team-centred Domain levels: 7) Speech and Language therapy,C,C
Team-centred Domain levels: 9) Standards by discharge,A,B
Team-centred Domain levels: 10) Discharge processes,D,B
Team-centred KI level Team-centred Total KI level,A,A
Team-centred KI level Team-centred Total KI score,83.3,86.7
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",B,A
Team-centred SSNAP level Team-centred SSNAP score,79.2,82.3
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),30,38
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),97%,0.97
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),2,4
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),7%,0.11
