SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
  SSNAP level,C,C,B,D,B,C,C,B,B,B,C,B,A,A,B,A,A,A,A,A,B,B,B,C,C,B,B,C,B,C
  SSNAP score,60.3,67.5,70.3,58.9,76,69.3,60.8,72.2,72,71,60.5,79,83,86,80.0,86,82,87.0,84.0,84.0,72.0,74.0,71.0,66.0,62.0,70.0,74.0,64.0,72.0,60.0
  Case ascertainment band,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
  Audit compliance band,C,B,B,B,B,B,B,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
  Combined Total Key Indicator level,C,B,B,C,B,B,C,B,B,B,C,B,A,A,B,A,A,A,A,A,B,B,B,C,C,B,B,C,B,C
  Combined Total Key Indicator score,67,71,74,62,80,73,64,76,72,71,67,79,83,86,80.0,86,82,87.0,84.0,84.0,72.0,74.0,71.0,66.0,62.0,70.0,74.0,64.0,72.0,60.0
Number of records completed: Team-centred post-72h all teams cohort,61,67,65,78,68,94,79,74,84,67,65,73,71,86,78,70,67,97,74,76,86,81,107,89,80,91,91,81,92,92
Patient-centred Domain levels: 1) Scanning,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,C,C,C,C,C,C,D,C,C,C,C,D,D,C,D,C,C,C,D,E,E,E,E,E,E,E,E,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,B,C,B,D,B,C,C,C,E,C,D,C,C,C,C,B,C,C,C,C,E,D,D,D,E,D,E,D,C,E
Patient-centred Domain levels: 4) Specialist Assessments,B,B,B,B,B,B,B,B,B,C,B,B,B,B,B,A,B,B,B,B,C,C,B,B,B,B,B,C,B,B
Patient-centred Domain levels: 5) Occupational therapy,A,A,A,B,A,A,C,A,A,B,C,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,C,C,E
Patient-centred Domain levels: 6) Physiotherapy,B,B,B,D,B,B,C,B,B,B,D,B,A,A,B,B,B,A,A,A,B,B,B,B,C,B,B,B,B,C
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,C,C,C,C,D,C,B,B,B,B,C,A,B,B,A,A,B,C,C,B,C,A,B,B,A,A
Patient-centred Domain levels: 8) MDT working,C,B,B,C,B,B,C,B,B,C,D,C,B,B,B,B,B,A,B,B,B,C,B,C,C,C,B,D,C,E
Patient-centred Domain levels: 9) Standards by discharge,C,B,B,B,B,C,B,C,B,A,A,A,A,A,A,A,B,A,A,A,B,A,B,B,B,B,B,B,B,B
Patient-centred Domain levels: 10) Discharge processes,C,D,C,C,C,D,D,C,B,C,B,A,A,A,A,A,A,A,B,A,A,A,B,D,D,C,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,C,B,B,C,B,B,C,B,B,B,C,B,A,A,B,A,A,A,A,A,B,B,B,C,C,B,B,C,B,C
Patient-centred KI level Patient-centred Total KI score,68,70,74,60,78,72,64,74,72,72,68,78,84,86,80.0,88,82,88.0,84.0,84.0,72.0,72.0,72.0,68.0,62.0,72.0,74.0,66.0,74.0,60.0
