SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
  SSNAP level,D,D,C,C,C,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,B,A,A,A,A,A
  SSNAP score,40.5,42.8,61.2,69.7,69,78,90,91,90,88,88,84.5,87,86,87.0,88,88,89.0,85.0,84.0,80.0,84.0,86.0,76.0,80.0,84.0,88.0,91.0,89.0,89.0
  Case ascertainment band,C,B,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
  Audit compliance band,D,D,D,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
  Combined Total Key Indicator level,D,D,B,A,C,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,B,A,A,A,A,A
  Combined Total Key Indicator score,56,53,72,82,69,78,90,91,90,88,88,89,87,86,87.0,88,88,89.0,85.0,84.0,80.0,84.0,86.0,76.0,80.0,84.0,88.0,91.0,89.0,89.0
Number of records completed: Team-centred post-72h all teams cohort,226,252,246,225,236,243,244,254,274,263,248,235,251,253,259,267,252,247,242,221,247,218,243,232,249,230,254,264,222,237
Patient-centred Domain levels: 1) Scanning,C,D,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,C,C,B,B,D,C,B,B,B,B,B,B,C,B,B,B,B,B,C,C,E,C,C,E,C,C,C,C,C,C
Patient-centred Domain levels: 3) Thrombolysis,B,C,C,B,C,C,A,B,B,B,B,B,C,B,B,A,B,B,B,B,C,C,B,C,C,C,B,B,B,B
Patient-centred Domain levels: 4) Specialist Assessments,B,C,B,B,B,B,A,B,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 5) Occupational therapy,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,E,E,D,C,D,D,C,B,B,B,B,B,B,C,B,D,C,B,B,B,B,B,A,B,B,A,B,A,B,A
Patient-centred Domain levels: 7) Speech and Language therapy,D,E,C,C,C,B,C,B,C,B,C,C,B,C,C,C,B,C,C,B,C,C,C,C,C,C,B,B,A,B
Patient-centred Domain levels: 8) MDT working,D,C,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,A
Patient-centred Domain levels: 9) Standards by discharge,C,B,B,B,B,B,A,A,A,B,B,B,A,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B
Patient-centred Domain levels: 10) Discharge processes,B,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,A,A,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,D,D,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI score,58,52,72,82,72,78,90,90,88,90,88,88,86,86,88.0,88,88,88.0,86.0,84.0,80.0,84.0,88.0,76.0,82.0,84.0,88.0,90.0,90.0,90.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,C,C,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,A
Patient-centred SSNAP level Patient-centred SSNAP score,41.9,42,61.2,69.7,72,78,90,90,88,90,88,83.6,86,86,88.0,88,88,88.0,86.0,84.0,80.0,84.0,88.0,76.0,82.0,84.0,88.0,90.0,90.0,90.0
Team-centred Domain levels: 1) Scanning,D,D,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 2) Stroke unit,C,C,C,B,D,C,B,B,B,C,B,B,C,B,B,B,B,B,C,C,E,C,C,E,D,C,C,B,C,C
Team-centred Domain levels: 3) Thrombolysis,C,C,B,B,C,C,A,B,B,B,B,B,B,B,B,A,B,B,B,B,B,C,B,C,C,C,B,B,B,B
Team-centred Domain levels: 4) Specialist Assessments,C,C,B,B,C,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,C,C,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A
Team-centred Domain levels: 6) Physiotherapy,E,E,D,C,D,D,C,B,B,B,B,B,B,C,C,D,C,A,B,B,B,B,A,B,B,A,A,A,B,A
Team-centred Domain levels: 7) Speech and Language therapy,D,E,C,C,D,B,C,B,B,B,C,B,B,C,C,C,B,C,C,B,C,C,D,D,C,C,B,B,A,B
Team-centred Domain levels: 8) MDT working,C,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,B,B,B,B,B,A,B,B
Team-centred Domain levels: 9) Standards by discharge,C,B,B,B,B,B,A,A,A,B,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B
Team-centred Domain levels: 10) Discharge processes,B,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,A,A,A,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,D,D,B,A,C,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,B,A,A,A,A,A
Team-centred KI level Team-centred Total KI score,54,54,72,82,66,78,90,92,92,86,88,90,88,86,86.0,88,88,90.0,84.0,84.0,80.0,84.0,84.0,76.0,78.0,84.0,88.0,92.0,88.0,88.0
