SSNAP Scoring Summary:,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
  SSNAP level,X,X,B,C,B,B
  SSNAP score,.,.,75.0,64.3,78.3,75.0
  Case ascertainment band,X,E,A,C,A,A
  Audit compliance band,X,X,B,A,A,A
  Combined Total Key Indicator level,X,X,B,B,B,B
  Combined Total Key Indicator score,.,.,79.0,75.7,78.3,75.0
Number of records completed: Team-centred post-72h all teams cohort,None completed,Insufficient records,41,34,33,43
Patient-centred Domain levels: 1) Scanning,None entered,Insufficient records,B,B,C,B
Patient-centred Domain levels: 2) Stroke unit,None entered,Insufficient records,B,B,B,B
Patient-centred Domain levels: 3) Thrombolysis,None entered,Insufficient records,D,A,B,B
Patient-centred Domain levels: 4) Specialist Assessments,None entered,Insufficient records,B,B,B,A
Patient-centred Domain levels: 5) Occupational therapy,None entered,Insufficient records,C,C,C,C
Patient-centred Domain levels: 6) Physiotherapy,None entered,Insufficient records,B,B,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,None entered,Insufficient records,B,C,B,C
Patient-centred Domain levels: 8) MDT working,None entered,Insufficient records,B,C,B,B
Patient-centred Domain levels: 9) Standards by discharge,None entered,Insufficient records,A,B,A,B
Patient-centred Domain levels: 10) Discharge processes,None entered,Insufficient records,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,No records,Insufficient records,B,B,B,B
Patient-centred KI level Patient-centred Total KI score,.,.,78.0,78.0,80.0,80.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",X,X,B,C,B,B
Patient-centred SSNAP level Patient-centred SSNAP score,.,.,74.1,66.3,80.0,80.0
Team-centred Domain levels: 2) Stroke unit,None entered,Insufficient records,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,None entered,Insufficient records,C,C,D,D
Team-centred Domain levels: 6) Physiotherapy,None entered,Insufficient records,B,B,B,B
Team-centred Domain levels: 7) Speech and Language therapy,None entered,Insufficient records,C,E,C,E
Team-centred Domain levels: 9) Standards by discharge,None entered,Insufficient records,B,B,B,B
Team-centred Domain levels: 10) Discharge processes,None entered,Insufficient records,A,A,A,A
Team-centred KI level Team-centred Total KI level,No records,Insufficient records,B,B,B,B
Team-centred KI level Team-centred Total KI score,.,.,80.0,73.3,76.7,70.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",X,X,B,C,B,B
Team-centred SSNAP level Team-centred SSNAP score,.,.,76.0,62.3,76.7,70.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),.,.,.,16,43,52
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),.,.,.,94%,90%,87%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),.,.,.,7,17,23
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),.,.,.,44%,40%,44%
