SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
SSNAP level,E,E,E,E,E,E,E,C,C,D,D,C,C,C,D,D,D,D,B,C,D,D,C,A,B,A,A,A,A,A
SSNAP score,30.6,38.3,26.3,30.6,31.5,27.2,39.2,62.7,67.1,48.6,41.4,63.9,63,60.3,49.4,45,57.8,59.7,70.0,65.0,48.9,56.0,64.3,83.3,78.6,83.1,83.3,89.5,88.1,86.4
Case ascertainment band,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,D,D,D,D,D,D,D,B,D,C,C,C,C,C,B,D,C,C,B,B,B,B,A,A,A,A,A,A,A,A
Combined Total Key Indicator level,E,D,E,E,E,E,D,C,B,D,D,B,B,C,D,D,C,C,B,C,D,D,C,A,B,A,A,A,A,A
Combined Total Key Indicator score,36,45,31,36,37,32,46.1,66,79,54,46,71,70,67,52.0,53,64.2,66.3,73.7,68.4,51.4,59.0,64.3,83.3,78.6,83.1,83.3,89.5,88.1,86.4
Number of records completed: Team-centred post-72h all teams cohort,61,52,57,52,72,71,67,61,54,62,57,41,64,61,66,66,58,60,60,62,52,63,63,49,33,39,29,48,36,46
Patient-centred Domain levels: 1) Scanning,E,D,D,C,E,E,C,B,B,C,C,B,C,A,C,C,B,B,B,A,C,C,C,,,,,,,
Patient-centred Domain levels: 2) Stroke unit,E,D,E,E,E,E,D,B,C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,A,A,A,A,A,A,A
Patient-centred Domain levels: 3) Thrombolysis,B,C,D,D,D,D,B,B,B,E,E,E,D,D,E,D,D,C,C,D,C,D,D,,,,,,,
Patient-centred Domain levels: 4) Specialist Assessments,D,D,E,E,D,E,C,A,A,B,D,B,B,B,B,C,C,C,B,B,C,D,D,,,,,,,
Patient-centred Domain levels: 5) Occupational therapy,E,E,D,D,D,C,D,C,A,D,E,A,A,C,E,D,C,C,A,C,D,D,C,C,C,B,B,A,B,B
Patient-centred Domain levels: 6) Physiotherapy,E,E,E,D,E,E,E,E,B,D,D,B,A,A,D,D,B,B,B,D,E,C,B,B,B,B,B,A,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,C,C,D,E,E,E,D,B,A,C,D,B,C,E,D,C,C,B,C,B,C,C,C,B,A,A,A,A,A,B
Patient-centred Domain levels: 8) MDT working,C,B,D,C,B,C,B,B,A,A,B,A,A,A,A,A,B,C,B,B,C,B,C,D,E,E,E,E,E,E
Patient-centred Domain levels: 9) Standards by discharge,C,B,C,C,C,D,D,B,B,B,B,A,A,A,B,B,A,B,B,B,C,B,A,A,B,A,B,B,B,A
Patient-centred Domain levels: 10) Discharge processes,E,D,E,E,D,E,D,D,C,D,C,C,C,C,C,C,C,B,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,D,D,E,E,E,E,D,B,A,D,D,B,B,C,D,D,C,C,B,C,D,D,C,B,B,A,B,A,A,A
Patient-centred KI level Patient-centred Total KI score,40,48,34,38,38,32,50,70,84,54,46,72,72,68,52.0,56,64,66.0,74.0,68.0,54.0,58.0,62.0,80.0,77.1,82.9,80.0,85.7,82.9,82.9
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,D,E,E,E,E,D,C,B,D,D,C,C,C,D,D,D,D,B,C,D,D,C,B,B,A,B,A,A,A
Patient-centred SSNAP level Patient-centred SSNAP score,34,40.8,28.9,32.3,32.3,27.2,42.5,66.5,71.4,48.6,41.4,64.8,64.8,61.2,49.4,47.6,57.6,59.4,70.3,64.6,51.3,55.1,62.0,80.0,77.1,82.9,80.0,85.7,82.9,82.9
Team-centred Domain levels: 1) Scanning,E,D,E,D,E,E,D,C,D,D,C,C,C,A,C,C,C,C,B,B,D,C,C,,,,,,,
Team-centred Domain levels: 2) Stroke unit,E,E,E,E,E,E,D,B,C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,A,A,A,A,A,A,A
Team-centred Domain levels: 3) Thrombolysis,E,E,E,E,E,E,.,E,E,E,E,E,E,E,E,E,.,.,.,.,.,.,.,,,,,,,
Team-centred Domain levels: 4) Specialist Assessments,E,D,E,E,D,E,D,A,A,B,D,B,C,B,B,D,C,B,B,B,D,C,D,,,,,,,
Team-centred Domain levels: 5) Occupational therapy,E,E,E,D,D,C,D,C,A,C,E,A,A,C,E,D,C,C,B,C,D,E,C,B,C,B,C,A,A,B
Team-centred Domain levels: 6) Physiotherapy,E,E,E,E,E,D,E,E,A,D,D,A,A,A,D,D,B,C,B,D,E,C,B,B,C,B,A,A,A,A
Team-centred Domain levels: 7) Speech and Language therapy,D,C,E,E,E,E,D,C,B,C,D,C,C,E,D,C,C,B,C,B,C,C,C,C,B,C,B,B,B,C
Team-centred Domain levels: 8) MDT working,B,B,C,B,B,C,B,A,A,A,B,A,A,A,A,B,B,B,B,B,C,B,B,,,,,,,
Team-centred Domain levels: 9) Standards by discharge,C,B,C,C,C,D,D,B,B,B,B,A,A,A,B,B,A,B,B,B,C,B,A,A,B,B,B,B,B,A
Team-centred Domain levels: 10) Discharge processes,E,D,E,E,D,E,D,D,C,D,C,C,C,C,C,C,C,B,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,E,D,E,E,E,E,D,C,B,D,D,B,C,C,D,D,C,C,B,C,D,C,C,A,B,A,A,A,A,A
Team-centred KI level Team-centred Total KI score,32,42,28,34,36,32,42.2,62,74,54,46,70,68,66,52.0,50,64.4,66.7,73.3,68.9,48.9,60.0,66.7,86.7,80.0,83.3,86.7,93.3,93.3,90.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",E,E,E,E,E,E,E,D,C,D,D,C,C,D,D,D,D,C,C,C,D,D,C,A,B,A,A,A,A,A
