SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
SSNAP level,D,E,E,E,E,E,E,E,E,E,D,D,D,D,C,C,C,B,B,D,D,B,C,C,B,B,C,C,B,C
SSNAP score,43.7,38,37,39.9,39.9,34.3,35.1,36.1,38,36.1,54,53,51,58,67.0,67,68,77.0,73.0,51.0,53.3,73.0,66.5,68.0,73.0,71.0,67.0,67.0,73.0,69.0
Case ascertainment band,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,C,C,A,A,A,A,A,A,A,A,A
Audit compliance band,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A
Combined Total Key Indicator level,D,D,E,D,D,E,E,E,D,E,D,D,D,D,C,C,C,B,B,C,C,B,B,C,B,B,C,C,B,C
Combined Total Key Indicator score,46,40,39,42,42,38,37,38,40,38,54,53,51,58,67.0,67,68,77.0,73.0,60.0,66.0,73.0,70.0,68.0,73.0,71.0,67.0,67.0,73.0,69.0
Number of records completed: Team-centred post-72h all teams cohort,213,217,206,213,216,188,206,228,218,223,231,214,210,213,232,247,243,241,218,162,117,173,241,242,244,229,254,250,243,236
Patient-centred Domain levels: 1) Scanning,E,E,E,D,D,E,D,D,D,D,C,B,C,C,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,C,D,D,D,E,E,E,E,D,E,C,C,C,D,C,C,D,E,E,E,D,B,B,B,B,B,B,B,B,B
Patient-centred Domain levels: 3) Thrombolysis,C,D,C,C,C,C,D,D,D,D,B,C,D,C,B,C,C,C,C,D,C,B,B,C,B,B,B,C,A,B
Patient-centred Domain levels: 4) Specialist Assessments,D,D,E,E,E,E,E,E,E,E,B,B,D,B,B,B,B,B,D,D,B,B,B,B,B,B,B,B,B,B
Patient-centred Domain levels: 5) Occupational therapy,C,D,E,E,D,E,E,E,D,D,D,D,C,C,C,C,B,A,A,B,A,A,A,C,C,C,D,C,C,C
