SSNAP Scoring Summary:,2014-01-01,2014-04-01,2014-07-01,2015-01-01,2015-07-01
SSNAP level,D,C,C,C,B
SSNAP score,52,65.4,65.4,65.6,74.7
Case ascertainment band,A,A,A,A,A
Audit compliance band,E,D,C,D,D
Combined Total Key Indicator level,C,B,B,B,A
Combined Total Key Indicator score,65,76.9,72.6,77.1,87.9
Number of records completed: Team-centred post-72h all teams cohort,22,27,20,26,21
Patient-centred Domain levels: 2) Stroke unit,B,A,A,A,A
Patient-centred Domain levels: 5) Occupational therapy,C,C,C,C,A
Patient-centred Domain levels: 6) Physiotherapy,B,B,B,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,C,A,A,A,A
Patient-centred Domain levels: 8) MDT working,D,C,D,C,B
Patient-centred Domain levels: 9) Standards by discharge,D,B,C,B,B
Patient-centred Domain levels: 10) Discharge processes,C,C,D,E,D
Patient-centred KI level Patient-centred Total KI level,C,B,C,B,A
Patient-centred KI level Patient-centred Total KI score,60,77.1,68.6,74.3,85.7
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,C,C,C,B
Patient-centred SSNAP level Patient-centred SSNAP score,48,65.6,61.7,63.1,72.9
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,C,C,C,C,A
Team-centred Domain levels: 6) Physiotherapy,B,B,B,A,A
Team-centred Domain levels: 7) Speech and Language therapy,E,C,B,A,A
Team-centred Domain levels: 9) Standards by discharge,A,A,A,A,A
Team-centred Domain levels: 10) Discharge processes,C,C,D,E,D
Team-centred KI level Team-centred Total KI level,B,B,B,B,A
Team-centred KI level Team-centred Total KI score,70,76.7,76.7,80,90
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,C,C,C,B
Team-centred SSNAP level Team-centred SSNAP score,56,65.2,69,68,76.5
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),1,9,29,20,36
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),1,1,1,0.95,1
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),0,1,15,7,11
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0,0.11,0.52,0.35,0.31
