SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
  SSNAP level,D,D,D,D,D,D,D,D,D,D,C,D,C,B,B,B,B,C,B,B,B,B,B,B,B,B,B,A,B,B
  SSNAP score,45.6,49.4,47,54,42.8,44,49,57,52.3,46,66,54.2,62,74,70.0,70,71,68.4,71.0,73.0,75.0,74.0,77.0,71.0,77.0,76.0,70.0,82.0,75.0,76.0
  Case ascertainment band,B,B,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A
  Audit compliance band,A,A,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
  Combined Total Key Indicator level,D,D,D,D,D,D,D,D,D,D,C,D,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,B
  Combined Total Key Indicator score,48,52,47,54,45,44,49,57,55,46,66,57,62,74,70.0,70,71,72.0,71.0,73.0,75.0,74.0,77.0,71.0,77.0,76.0,70.0,82.0,75.0,76.0
Number of records completed: Team-centred post-72h all teams cohort,93,91,126,115,111,99,113,103,133,131,139,117,158,128,130,134,149,121,132,129,136,143,127,160,135,136,125,100,145,150
Patient-centred Domain levels: 1) Scanning,D,D,D,C,C,C,C,B,B,C,B,C,C,B,B,B,B,C,C,C,B,B,B,C,B,B,C,B,B,B
Patient-centred Domain levels: 2) Stroke unit,C,C,E,C,D,E,E,D,D,E,E,E,E,E,E,E,E,D,D,E,E,E,E,E,E,E,E,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,E,C,E,E,E,D,D,E,E,E,D,E,E,D,D,C,D,D,C,D,C,C,C,C,C,C,D,C,C,D
Patient-centred Domain levels: 4) Specialist Assessments,D,D,D,D,E,E,D,D,D,D,B,C,C,B,B,C,B,B,B,B,B,B,B,C,B,B,C,B,B,C
Patient-centred Domain levels: 5) Occupational therapy,C,C,C,C,A,C,C,B,A,C,C,C,B,A,B,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A
