SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
  SSNAP level,E,D,D,C,D,D,D,D,C,D,C,B,B,B,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
  SSNAP score,36.1,41.4,54,60.8,46.2,55.1,54.2,57.8,68.4,59.8,64.1,73.1,78.8,73.1,64.6,78.8,72.2,75.0,73.1,80.0,74.0,71.3,74.1,72.0,76.0,70.0,70.3,79.0,79.0,70.0
  Case ascertainment band,A,A,A,A,B,B,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
  Audit compliance band,B,C,C,B,C,B,B,B,B,B,C,B,B,B,B,B,B,A,B,A,A,B,B,A,A,A,B,A,A,A
  Combined Total Key Indicator level,E,D,C,C,D,C,D,C,B,C,B,B,A,B,C,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B
  Combined Total Key Indicator score,38,46,60,64,54,61,57,64,72,63,75,77,83,77,68.0,83,76,75.0,77.0,80.0,74.0,75.0,78.0,72.0,76.0,70.0,74.0,79.0,79.0,70.0
Number of records completed: Team-centred post-72h all teams cohort,220,212,204,210,192,200,195,200,225,198,206,176,203,218,193,181,192,216,227,243,206,243,229,255,261,280,269,269,238,242
Patient-centred Domain levels: 1) Scanning,D,C,B,C,C,C,C,B,A,B,B,A,A,B,C,A,C,A,B,B,B,B,B,B,A,B,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,D,C,C,C,C,C,C,B,C,C,C,C,B,C,C,C,C,C,C,C,D,D,C,C,C,C,C,C,B,C
Patient-centred Domain levels: 3) Thrombolysis,D,D,B,D,D,C,D,C,C,C,C,B,B,B,C,B,B,B,B,B,C,B,B,C,B,B,B,B,B,B
Patient-centred Domain levels: 4) Specialist Assessments,D,C,B,B,C,B,B,B,B,C,B,B,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B,A,A,B
Patient-centred Domain levels: 5) Occupational therapy,E,E,D,C,C,C,D,C,A,B,A,A,A,A,C,A,A,C,A,A,A,A,A,A,B,B,A,A,B,C
Patient-centred Domain levels: 6) Physiotherapy,C,B,B,A,C,B,B,B,B,D,B,B,A,B,B,A,B,B,B,A,B,B,B,B,C,B,B,B,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,D,C,C,C,C,E,D,E,C,D,C,D,C,C,C,C,C,C,C,C,C,D,C,C,C,D,D,D
Patient-centred Domain levels: 8) MDT working,E,E,E,D,E,E,E,E,D,C,C,C,C,C,C,C,C,D,D,D,D,D,D,D,D,D,D,D,D,D
Patient-centred Domain levels: 9) Standards by discharge,D,D,D,C,D,D,D,C,B,B,B,B,B,B,B,A,A,B,B,A,A,B,B,C,B,D,D,B,A,B
Patient-centred Domain levels: 10) Discharge processes,C,C,B,B,C,B,A,A,C,B,B,B,B,A,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,E,D,C,C,D,C,D,C,B,C,B,B,A,B,C,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B
Patient-centred KI level Patient-centred Total KI score,38,46,60,64,52,60,58,64,70,62,74,76,82,76,68.0,82,76,74.0,76.0,80.0,74.0,74.0,76.0,70.0,74.0,70.0,74.0,78.0,80.0,72.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,D,D,C,D,D,D,D,C,D,C,B,B,B,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
Patient-centred SSNAP level Patient-centred SSNAP score,36.1,41.4,54,60.8,44.5,54.2,55.1,57.8,66.5,58.9,63.3,72.2,77.9,72.2,64.6,77.9,72.2,74.0,72.2,80.0,74.0,70.3,72.2,70.0,74.0,70.0,70.3,78.0,80.0,72.0
Team-centred Domain levels: 1) Scanning,D,C,B,C,C,C,C,B,A,B,B,A,A,B,C,A,C,A,B,B,B,B,B,B,A,B,A,A,A,A
Team-centred Domain levels: 2) Stroke unit,D,C,C,C,C,C,D,B,C,C,C,C,B,C,C,C,C,C,C,C,D,D,C,C,C,C,C,C,B,C
Team-centred Domain levels: 3) Thrombolysis,D,D,B,D,D,C,D,C,C,C,B,B,B,B,C,B,B,B,B,C,C,B,B,C,B,B,B,B,B,C
Team-centred Domain levels: 4) Specialist Assessments,D,C,B,B,C,B,C,B,B,C,B,B,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B,A,A,B
Team-centred Domain levels: 5) Occupational therapy,E,E,D,C,C,D,D,D,A,B,A,A,A,A,C,A,A,C,A,A,B,A,A,A,B,B,B,B,C,E
Team-centred Domain levels: 6) Physiotherapy,C,B,B,A,B,B,B,B,B,C,B,A,A,B,B,A,B,B,B,A,B,B,A,B,B,B,B,B,B,B
Team-centred Domain levels: 7) Speech and Language therapy,E,E,D,C,C,B,C,E,C,E,C,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,D,C
Team-centred Domain levels: 8) MDT working,E,E,E,D,D,D,D,D,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,D,D,C,D,D
Team-centred Domain levels: 9) Standards by discharge,D,D,D,C,D,D,D,C,B,B,B,B,B,B,B,A,A,B,B,A,A,B,B,C,B,D,C,B,A,B
Team-centred Domain levels: 10) Discharge processes,C,C,B,B,C,B,A,A,B,B,B,B,A,A,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,E,D,C,C,D,C,D,C,B,C,B,B,A,B,C,A,B,B,B,B,B,B,B,B,B,B,B,B,B,C
Team-centred KI level Team-centred Total KI score,38,46,60,64,56,62,56,64,74,64,76,78,84,78,68.0,84,76,76.0,78.0,80.0,74.0,76.0,80.0,74.0,78.0,70.0,74.0,80.0,78.0,68.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",E,D,D,C,D,D,D,D,B,C,C,B,B,B,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C
