0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,University Hospital Aintree,University Hospital Aintree,University Hospital Aintree,University Hospital Aintree,University Hospital Aintree,University Hospital Aintree,University Hospital Aintree,University Hospital Aintree,University Hospital Aintree,University Hospital Aintree,Countess of Chester Hospital,Countess of Chester Hospital,Countess of Chester Hospital,Countess of Chester Hospital,Countess of Chester Hospital,Countess of Chester Hospital,Countess of Chester Hospital,Countess of Chester Hospital,Countess of Chester Hospital,Countess of Chester Hospital,Countess of Chester Hospital,Countess of Chester Hospital,Countess of Chester Hospital
SSNAP level,E,D,D,C,C,C,B,B,B,C,D,D,D,D,C,B,C,B,B,A,C,B,A
SSNAP score,29.9,48.4,58.5,68.4,66.8,66.5,72.2,71.3,74,68,47.5,47.0,49.0,55.1,64.0,71.0,69.0,74.1,76.0,81.0,67.0,75.0,81.0
Case ascertainment band,C,B,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,E,D,C,C,B,B,B,A,A,A,B,A,A,B,A,A,A,B,A,A,A,A,A
Combined Total Key Indicator level,D,C,C,B,B,B,B,B,B,C,D,D,D,D,C,B,C,B,B,A,C,B,A
Combined Total Key Indicator score,44,60,65,76,74,70,76,75,74,68,50.0,47.0,49.0,58.0,64.0,71.0,69.0,78.0,76.0,81.0,67.0,75.0,81.0
Number of records completed: Team-centred post-72h all teams cohort,90,92,117,125,96,134,118,102,111,122,121,131,99,109,95,96,123,91,116,99,131,115,114
Patient-centred Domain levels: 1) Scanning,D,C,C,B,C,C,B,B,C,C,B,B,B,C,A,B,A,A,B,A,B,A,A
Patient-centred Domain levels: 2) Stroke unit,E,C,C,C,D,D,D,D,D,E,E,E,E,E,E,E,E,E,E,E,E,E,D
Patient-centred Domain levels: 3) Thrombolysis,D,C,D,A,A,B,B,C,B,C,D,E,E,D,D,D,D,C,D,B,D,D,B
Patient-centred Domain levels: 4) Specialist Assessments,D,A,B,A,A,B,A,A,B,A,C,C,B,B,A,A,A,A,A,A,A,B,A
