0,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Russells Hall Hospital,Russells Hall Hospital,Russells Hall Hospital,Russells Hall Hospital,Russells Hall Hospital,Russells Hall Hospital,Russells Hall Hospital,Russells Hall Hospital,Russells Hall Hospital,Russells Hall Hospital,Russells Hall Hospital,Russells Hall Hospital,Russells Hall Hospital
SSNAP level,C,B,C,C,C,C,C,C,C,B,B,B,B
SSNAP score,63.2,70.4,68.0,64.6,68.4,69.0,69.0,66.5,69.3,71.0,74.0,77.0,77.0
Case ascertainment band,B,B,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,B,B,A,B,B,A,A,B,B,A,A,A,A
Combined Total Key Indicator level,B,B,C,C,B,C,C,B,B,B,B,B,B
Combined Total Key Indicator score,70.0,78.0,68.0,68.0,72.0,69.0,69.0,70.0,73.0,71.0,74.0,77.0,77.0
Number of records completed: Team-centred post-72h all teams cohort,130,120,171,144,146,158,148,182,146,170,150,141,150
Patient-centred Domain levels: 1) Scanning,B,B,C,C,C,C,B,C,C,B,C,B,B
Patient-centred Domain levels: 2) Stroke unit,E,E,E,E,E,E,E,E,D,D,D,C,C
Patient-centred Domain levels: 3) Thrombolysis,E,C,D,D,D,D,D,D,D,D,C,B,C
Patient-centred Domain levels: 4) Specialist Assessments,B,A,B,B,B,B,B,B,B,B,B,B,B
Patient-centred Domain levels: 5) Occupational therapy,A,A,A,A,A,A,A,A,A,C,B,A,A
Patient-centred Domain levels: 6) Physiotherapy,A,A,B,A,A,A,B,A,A,A,A,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,D,D,E,E,C,E,E,D,B,C,C,E,C
Patient-centred Domain levels: 8) MDT working,B,B,B,B,B,C,B,B,B,A,A,B,B
Patient-centred Domain levels: 9) Standards by discharge,B,A,A,B,B,A,A,B,B,B,B,A,B
Patient-centred Domain levels: 10) Discharge processes,B,A,A,A,A,A,A,A,B,C,B,B,B
Patient-centred KI level Patient-centred Total KI level,C,B,C,C,B,C,B,B,B,B,B,B,B
Patient-centred KI level Patient-centred Total KI score,68.0,78.0,68.0,68.0,72.0,68.0,70.0,70.0,74.0,70.0,74.0,78.0,78.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",C,B,C,C,C,C,B,C,B,B,B,B,B
Patient-centred SSNAP level Patient-centred SSNAP score,61.4,70.4,68.0,64.6,68.4,68.0,70.0,66.5,70.3,70.0,74.0,78.0,78.0
Team-centred Domain levels: 1) Scanning,B,B,C,C,C,C,C,C,C,B,C,B,C
Team-centred Domain levels: 2) Stroke unit,E,E,E,E,E,E,E,E,D,C,D,C,D
Team-centred Domain levels: 3) Thrombolysis,E,C,D,D,D,D,D,C,D,D,C,C,C
Team-centred Domain levels: 4) Specialist Assessments,B,A,B,B,B,B,B,B,B,B,B,B,B
Team-centred Domain levels: 5) Occupational therapy,A,A,A,A,A,A,A,A,A,C,B,A,A
Team-centred Domain levels: 6) Physiotherapy,A,A,B,A,A,A,B,B,A,A,A,A,A
Team-centred Domain levels: 7) Speech and Language therapy,C,D,E,E,C,E,E,D,B,C,C,E,C
Team-centred Domain levels: 8) MDT working,B,B,B,B,B,B,B,B,B,A,A,B,A
Team-centred Domain levels: 9) Standards by discharge,B,A,A,B,B,A,A,B,B,B,B,A,B
Team-centred Domain levels: 10) Discharge processes,A,A,A,A,A,A,A,A,C,C,B,B,B
Team-centred KI level Team-centred Total KI level,B,B,C,C,B,B,C,B,B,B,B,B,B
Team-centred KI level Team-centred Total KI score,72.0,78.0,68.0,68.0,72.0,70.0,68.0,70.0,72.0,72.0,74.0,76.0,76.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",C,B,C,C,C,B,C,C,C,B,B,B,B
Team-centred SSNAP level Team-centred SSNAP score,65.0,70.4,68.0,64.6,68.4,70.0,68.0,66.5,68.4,72.0,74.0,76.0,76.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),208,209,206,205,217,238,229,219,239,234,243,245,262
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),95%,94%,92%,96%,96%,95%,94%,93%,93%,93%,93%,95%,97%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),54,43,32,27,32,40,30,29,41,49,57,46,62
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),26%,21%,16%,13%,15%,17%,13%,13%,17%,21%,23%,19%,24%
