0,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,North Devon District Hospital,North Devon District Hospital,North Devon District Hospital,Royal Cornwall Hospital,Royal Cornwall Hospital,Royal Cornwall Hospital,Royal Cornwall Hospital,Royal Cornwall Hospital,Royal Cornwall Hospital,Royal Cornwall Hospital,Royal Cornwall Hospital,Royal Cornwall Hospital,Royal Cornwall Hospital
SSNAP level,D,D,C,D,D,D,C,C,C,C,C,C,D
SSNAP score,51.0,57.0,61.0,58.0,57.0,58.0,60.0,69.0,60.0,64.0,65.0,62.0,56.0
Case ascertainment band,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,A,A,A,A,A,A,A,A,A,A,A,A,B
Combined Total Key Indicator level,D,D,C,D,D,D,C,C,C,C,C,C,D
Combined Total Key Indicator score,51.0,57.0,61.0,58.0,57.0,58.0,60.0,69.0,60.0,64.0,65.0,62.0,59.0
Number of records completed: Team-centred post-72h all teams cohort,100,106,93,227,246,256,253,273,238,235,244,252,258
Patient-centred Domain levels: 1) Scanning,B,A,B,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,E,E,E,E,E,E,E,D,E,E,D,E,E
Patient-centred Domain levels: 3) Thrombolysis,D,D,C,E,D,D,E,D,D,D,C,D,D
Patient-centred Domain levels: 4) Specialist Assessments,E,E,E,B,D,D,C,B,B,B,B,B,B
Patient-centred Domain levels: 5) Occupational therapy,D,C,C,C,D,D,C,C,C,C,C,B,C
Patient-centred Domain levels: 6) Physiotherapy,C,C,B,D,D,C,C,B,D,C,D,D,D
Patient-centred Domain levels: 7) Speech and Language therapy,B,C,C,B,A,B,B,A,B,B,A,C,C
Patient-centred Domain levels: 8) MDT working,C,C,C,D,D,D,C,D,D,D,D,D,D
Patient-centred Domain levels: 9) Standards by discharge,D,D,C,B,B,B,C,B,C,C,B,B,C
Patient-centred Domain levels: 10) Discharge processes,A,A,A,B,B,B,B,B,B,B,B,B,B
Patient-centred KI level Patient-centred Total KI level,D,D,C,C,D,D,C,B,C,C,C,C,D
Patient-centred KI level Patient-centred Total KI score,54.0,56.0,60.0,60.0,58.0,58.0,60.0,70.0,60.0,62.0,68.0,62.0,58.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,C,C,D,D,C,B,C,C,C,C,D
Patient-centred SSNAP level Patient-centred SSNAP score,54.0,56.0,60.0,60.0,58.0,58.0,60.0,70.0,60.0,62.0,68.0,62.0,55.1
Team-centred Domain levels: 1) Scanning,C,A,B,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 2) Stroke unit,E,E,E,E,E,E,E,D,D,E,E,E,E
Team-centred Domain levels: 3) Thrombolysis,D,D,C,E,E,D,E,D,D,D,D,E,D
Team-centred Domain levels: 4) Specialist Assessments,E,E,E,B,D,D,C,B,B,B,B,B,B
Team-centred Domain levels: 5) Occupational therapy,E,C,C,D,D,D,D,D,D,C,C,B,C
Team-centred Domain levels: 6) Physiotherapy,D,C,B,D,D,C,C,C,D,C,D,D,D
Team-centred Domain levels: 7) Speech and Language therapy,C,C,C,B,A,A,A,A,B,B,B,B,C
Team-centred Domain levels: 8) MDT working,B,B,B,D,C,D,C,C,D,C,C,D,D
Team-centred Domain levels: 9) Standards by discharge,D,D,C,B,B,C,C,B,C,B,C,B,B
Team-centred Domain levels: 10) Discharge processes,A,A,A,C,C,B,B,B,B,B,B,B,B
Team-centred KI level Team-centred Total KI level,D,D,C,D,D,D,C,C,C,C,C,C,C
Team-centred KI level Team-centred Total KI score,48.0,58.0,62.0,56.0,56.0,58.0,60.0,68.0,60.0,66.0,62.0,62.0,60.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,D,C,D,D,D,C,C,C,C,C,C,D
Team-centred SSNAP level Team-centred SSNAP score,48.0,58.0,62.0,56.0,56.0,58.0,60.0,68.0,60.0,66.0,62.0,62.0,57.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),137,82,148,296,257,249,329,369,369,372,372,370,352
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),83%,62%,88%,87%,80%,84%,96%,95%,95%,94%,94%,97%,98%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),11,33,43,174,90,42,52,57,93,170,159,161,191
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),8%,40%,29%,59%,35%,17%,16%,15%,25%,46%,43%,44%,54%
