0,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Eastbourne District General Hospital,Eastbourne District General Hospital,Eastbourne District General Hospital,Eastbourne District General Hospital,Eastbourne District General Hospital,Eastbourne District General Hospital,Eastbourne District General Hospital,Eastbourne District General Hospital,Eastbourne District General Hospital,Eastbourne District General Hospital,Eastbourne District General Hospital,Eastbourne District General Hospital,Eastbourne District General Hospital
SSNAP level,D,C,C,C,D,D,C,B,B,C,C,C,D
SSNAP score,56.0,61.0,66.0,64.0,58.0,58.0,63.0,70.0,71.0,62.0,60.0,65.0,58.0
Case ascertainment band,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,B,A,A,A,A,A,A,A,A,A,A,A,A
Combined Total Key Indicator level,D,C,C,C,D,D,C,B,B,C,C,C,D
Combined Total Key Indicator score,59.0,61.0,66.0,64.0,58.0,58.0,63.0,70.0,71.0,62.0,60.0,65.0,58.0
Number of records completed: Team-centred post-72h all teams cohort,203,173,180,191,207,209,214,208,203,240,223,214,223
Patient-centred Domain levels: 1) Scanning,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,C,C,D,C,D,D,C,B,B,C,C,C,D
Patient-centred Domain levels: 3) Thrombolysis,D,D,D,D,D,D,C,C,C,B,C,A,B
Patient-centred Domain levels: 4) Specialist Assessments,C,C,C,C,D,C,C,B,B,C,C,C,C
Patient-centred Domain levels: 5) Occupational therapy,E,C,B,C,C,D,C,D,C,D,D,D,E
Patient-centred Domain levels: 6) Physiotherapy,C,D,B,C,C,C,C,B,B,C,D,D,C
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,E,E,E,E,E,E,E
Patient-centred Domain levels: 8) MDT working,D,E,D,D,D,D,D,D,D,E,D,D,E
Patient-centred Domain levels: 9) Standards by discharge,B,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 10) Discharge processes,A,A,A,A,A,A,A,A,B,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,D,C,C,C,C,C,C,B,B,C,C,C,C
Patient-centred KI level Patient-centred Total KI score,58.0,60.0,66.0,64.0,60.0,60.0,66.0,70.0,70.0,64.0,62.0,66.0,60.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,C,C,C,C,C,C,B,B,C,C,C,C
Patient-centred SSNAP level Patient-centred SSNAP score,55.1,60.0,66.0,64.0,60.0,60.0,66.0,70.0,70.0,64.0,62.0,66.0,60.0
Team-centred Domain levels: 1) Scanning,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 2) Stroke unit,C,C,D,C,D,D,C,B,B,C,C,C,E
Team-centred Domain levels: 3) Thrombolysis,D,D,D,D,D,D,C,C,C,C,C,A,B
Team-centred Domain levels: 4) Specialist Assessments,C,C,C,C,D,C,C,B,B,C,C,C,C
Team-centred Domain levels: 5) Occupational therapy,E,C,B,C,C,D,D,D,C,D,E,E,E
Team-centred Domain levels: 6) Physiotherapy,B,C,B,C,D,D,D,B,B,D,D,D,D
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,E,E,E,E,E,E,E
Team-centred Domain levels: 8) MDT working,D,E,D,D,E,E,E,D,D,E,E,D,E
Team-centred Domain levels: 9) Standards by discharge,B,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 10) Discharge processes,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,C,C,C,C,D,D,C,B,B,C,D,C,D
Team-centred KI level Team-centred Total KI score,60.0,62.0,66.0,64.0,56.0,56.0,60.0,70.0,72.0,60.0,58.0,64.0,56.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,C,C,C,D,D,C,B,B,C,D,C,D
Team-centred SSNAP level Team-centred SSNAP score,57.0,62.0,66.0,64.0,56.0,56.0,60.0,70.0,72.0,60.0,58.0,64.0,56.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),240,203,219,263,226,214,212,214,205,181,174,190,211
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),89%,78%,79%,82%,80%,78%,72%,70%,62%,55%,56%,58%,58%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),45,38,28,45,42,44,40,44,48,43,49,46,37
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),19%,19%,13%,17%,19%,21%,19%,21%,23%,24%,28%,24%,18%
