0,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Wycombe General Hospital,Wycombe General Hospital,Wycombe General Hospital,Wycombe General Hospital,Wycombe General Hospital,Wycombe General Hospital,Wycombe General Hospital,Wycombe General Hospital,Wycombe General Hospital,Wycombe General Hospital,Wycombe General Hospital,Wycombe General Hospital,Wycombe General Hospital
SSNAP level,A,A,A,A,A,B,A,A,A,A,A,A,A
SSNAP score,84.0,83.0,87.0,82.6,86.0,79.8,88.0,84.0,86.0,88.0,87.0,89.0,88.0
Case ascertainment band,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,A,A,A,B,A,B,A,A,A,A,A,A,A
Combined Total Key Indicator level,A,A,A,A,A,A,A,A,A,A,A,A,A
Combined Total Key Indicator score,84.0,83.0,87.0,87.0,86.0,84.0,88.0,84.0,86.0,88.0,87.0,89.0,88.0
Number of records completed: Team-centred post-72h all teams cohort,221,218,219,183,192,234,193,208,202,201,203,199,210
Patient-centred Domain levels: 1) Scanning,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,B,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 3) Thrombolysis,A,A,A,A,A,A,A,A,A,A,A,C,B
Patient-centred Domain levels: 4) Specialist Assessments,B,A,A,A,A,A,A,B,A,A,A,B,B
Patient-centred Domain levels: 5) Occupational therapy,B,C,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,A,B,A,B,A,B,B,B,B,A,B,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,C,C,B,C,C,C,A,B,B,A,B,B,B
Patient-centred Domain levels: 8) MDT working,C,C,C,B,B,B,C,C,C,C,D,C,C
Patient-centred Domain levels: 9) Standards by discharge,B,B,C,C,D,D,C,C,C,C,C,B,C
Patient-centred Domain levels: 10) Discharge processes,B,B,B,A,A,B,B,C,C,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI score,82.0,82.0,88.0,88.0,88.0,84.0,88.0,82.0,84.0,92.0,86.0,86.0,86.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",A,A,A,A,A,B,A,A,A,A,A,A,A
Patient-centred SSNAP level Patient-centred SSNAP score,82.0,82.0,88.0,83.6,88.0,79.8,88.0,82.0,84.0,92.0,86.0,86.0,86.0
Team-centred Domain levels: 1) Scanning,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 3) Thrombolysis,A,A,A,A,A,A,A,A,A,A,A,B,B
Team-centred Domain levels: 4) Specialist Assessments,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,C,C,B,B,B,A,A,B,A,C,B,A,A
Team-centred Domain levels: 6) Physiotherapy,B,B,B,B,B,B,B,B,B,B,B,A,A
Team-centred Domain levels: 7) Speech and Language therapy,B,C,B,C,C,C,B,B,B,B,B,B,B
Team-centred Domain levels: 8) MDT working,B,B,B,A,B,B,B,B,B,B,B,B,B
Team-centred Domain levels: 9) Standards by discharge,B,B,C,C,D,D,C,C,C,D,C,B,C
Team-centred Domain levels: 10) Discharge processes,B,B,B,B,A,B,B,B,B,A,A,A,A
Team-centred KI level Team-centred Total KI level,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI score,86.0,84.0,86.0,86.0,84.0,84.0,88.0,86.0,88.0,84.0,88.0,92.0,90.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",A,A,A,A,A,B,A,A,A,A,A,A,A
Team-centred SSNAP level Team-centred SSNAP score,86.0,84.0,86.0,81.7,84.0,79.8,88.0,86.0,88.0,84.0,88.0,92.0,90.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),196,228,319,336,320,316,281,287,338,298,275,274,256
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),76%,84%,88%,90%,91%,93%,94%,89%,89%,90%,89%,88%,82%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),133,65,52,59,62,58,54,76,76,58,54,51,68
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),68%,29%,16%,18%,19%,18%,19%,26%,22%,19%,20%,19%,27%
