0,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Gloucestershire Royal Hospital,Gloucestershire Royal Hospital,Gloucestershire Royal Hospital,Gloucestershire Royal Hospital,Gloucestershire Royal Hospital,Gloucestershire Royal Hospital,Gloucestershire Royal Hospital,Gloucestershire Royal Hospital,Gloucestershire Royal Hospital,Gloucestershire Royal Hospital,Gloucestershire Royal Hospital,Gloucestershire Royal Hospital,Gloucestershire Royal Hospital
SSNAP level,B,D,D,B,C,C,B,B,C,C,B,C,B
SSNAP score,73.0,51.0,53.3,73.0,66.5,68.0,73.0,71.0,67.0,67.0,73.0,69.0,71.0
Case ascertainment band,A,C,C,A,A,A,A,A,A,A,A,A,A
Audit compliance band,A,A,B,A,B,A,A,A,A,A,A,A,A
Combined Total Key Indicator level,B,C,C,B,B,C,B,B,C,C,B,C,B
Combined Total Key Indicator score,73.0,60.0,66.0,73.0,70.0,68.0,73.0,71.0,67.0,67.0,73.0,69.0,71.0
Number of records completed: Team-centred post-72h all teams cohort,218,162,117,173,241,242,244,229,254,250,243,236,260
Patient-centred Domain levels: 1) Scanning,A,B,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,E,E,D,B,B,B,B,B,B,B,B,B,B
Patient-centred Domain levels: 3) Thrombolysis,C,D,C,B,B,C,B,B,B,C,A,B,A
Patient-centred Domain levels: 4) Specialist Assessments,D,D,B,B,B,B,B,B,B,B,B,B,B
Patient-centred Domain levels: 5) Occupational therapy,A,B,A,A,A,C,C,C,D,C,C,C,C
Patient-centred Domain levels: 6) Physiotherapy,A,B,B,B,B,C,B,C,D,C,C,D,C
Patient-centred Domain levels: 7) Speech and Language therapy,C,D,D,D,E,D,C,C,C,D,C,D,D
Patient-centred Domain levels: 8) MDT working,C,C,D,C,D,D,D,D,D,D,D,D,D
Patient-centred Domain levels: 9) Standards by discharge,B,B,D,C,B,B,B,B,B,B,B,B,B
Patient-centred Domain levels: 10) Discharge processes,A,A,B,C,C,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,B,C,C,B,B,B,B,B,B,B,B,B,B
Patient-centred KI level Patient-centred Total KI score,72.0,62.0,66.0,74.0,72.0,70.0,76.0,74.0,70.0,70.0,76.0,70.0,74.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",B,D,D,B,C,B,B,B,B,B,B,B,B
Patient-centred SSNAP level Patient-centred SSNAP score,72.0,52.7,53.3,74.0,68.4,70.0,76.0,74.0,70.0,70.0,76.0,70.0,74.0
Team-centred Domain levels: 1) Scanning,A,B,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 2) Stroke unit,E,E,D,B,B,B,B,B,B,B,B,B,B
Team-centred Domain levels: 3) Thrombolysis,C,D,C,B,C,C,B,B,B,C,B,B,A
Team-centred Domain levels: 4) Specialist Assessments,D,D,B,B,B,B,B,B,B,B,B,B,B
Team-centred Domain levels: 5) Occupational therapy,A,C,B,A,B,C,C,D,E,D,C,D,D
Team-centred Domain levels: 6) Physiotherapy,A,B,B,A,B,C,C,D,D,D,D,D,D
Team-centred Domain levels: 7) Speech and Language therapy,C,D,D,E,E,E,D,D,D,E,D,D,E
Team-centred Domain levels: 8) MDT working,C,C,C,C,C,D,D,D,D,D,D,D,D
Team-centred Domain levels: 9) Standards by discharge,A,B,D,C,C,C,C,B,C,B,B,B,B
Team-centred Domain levels: 10) Discharge processes,A,B,B,D,C,A,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,B,D,C,B,C,C,B,C,C,C,B,C,C
Team-centred KI level Team-centred Total KI score,74.0,58.0,66.0,72.0,68.0,66.0,70.0,68.0,64.0,64.0,70.0,68.0,68.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",B,D,D,B,C,C,B,C,C,C,B,C,C
Team-centred SSNAP level Team-centred SSNAP score,74.0,49.3,53.3,72.0,64.6,66.0,70.0,68.0,64.0,64.0,70.0,68.0,68.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),235,209,238,261,247,273,277,273,281,267,290,266,274
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),82%,73%,73%,79%,82%,83%,80%,80%,80%,78%,78%,78%,78%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),134,121,128,119,87,85,122,131,133,114,123,118,118
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),57%,58%,54%,46%,35%,31%,44%,48%,47%,43%,42%,44%,43%
