SSNAP Scoring Summary:,2018-04-01
SSNAP level,TFP
SSNAP score,.
Audit compliance band,TFP
Combined Total Key Indicator level,TFP
Combined Total Key Indicator score,.
Number of records completed: Team-centred post-72h all teams cohort,Too few to report
Patient-centred Domain levels: 1) Scanning,Too few to report
Patient-centred Domain levels: 2) Stroke unit,Too few to report
Patient-centred Domain levels: 3) Thrombolysis,Too few to report
Patient-centred Domain levels: 4) Specialist Assessments,Too few to report
Patient-centred Domain levels: 5) Occupational therapy,Too few to report
Patient-centred Domain levels: 6) Physiotherapy,Too few to report
Patient-centred Domain levels: 7) Speech and Language therapy,Too few to report
Patient-centred Domain levels: 8) MDT working,Too few to report
Patient-centred Domain levels: 9) Standards by discharge,Too few to report
Patient-centred Domain levels: 10) Discharge processes,Too few to report
Patient-centred KI level Patient-centred Total KI level,TFP
Patient-centred KI level Patient-centred Total KI score,.
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",TFP
Patient-centred SSNAP level Patient-centred SSNAP score,.
Team-centred Domain levels: 1) Scanning,Too few to report
Team-centred Domain levels: 2) Stroke unit,Too few to report
Team-centred Domain levels: 3) Thrombolysis,Too few to report
Team-centred Domain levels: 4) Specialist Assessments,Too few to report
Team-centred Domain levels: 5) Occupational therapy,Too few to report
Team-centred Domain levels: 6) Physiotherapy,Too few to report
Team-centred Domain levels: 7) Speech and Language therapy,Too few to report
Team-centred Domain levels: 8) MDT working,Too few to report
Team-centred Domain levels: 9) Standards by discharge,Too few to report
Team-centred Domain levels: 10) Discharge processes,Too few to report
Team-centred KI level Team-centred Total KI level,TFP
Team-centred KI level Team-centred Total KI score,.
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",TFP
Team-centred SSNAP level Team-centred SSNAP score,.
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),.
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),.
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),.
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),.
