SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
SSNAP level,D,D,D,C,C,C,C,B,B,B,B,A,A,B,B,B,B,A,A,A,A,A,A,A,A,B,A,A,A,A
SSNAP score,53.9,55.8,49.4,65,63,66.5,68,76,76,70.3,77,83,81,80,79.0,78,77,92.0,90.0,91.0,88.0,87.0,86.0,86.0,82.0,79.0,87.0,87.0,83.0,83.0
Case ascertainment band,B,A,A,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,C,C,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Combined Total Key Indicator level,C,C,D,C,C,B,C,B,B,B,B,A,A,B,B,B,B,A,A,A,A,A,A,A,A,B,A,A,A,A
Combined Total Key Indicator score,63,62,52,65,63,70,68,76,76,74,77,83,81,80,79.0,78,77,92.0,90.0,91.0,88.0,87.0,86.0,86.0,82.0,79.0,87.0,87.0,83.0,83.0
Number of records completed: Team-centred post-72h all teams cohort,142,189,174,167,151,152,166,156,147,134,159,159,163,151,160,152,166,206,201,221,196,234,204,219,234,242,231,224,238,214
Patient-centred Domain levels: 1) Scanning,B,A,C,C,C,A,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,C,C,D,C,C,D,D,C,C,C,C,C,C,C,C,C,D,B,B,B,C,D,C,D,C,D,C,C,D,D
Patient-centred Domain levels: 3) Thrombolysis,B,B,C,B,C,A,C,B,B,A,C,B,B,B,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 4) Specialist Assessments,C,D,D,C,D,D,D,C,C,B,C,B,B,B,B,B,B,A,A,A,A,A,B,A,B,B,A,A,A,B
Patient-centred Domain levels: 5) Occupational therapy,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
