SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
  SSNAP level,C,B,A,A,A,B,B,A,A,A,A,A,B,A,C,B,B,B,B,B,A,A,A,A,B,B,A,A,B,B
  SSNAP score,69.5,71.3,82.6,81.2,82.6,78.5,78.5,82.6,81.7,80.8,81.7,83.6,78.8,83,62.7,73,76,75.0,74.0,75.0,82.0,85.0,87.0,82.0,75.0,78.0,82.0,83.0,78.0,78.0
  Case ascertainment band,B,B,A,B,A,B,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
  Audit compliance band,B,B,B,B,B,B,B,B,B,A,B,B,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
  Combined Total Key Indicator level,B,B,A,A,A,A,A,A,A,A,A,A,A,A,C,B,B,B,B,B,A,A,A,A,B,B,A,A,B,B
  Combined Total Key Indicator score,77,79,87,90,87,87,87,87,86,85,86,88,83,83,66.0,73,76,75.0,74.0,75.0,82.0,85.0,87.0,82.0,75.0,78.0,82.0,83.0,78.0,78.0
Number of records completed: Team-centred post-72h all teams cohort,200,198,196,190,197,204,182,203,227,191,239,203,226,220,168,210,248,236,212,230,232,266,254,272,251,274,264,277,289,277
Patient-centred Domain levels: 1) Scanning,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,C,C,C,C,C,C,C,C,C,D,C,C,C,C,E,D,D,E,E,E,E,E,E,E,E,E,E,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,A,A,A,A,B,B,B,B,B,B,B,B,C,C,C,C,B,A,B,B,B,B,B,C,B,B,B,C,C,C
Patient-centred Domain levels: 4) Specialist Assessments,B,B,B,B,B,B,B,B,C,B,B,A,A,A,B,C,B,A,A,A,A,A,A,A,B,B,B,B,B,A
Patient-centred Domain levels: 5) Occupational therapy,B,B,B,A,A,A,A,A,A,A,A,A,B,C,C,A,A,C,B,B,B,B,A,A,B,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,D,C,B,A,B,C,B,B,A,A,B,B,B,B,B,B,C,C,C,C,B,A,A,A,B,B,A,A,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,C,C,C,B,B,A,B,A,A,B,C,B,C,C,C,C,B,C,C,C,C,B,B,B,C,C,B,B,C,D
Patient-centred Domain levels: 8) MDT working,C,C,B,B,B,B,B,B,B,C,B,B,B,B,D,C,D,C,B,B,B,B,A,B,B,B,B,B,B,B
Patient-centred Domain levels: 9) Standards by discharge,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 10) Discharge processes,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,B,B,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,B,B,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,A,A,A,B,B,A,A,B,B
Patient-centred KI level Patient-centred Total KI score,74,76,82,88,86,86,86,88,88,84,84,88,82,80,70.0,76,78,76.0,76.0,76.0,80.0,84.0,88.0,84.0,76.0,78.0,84.0,82.0,80.0,80.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",C,C,B,B,A,B,B,A,A,B,B,A,B,B,C,B,B,B,B,B,B,A,A,A,B,B,A,A,B,B
Patient-centred SSNAP level Patient-centred SSNAP score,66.8,68.6,77.9,79.4,81.7,77.6,77.6,83.6,83.6,79.8,79.8,83.6,77.9,80,66.5,76,78,76.0,76.0,76.0,80.0,84.0,88.0,84.0,76.0,78.0,84.0,82.0,80.0,80.0
Team-centred Domain levels: 1) Scanning,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 2) Stroke unit,C,C,C,C,C,C,C,C,D,D,C,C,C,D,E,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Team-centred Domain levels: 3) Thrombolysis,A,A,A,A,B,B,B,B,B,B,C,B,C,C,C,C,B,B,B,B,B,B,C,C,C,B,C,C,D,D
Team-centred Domain levels: 4) Specialist Assessments,B,B,B,B,B,B,B,B,C,B,A,A,A,A,B,C,C,A,A,A,A,A,A,A,B,B,B,B,B,B
Team-centred Domain levels: 5) Occupational therapy,B,A,A,A,A,A,A,A,A,A,A,A,A,A,C,A,A,C,C,C,B,B,A,B,B,A,A,A,A,A
Team-centred Domain levels: 6) Physiotherapy,C,C,A,A,A,B,A,A,A,A,A,A,B,A,B,B,C,D,D,D,B,A,A,B,B,A,A,A,B,B
Team-centred Domain levels: 7) Speech and Language therapy,B,C,A,A,A,A,A,A,A,B,B,C,C,B,E,E,B,C,C,C,B,A,A,B,B,C,B,A,C,C
Team-centred Domain levels: 8) MDT working,B,B,A,A,B,A,B,B,B,B,B,B,B,B,D,C,C,B,B,B,A,B,B,B,B,B,B,B,B,B
Team-centred Domain levels: 9) Standards by discharge,B,A,A,A,A,A,A,B,A,A,A,A,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 10) Discharge processes,B,B,B,B,B,B,B,B,B,A,A,A,A,A,B,B,B,A,A,A,A,A,A,A,C,C,B,A,A,A
Team-centred KI level Team-centred Total KI level,B,A,A,A,A,A,A,A,A,A,A,A,A,A,C,B,B,B,B,B,A,A,A,B,B,B,B,A,B,B
Team-centred KI level Team-centred Total KI score,80,82,92,92,88,88,88,86,84,86,88,88,84,86,62.0,70,74,74.0,72.0,74.0,84.0,86.0,86.0,80.0,74.0,78.0,80.0,84.0,76.0,76.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",B,B,A,A,A,B,B,A,B,A,A,A,B,A,D,B,B,B,B,B,A,A,A,B,B,B,B,A,B,B
Team-centred SSNAP level Team-centred SSNAP score,72.2,74,87.4,83,83.6,79.4,79.4,81.7,79.8,81.7,83.6,83.6,79.8,86,58.9,70,74,74.0,72.0,74.0,84.0,86.0,86.0,80.0,74.0,78.0,80.0,84.0,76.0,76.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,372,317,295,323,306,326,334,315,291,352,327,309,339,351,374,351,274,331,313,319,318,326,322,358,361,357,367,356,383
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,0.99,0.96,0.94,0.96,0.98,0.99,0.99,0.98,0.97,0.97,0.94,0.92,0.93,93%,0.96,0.95,91%,91%,90%,88%,90%,93%,89%,88%,86%,85%,87%,86%,90%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,9,7,22,38,30,28,29,21,33,91,75,74,78,74,81,77,110,109,119,130,116,102,103,123,107,114,100,147,153
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.02,0.02,0.07,0.12,0.1,0.09,0.09,0.07,0.11,0.26,0.23,0.24,0.23,21%,0.22,0.22,40%,33%,38%,41%,36%,31%,32%,34%,30%,32%,27%,41%,40%
