SSNAP Scoring Summary:,2019-01-01
  SSNAP level,B
  SSNAP score,70.5
  Case ascertainment band,A
  Audit compliance band,C
  Combined Total Key Indicator level,B
  Combined Total Key Indicator score,78.3
Number of records completed: Team-centred post-72h all teams cohort,21
Patient-centred Domain levels: 2) Stroke unit,A
Patient-centred Domain levels: 5) Occupational therapy,B
Patient-centred Domain levels: 6) Physiotherapy,B
Patient-centred Domain levels: 7) Speech and Language therapy,C
Patient-centred Domain levels: 8) MDT working,C
Patient-centred Domain levels: 9) Standards by discharge,B
Patient-centred Domain levels: 10) Discharge processes,A
Patient-centred KI level Patient-centred Total KI level,B
Patient-centred KI level Patient-centred Total KI score,80
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",B
Patient-centred SSNAP level Patient-centred SSNAP score,72
Team-centred Domain levels: 2) Stroke unit,A
Team-centred Domain levels: 5) Occupational therapy,B
Team-centred Domain levels: 6) Physiotherapy,B
Team-centred Domain levels: 7) Speech and Language therapy,E
Team-centred Domain levels: 9) Standards by discharge,B
Team-centred Domain levels: 10) Discharge processes,A
Team-centred KI level Team-centred Total KI level,B
Team-centred KI level Team-centred Total KI score,76.7
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",C
Team-centred SSNAP level Team-centred SSNAP score,69
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),24
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),1
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),19
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0.79
