SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01
  SSNAP level,D,E,D,D,D,D,D,D,D,D
  SSNAP score,44.2,37,42.3,49,42.8,41.8,52.1,48.7,54.7,52.7
  Case ascertainment band,B,A,A,A,A,A,A,A,B,A
  Audit compliance band,B,B,C,A,B,B,D,B,C,D
  Combined Total Key Indicator level,D,E,D,D,D,D,C,D,C,C
  Combined Total Key Indicator score,49,39,47,49,45,44,61.3,51.2,64,62
Number of records completed: Team-centred post-72h all teams cohort,64,58,54,73,68,42,49,51,34,44
Patient-centred Domain levels: 1) Scanning,B,D,D,C,D,C,B,A,B,A
Patient-centred Domain levels: 2) Stroke unit,C,C,C,D,D,E,C,D,C,E
Patient-centred Domain levels: 3) Thrombolysis,D,C,E,C,C,D,B,D,B,B
Patient-centred Domain levels: 4) Specialist Assessments,E,E,E,E,E,E,D,D,C,B
Patient-centred Domain levels: 5) Occupational therapy,C,E,C,B,C,C,A,B,A,C
Patient-centred Domain levels: 6) Physiotherapy,C,C,B,C,B,C,B,C,C,C
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,E,E,E,D
Patient-centred Domain levels: 8) MDT working,C,D,B,B,C,C,B,B,B,B
Patient-centred Domain levels: 9) Standards by discharge,B,C,C,B,B,B,B,B,A,B
Patient-centred Domain levels: 10) Discharge processes,D,D,D,D,D,D,D,D,D,D
Patient-centred KI level Patient-centred Total KI level,D,D,D,D,D,D,C,D,C,C
Patient-centred KI level Patient-centred Total KI score,52,42,48,54,50,46,66,58,68,64
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,E,D,D,D,D,D,D,D,D
Patient-centred SSNAP level Patient-centred SSNAP score,46.9,39.9,43.2,54,47.5,43.7,56.1,55.1,58.1,54.4
Team-centred Domain levels: 1) Scanning,C,D,E,C,E,D,,D,,
Team-centred Domain levels: 2) Stroke unit,C,C,C,E,E,E,B,E,B,C
Team-centred Domain levels: 3) Thrombolysis,D,E,E,E,E,E,,.,,
Team-centred Domain levels: 4) Specialist Assessments,E,E,E,E,E,E,,E,,
Team-centred Domain levels: 5) Occupational therapy,D,E,C,B,C,C,C,C,B,C
Team-centred Domain levels: 6) Physiotherapy,C,D,B,C,B,B,C,C,D,B
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,E,E,E,D
Team-centred Domain levels: 8) MDT working,D,D,B,D,D,D,,C,,
Team-centred Domain levels: 9) Standards by discharge,B,C,C,B,B,B,B,B,A,B
Team-centred Domain levels: 10) Discharge processes,D,D,D,D,D,D,D,D,D,D
Team-centred KI level Team-centred Total KI level,D,E,D,D,D,D,D,D,C,C
Team-centred KI level Team-centred Total KI score,46,36,46,44,40,42,56.7,44.4,60,60
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,E,D,D,E,E,D,D,D,D
Team-centred SSNAP level Team-centred SSNAP score,41.5,34.2,41.4,44,38,39.9,48.2,42.2,51.3,51
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,94,73,70,79,92,85,68,52,58
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,0.82,0.72,0.72,0.83,0.84,0.85,0.87,0.83,0.85
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,81,64,64,70,85,74,54,44,52
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.86,0.88,0.91,0.89,0.92,0.87,0.79,0.85,0.9
