SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
SSNAP level,E,D,D,D,C,C,C,C,B,B,B,B,A,A,B,B,C,A,A,B,B,B,A,B,A,A,A,A,A,A
SSNAP score,34.4,44.2,42.4,59.5,62.7,66.5,63.7,63.7,71,75,75,76,81,84,75.0,74,62.7,86.0,83.6,78.0,71.0,72.0,84.0,74.0,88.0,80.8,92.0,82.0,92.0,88.3
Case ascertainment band,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,E,D,E,D,B,A,B,B,A,A,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,B,A,A,A,B
Combined Total Key Indicator level,D,D,D,B,C,B,C,C,B,B,B,B,A,A,B,B,C,A,A,B,B,B,A,B,A,A,A,A,A,A
Combined Total Key Indicator score,43,52,53,70,66,70,67,67,71,75,75,80,81,84,75.0,74,66,86.0,88.0,78.0,71.0,72.0,84.0,74.0,88.0,85.0,92.0,82.0,92.0,93.0
Number of records completed: Team-centred post-72h all teams cohort,91,76,67,85,94,69,75,76,111,78,83,92,86,94,94,105,178,262,240,269,242,254,239,257,248,247,251,266,263,207
Patient-centred Domain levels: 1) Scanning,D,B,D,C,D,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,D,C,D,C,D,C,D,C,C,D,D,C,C,C,C,C,D,B,B,C,D,E,C,E,B,B,A,B,B,B
Patient-centred Domain levels: 3) Thrombolysis,D,D,D,C,D,D,E,C,D,D,D,B,C,C,D,D,D,B,B,B,C,B,B,B,B,B,A,B,A,A
Patient-centred Domain levels: 4) Specialist Assessments,D,B,D,D,C,B,D,C,C,C,B,B,B,B,B,B,B,A,A,B,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 5) Occupational therapy,A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,A,A,B,B,C,A,B,A,A,A,C,A,A
Patient-centred Domain levels: 6) Physiotherapy,B,D,B,B,B,B,B,A,B,B,A,A,A,A,B,B,C,A,A,B,C,B,A,C,A,B,B,B,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,C,D,D,C,C,C,C,A,B,A,A,B,C,C,B,B,B,C,B,A,A,B,B,A,B,A,A
Patient-centred Domain levels: 8) MDT working,D,D,D,C,B,B,B,B,C,B,B,B,B,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B
Patient-centred Domain levels: 9) Standards by discharge,E,E,D,B,C,D,B,D,B,B,D,D,C,C,C,C,D,D,D,D,D,D,D,D,B,B,B,C,C,B
Patient-centred Domain levels: 10) Discharge processes,E,C,B,A,A,B,B,D,C,A,B,B,B,A,B,B,A,A,A,A,A,B,B,B,B,B,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,D,D,D,B,C,B,C,B,B,B,B,B,A,A,B,B,C,A,A,B,B,B,A,B,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI score,44,50,52,70,64,70,66,70,70,74,74,80,82,84,76.0,74,66,86.0,88.0,78.0,72.0,72.0,84.0,74.0,88.0,86.0,94.0,82.0,92.0,94.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,D,D,D,C,C,C,C,B,B,B,B,A,A,B,B,C,A,A,B,B,B,A,B,A,A,A,A,A,A
Patient-centred SSNAP level Patient-centred SSNAP score,35.2,42.5,41.6,59.5,60.8,66.5,62.7,66.5,70,74,74,76,82,84,76.0,74,62.7,86.0,83.6,78.0,72.0,72.0,84.0,74.0,88.0,81.7,94.0,82.0,92.0,89.3
Team-centred Domain levels: 1) Scanning,D,B,D,C,D,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 2) Stroke unit,E,C,D,C,C,C,C,C,C,C,D,C,C,C,C,C,C,B,B,C,D,E,C,E,B,B,A,B,B,B
Team-centred Domain levels: 3) Thrombolysis,D,D,D,C,D,D,E,D,D,D,C,B,C,C,D,C,D,B,B,B,C,B,B,B,B,B,B,B,A,B
Team-centred Domain levels: 4) Specialist Assessments,D,B,D,D,C,B,D,D,C,C,B,B,B,B,B,B,B,A,A,B,A,A,A,A,A,A,A,A,A,A
