SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
  SSNAP level,D,D,C,C,C,C,C,C,C,C,TFP,B,D,B,B,A,A,C,C,C,TFP,D,D,C,TFP,B,D,B,C
  SSNAP score,44.3,53.6,60.2,63.4,63,61.3,60.1,69,60.3,66.4,.,76,59.3,73.6,78.6,87.9,83.1,69.6,69.2,63.3,.,56.9,47.2,61.5,.,79.6,55.4,71.8,66.8
  Case ascertainment band,B,A,A,A,A,A,A,A,A,A,,A,D,A,A,A,A,C,A,A,C,B,C,A,,A,C,A,A
  Audit compliance band,E,D,E,D,C,D,D,C,D,C,A,B,A,A,A,A,A,A,D,B,A,B,C,B,TFP,A,D,C,D
  Combined Total Key Indicator level,D,C,B,B,B,B,B,B,B,B,TFP,B,A,B,B,A,A,A,A,C,TFP,C,C,C,TFP,B,B,B,B
  Combined Total Key Indicator score,58.3,63.1,75.2,74.6,70,72.1,70.7,76.7,71,73.8,.,80,84.8,73.6,78.6,87.9,83.1,81.9,81.4,66.7,.,63.1,61.7,64.8,.,79.6,76.7,79.8,78.6
Number of records completed: Team-centred post-72h all teams cohort,24,26,24,20,21,31,28,34,28,27,20,31,24,31,29,30,31,20,22,21,21,26,30,22,Too few to report,22,25,35,32
Patient-centred Domain levels: 2) Stroke unit,B,C,B,B,A,B,B,A,C,B,Too few to report,A,A,A,A,B,B,B,B,D,Too few to report,B,D,D,B,B,B,A,A
Patient-centred Domain levels: 5) Occupational therapy,C,D,C,C,B,A,B,C,C,B,Too few to report,B,A,C,B,B,A,A,B,B,Too few to report,C,C,C,C,B,B,A,B
Patient-centred Domain levels: 6) Physiotherapy,B,D,B,B,B,B,B,B,B,B,Too few to report,B,B,B,B,A,B,B,B,B,Too few to report,C,C,C,C,B,B,A,B
Patient-centred Domain levels: 7) Speech and Language therapy,C,B,B,A,A,B,A,A,A,A,Too few to report,A,A,A,B,A,A,A,A,C,Too few to report,B,B,A,B,A,A,B,B
Patient-centred Domain levels: 8) MDT working,E,C,B,B,A,C,C,A,C,C,Too few to report,B,C,B,C,B,C,D,B,D,Too few to report,C,C,C,D,D,A,B,B
Patient-centred Domain levels: 9) Standards by discharge,B,A,A,C,B,A,B,A,B,B,Too few to report,B,B,B,A,A,A,A,A,B,Too few to report,B,B,B,C,A,A,B,B
