SSNAP Scoring Summary:,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
SSNAP level,C,C,D,B,C,D
SSNAP score,60.6,60.8,59.0,76.7,69.2,56.6
Case ascertainment band,A,B,B,A,A,A
Audit compliance band,C,B,C,A,C,C
Combined Total Key Indicator level,C,C,C,B,B,C
Combined Total Key Indicator score,67.4,67.4,69.0,76.7,76.9,62.9
Number of records completed: Team-centred post-72h all teams cohort,40,33,28,40,42,48
Patient-centred Domain levels: 2) Stroke unit,B,C,C,A,A,B
Patient-centred Domain levels: 5) Occupational therapy,C,C,B,C,C,C
Patient-centred Domain levels: 6) Physiotherapy,A,A,A,A,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,B,B,C,A,B,C
Patient-centred Domain levels: 8) MDT working,E,E,E,E,E,E
Patient-centred Domain levels: 9) Standards by discharge,B,B,B,A,A,B
Patient-centred Domain levels: 10) Discharge processes,B,A,A,B,B,C
Patient-centred KI level Patient-centred Total KI level,B,B,B,B,B,C
Patient-centred KI level Patient-centred Total KI score,71.4,71.4,71.4,80.0,77.1,65.7
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",C,C,C,B,C,D
Patient-centred SSNAP level Patient-centred SSNAP score,64.3,64.5,61.1,80.0,69.4,59.1
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,E,E,E,D,C,D
Team-centred Domain levels: 6) Physiotherapy,B,C,B,C,C,C
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,B,C,E
Team-centred Domain levels: 9) Standards by discharge,B,B,B,B,A,B
Team-centred Domain levels: 10) Discharge processes,B,A,A,B,B,C
Team-centred KI level Team-centred Total KI level,C,C,C,B,B,C
Team-centred KI level Team-centred Total KI score,63.3,63.3,66.7,73.3,76.7,60.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,D,D,B,C,D
Team-centred SSNAP level Team-centred SSNAP score,57.0,57.2,57.0,73.3,69.0,54.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),10,24,53,43,33,31
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),91%,100%,100%,98%,97%,100%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),1,0,12,19,24,22
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),10%,0%,23%,44%,73%,71%
