SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
SSNAP level,D,D,D,C,C,C,C,C,B,B,B,B,B,B,C,C,C,C,C,C,D,B,D,D,C,C,C,C,C,C
SSNAP score,44.2,42.8,49.3,61.6,69.3,69.3,63,67.5,74,70.3,74,79,80,80,68.4,66.5,64.6,62.1,61.2,65.7,54.2,73.1,56.0,58.5,67.5,64.1,61.4,61.4,61.8,65.5
Case ascertainment band,A,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,B,B,A,A
Audit compliance band,D,D,D,C,C,C,C,B,A,B,A,A,A,A,B,B,B,C,C,C,B,B,B,C,B,B,B,B,B,B
Combined Total Key Indicator level,D,D,C,B,A,B,B,B,B,B,B,B,B,B,B,B,C,C,C,B,D,B,C,C,B,B,C,C,C,C
Combined Total Key Indicator score,52,53,61,72,81,77,70,71,74,74,74,79,80,80,72.0,70,68,69.0,68.0,73.0,57.0,77.0,62.0,65.0,71.0,71.0,68.0,68.0,65.0,69.0
Number of records completed: Team-centred post-72h all teams cohort,249,226,215,227,213,244,265,269,261,275,285,274,306,253,314,294,275,280,257,269,260,259,186,201,203,236,253,242,277,262
Patient-centred Domain levels: 1) Scanning,C,C,C,C,B,C,C,C,C,C,B,B,B,B,C,C,C,A,B,B,C,A,B,B,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,C,C,C,C,C,C,C,C,C,D,D,C,C,C,C,C,D,C,C,C,E,D,E,E,D,E,E,D,D,D
Patient-centred Domain levels: 3) Thrombolysis,C,C,B,B,B,C,B,C,B,B,C,B,B,B,D,C,C,B,B,C,C,B,C,C,B,C,C,B,C,C
Patient-centred Domain levels: 4) Specialist Assessments,B,B,B,B,A,A,B,B,A,B,B,B,A,A,B,B,B,B,B,B,C,B,C,B,B,B,B,B,B,B
