SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
  SSNAP level,D,D,D,D,D,D,C,D,D,D,C,D,C,C,B,B,B,C,D,D,C,D,D,C,D,D,C,C,D,B
  SSNAP score,42.4,57.8,57.8,53.5,51.9,50.1,66.5,57.6,53.2,51.3,64,57.9,62,62.1,79.0,80,78,63.0,51.0,57.0,61.0,50.0,52.0,63.0,48.4,59.0,64.0,61.0,56.0,72.0
  Case ascertainment band,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A
  Audit compliance band,E,D,D,D,D,D,B,C,B,B,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
  Combined Total Key Indicator level,D,C,C,C,C,D,B,C,D,D,C,C,C,C,B,B,B,C,D,D,C,D,D,C,D,D,C,C,D,B
  Combined Total Key Indicator score,53,68,68,63,61,59,70,64,56,54,64,61,62,65.3,79.0,80,78,63.0,51.0,57.0,61.0,50.0,52.0,63.0,51.0,59.0,64.0,61.0,56.0,72.0
Number of records completed: Team-centred post-72h all teams cohort,102,95,94,111,106,95,92,97,106,90,122,107,135,88,97,117,88,100,100,106,93,99,94,112,92,111,103,111,137,104
Patient-centred Domain levels: 1) Scanning,E,D,D,E,D,D,C,D,D,E,E,D,D,D,C,C,B,C,B,A,B,C,A,B,A,A,A,A,B,A
Patient-centred Domain levels: 2) Stroke unit,E,C,C,D,D,E,C,D,E,D,E,D,D,D,C,C,C,E,E,E,E,E,E,E,E,E,E,E,E,D
Patient-centred Domain levels: 3) Thrombolysis,D,C,C,C,D,E,C,D,D,D,C,D,D,D,B,C,C,D,D,D,C,D,D,C,C,C,C,D,D,D
Patient-centred Domain levels: 4) Specialist Assessments,E,E,E,E,E,E,E,E,E,E,E,E,E,E,D,D,D,E,E,E,E,E,E,D,D,C,C,C,C,B
Patient-centred Domain levels: 5) Occupational therapy,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,C,C,C,C,C,E,B,A,B,B,A
