SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
SSNAP level,D,C,C,B,B,B,B,A,A,B,A,A,A,C,C,A,A,B,B,D,B,B,B,C,C,B,B,C,B,B
SSNAP score,55.6,65.5,69.3,74.1,71.3,70,72,89.7,84,75.5,85,81.7,82.7,64,66.3,84.7,83.7,70.6,80.0,49.1,70.7,76.3,76.0,60.6,65.9,76.3,74.1,68.7,71.0,71.7
Case ascertainment band,B,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,D,B,A,A,C,A,A,B,B,A,A
Audit compliance band,C,B,B,B,B,A,A,A,A,B,A,A,A,D,A,A,A,B,A,C,C,B,A,A,B,A,A,A,A,A
Combined Total Key Indicator level,C,C,B,B,B,B,B,A,A,A,A,A,A,B,C,A,A,B,B,B,A,A,B,B,C,B,B,B,B,B
Combined Total Key Indicator score,65,69,73,78,75,70,72,89.7,84,83.7,85,81.7,82.7,75.3,66.3,84.7,83.7,74.3,80.0,78.0,82.7,80.3,76.0,71.3,69.3,76.3,78.0,72.3,71.0,71.7
Number of records completed: Team-centred post-72h all teams cohort,92,81,103,130,95,101,100,67,62,56,63,55,63,56,62,66,56,43,47,32,39,56,58,51,51,43,41,59,49,49
Patient-centred Domain levels: 1) Scanning,D,C,C,C,C,C,C,A,B,C,A,C,C,C,C,A,A,B,B,C,A,A,A,B,B,B,B,A,A,A
Patient-centred Domain levels: 2) Stroke unit,C,C,C,B,C,C,C,B,B,C,B,C,C,C,C,C,C,D,D,D,C,C,C,C,D,C,C,C,C,B
Patient-centred Domain levels: 3) Thrombolysis,C,C,C,C,A,C,B,A,C,B,B,B,C,C,C,A,C,B,B,B,B,A,A,B,B,C,B,C,D,A
Patient-centred Domain levels: 4) Specialist Assessments,B,B,B,A,B,B,B,A,B,B,B,B,B,B,D,B,B,C,C,B,B,A,B,B,B,B,B,B,B,A
Patient-centred Domain levels: 5) Occupational therapy,A,C,A,A,B,A,A,A,A,A,A,B,A,C,D,C,B,A,A,C,C,C,C,C,C,C,C,B,C,D
Patient-centred Domain levels: 6) Physiotherapy,B,A,B,A,A,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,A,A,B,A,B,B,B,B,D,D
Patient-centred Domain levels: 7) Speech and Language therapy,C,C,C,D,D,E,E,A,A,A,C,B,B,C,C,B,B,B,A,B,A,A,A,B,C,B,B,B,A,B
Patient-centred Domain levels: 8) MDT working,D,C,B,B,B,C,B,A,A,B,A,B,A,B,B,B,B,C,B,B,B,B,A,B,B,A,B,B,B,A
Patient-centred Domain levels: 9) Standards by discharge,B,B,B,B,B,B,B,B,B,B,A,A,B,B,B,A,A,E,C,A,B,B,B,B,B,B,B,A,B,B
Patient-centred Domain levels: 10) Discharge processes,D,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,B,B,C,C,C,B,B,B,C,B,B
Patient-centred KI level Patient-centred Total KI level,C,B,B,B,B,B,B,A,A,A,A,B,A,B,C,A,A,B,B,B,A,A,A,B,B,B,B,B,B,B
Patient-centred KI level Patient-centred Total KI score,64,70,74,78,76,70,74,96,88,84,90,80,82,74,66.0,86,84,72.0,80.0,76.0,82.0,84.0,82.0,76.0,72.0,76.0,76.0,78.0,72.0,80.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,C,B,B,B,B,B,A,A,B,A,B,A,C,C,A,A,C,B,D,B,B,A,C,C,B,B,B,B,B
Patient-centred SSNAP level Patient-centred SSNAP score,54.7,66.5,70.3,74.1,72.2,70,74,96,88,75.8,90,80,82,62.9,66.0,86,84,68.4,80.0,47.9,70.1,79.8,82.0,64.6,68.4,76.0,72.2,74.1,72.0,80.0
Team-centred Domain levels: 1) Scanning,D,C,C,C,C,D,C,,,,,,,,,,,,,,,,,,,,,,,
Team-centred Domain levels: 2) Stroke unit,C,C,C,B,C,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 3) Thrombolysis,C,D,C,C,B,C,C,,,,,,,,,,,,,,,,,,,,,,,
Team-centred Domain levels: 4) Specialist Assessments,B,B,B,A,B,B,B,,,,,,,,,,,,,,,,,,,,,,,
Team-centred Domain levels: 5) Occupational therapy,A,C,A,A,B,A,A,B,B,A,C,B,C,C,E,C,C,A,C,C,C,C,D,D,D,C,C,C,C,E
Team-centred Domain levels: 6) Physiotherapy,B,B,C,A,A,A,A,B,C,C,C,B,A,B,D,B,B,B,B,B,B,A,C,B,C,B,B,D,D,D
Team-centred Domain levels: 7) Speech and Language therapy,C,C,C,D,D,E,E,C,C,C,C,D,C,D,C,C,C,C,B,C,A,C,B,D,D,D,B,D,C,C
Team-centred Domain levels: 8) MDT working,C,B,B,B,B,B,C,,,,,,,,,,,,,,,,,,,,,,,
Team-centred Domain levels: 9) Standards by discharge,B,B,B,B,B,B,B,B,B,B,A,A,B,B,B,A,A,E,C,A,B,B,B,B,B,A,B,A,B,B
Team-centred Domain levels: 10) Discharge processes,D,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,B,B,C,C,C,B,B,B,C,B,B
Team-centred KI level Team-centred Total KI level,C,C,B,B,B,B,B,A,B,A,B,A,A,B,C,A,A,B,B,B,A,B,B,C,C,B,B,C,B,C
Team-centred KI level Team-centred Total KI score,66,68,72,78,74,70,70,83.3,80,83.3,80,83.3,83.3,76.7,66.7,83.3,83.3,76.7,80.0,80.0,83.3,76.7,70.0,66.7,66.7,76.7,80.0,66.7,70.0,63.3
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,C,C,B,B,B,B,A,B,B,B,A,A,C,C,A,A,B,B,D,B,B,B,D,C,B,B,C,B,C
Team-centred SSNAP level Team-centred SSNAP score,56.4,64.6,68.4,74.1,70.3,70,70,83.3,80,75.2,80,83.3,83.3,65.2,66.7,83.3,83.3,72.8,80.0,50.4,71.3,72.8,70.0,56.7,63.3,76.7,76.0,63.3,70.0,63.3
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,128,172,148,134,161,180,181,198,141,78,70,77,85,108,104,85,65,66,63,54,58,76,79,75,65,60,60,49,55
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,0.79,0.93,0.95,0.94,0.91,0.9,0.93,0.94,0.88,0.92,0.88,0.86,0.88,92%,0.93,0.89,93%,96%,97%,93%,95%,99%,95%,89%,82%,78%,80%,80%,83%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,49,64,77,62,80,80,69,54,26,30,32,33,34,44,49,32,36,26,22,25,27,33,36,34,38,39,39,39,34
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.38,0.37,0.52,0.46,0.5,0.44,0.38,0.27,0.18,0.38,0.46,0.43,0.4,41%,0.47,0.38,55%,39%,35%,46%,47%,43%,46%,45%,58%,65%,65%,80%,62%
