SSNAP Scoring Summary:,2019-01-01,2021-07-01,2022-10-01,2023-01-01,2024-01-01
SSNAP level,TFP,A,C,C,D
SSNAP score,.,80.1,64.2,65.8,52.2
Audit compliance band,C,B,D,B,D
Combined Total Key Indicator level,TFP,A,B,C,C
Combined Total Key Indicator score,.,84.3,75.5,69.3,61.4
Number of records completed: Team-centred post-72h all teams cohort,20,20,25,20,23
Patient-centred Domain levels: 2) Stroke unit,Too few to report,B,A,A,B
Patient-centred Domain levels: 5) Occupational therapy,Too few to report,B,D,E,E
Patient-centred Domain levels: 6) Physiotherapy,Too few to report,A,B,D,D
Patient-centred Domain levels: 7) Speech and Language therapy,Too few to report,B,C,C,D
Patient-centred Domain levels: 8) MDT working,Too few to report,B,D,B,B
Patient-centred Domain levels: 9) Standards by discharge,Too few to report,A,A,B,B
Patient-centred Domain levels: 10) Discharge processes,Too few to report,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,TFP,A,B,C,C
Patient-centred KI level Patient-centred Total KI score,.,88.6,74.3,68.6,62.9
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",TFP,A,C,C,D
Patient-centred SSNAP level Patient-centred SSNAP score,.,84.1,63.1,65.1,53.4
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,E,C,D,D,E
Team-centred Domain levels: 6) Physiotherapy,D,B,B,C,D
Team-centred Domain levels: 7) Speech and Language therapy,E,D,D,E,E
Team-centred Domain levels: 9) Standards by discharge,Too few to report,A,A,A,B
Team-centred Domain levels: 10) Discharge processes,Too few to report,A,A,A,A
Team-centred KI level Team-centred Total KI level,TFP,B,B,B,C
Team-centred KI level Team-centred Total KI score,.,80.0,76.7,70.0,60.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",TFP,B,C,C,D
Team-centred SSNAP level Team-centred SSNAP score,.,76.0,65.2,66.5,51.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),9,39,24,22,28
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),0.82,100%,96%,96%,88%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),4,1,12,11,13
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0.44,3%,50%,50%,46%
Case ascertainment band,,A,A,A,A
