SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-10-01
SSNAP level,D,D,D,D,D,D,D,D,D,D,A,A,B,B,B,B,B,X
SSNAP score,45.2,42,54.7,49,45.5,55.6,56.4,58.9,55.6,48.7,82,82,70.3,78,77.0,77,70,.
Case ascertainment band,B,B,B,C,C,B,B,A,B,B,A,A,B,A,A,A,A,X
Audit compliance band,D,D,C,C,D,C,C,B,C,C,A,A,A,A,A,A,A,X
Combined Total Key Indicator level,D,D,C,C,C,C,C,C,C,D,A,A,B,B,B,B,B,X
Combined Total Key Indicator score,56,52,64,64,63,65,66,62,65,57,82,82,74,78,77.0,77,70,.
Number of records completed: Team-centred post-72h all teams cohort,231,260,284,240,234,262,243,263,260,269,301,309,265,300,319,296,301,None completed
Patient-centred Domain levels: 1) Scanning,D,D,D,D,D,D,C,D,D,D,C,C,C,C,C,C,C,None entered
Patient-centred Domain levels: 2) Stroke unit,B,B,B,B,B,B,B,B,B,B,C,B,C,C,C,C,D,None entered
Patient-centred Domain levels: 3) Thrombolysis,B,C,B,B,B,B,B,B,B,C,B,C,C,B,C,B,C,None entered
Patient-centred Domain levels: 4) Specialist Assessments,C,D,B,B,B,B,C,D,C,D,B,B,C,B,B,B,C,None entered
Patient-centred Domain levels: 5) Occupational therapy,B,C,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,None entered
Patient-centred Domain levels: 6) Physiotherapy,C,C,B,B,B,B,B,B,B,B,A,A,A,A,B,B,B,None entered
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,D,E,E,E,E,E,E,E,C,C,D,D,C,C,D,None entered
Patient-centred Domain levels: 8) MDT working,C,D,C,D,D,C,C,C,C,C,B,B,C,B,B,C,B,None entered
Patient-centred Domain levels: 9) Standards by discharge,D,B,D,B,B,B,B,B,B,C,A,A,A,A,A,A,A,None entered
Patient-centred Domain levels: 10) Discharge processes,D,D,D,D,D,D,D,D,C,D,A,A,A,A,A,A,A,None entered
Patient-centred KI level Patient-centred Total KI level,D,D,C,C,C,C,C,C,C,D,A,A,B,B,B,B,B,No records
Patient-centred KI level Patient-centred Total KI score,56,52,64,64,62,66,66,62,64,58,82,82,74,80,78.0,78,72,.
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,D,D,D,D,D,D,D,D,A,A,B,B,B,B,B,X
Patient-centred SSNAP level Patient-centred SSNAP score,45.2,42,54.7,49,44.8,56.4,56.4,58.9,54.7,49.6,82,82,70.3,80,78.0,78,72,.
Team-centred Domain levels: 1) Scanning,D,D,D,D,D,D,C,D,C,D,C,C,C,C,C,C,C,
Team-centred Domain levels: 2) Stroke unit,B,B,B,B,B,B,B,B,B,B,C,B,C,C,C,C,D,None entered
Team-centred Domain levels: 3) Thrombolysis,B,C,B,B,B,B,B,B,B,C,B,C,C,B,C,C,C,
Team-centred Domain levels: 4) Specialist Assessments,C,D,B,C,B,B,C,D,C,D,B,B,C,B,B,B,C,
Team-centred Domain levels: 5) Occupational therapy,B,C,A,A,B,A,A,A,B,B,A,A,A,A,A,A,A,None entered
Team-centred Domain levels: 6) Physiotherapy,C,C,B,B,B,B,B,B,B,B,A,A,A,A,B,B,B,None entered
Team-centred Domain levels: 7) Speech and Language therapy,E,E,D,E,E,E,E,E,E,E,C,C,D,E,D,C,E,None entered
Team-centred Domain levels: 8) MDT working,C,D,C,C,C,C,C,C,C,C,B,B,C,C,B,C,C,
Team-centred Domain levels: 9) Standards by discharge,D,B,D,B,B,B,B,B,B,C,A,A,A,A,A,A,A,None entered
Team-centred Domain levels: 10) Discharge processes,D,D,D,D,D,E,D,D,C,D,A,A,A,A,A,A,A,None entered
Team-centred KI level Team-centred Total KI level,D,D,C,C,C,C,C,C,C,D,A,A,B,B,B,B,C,No records
Team-centred KI level Team-centred Total KI score,56,52,64,64,64,64,66,62,66,56,82,82,74,76,76.0,76,68,.
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,D,D,D,D,D,D,D,D,D,A,A,B,B,B,B,C,X
Team-centred SSNAP level Team-centred SSNAP score,45.2,42,54.7,49,46.2,54.7,56.4,58.9,56.4,47.9,82,82,70.3,76,76.0,76,68,.
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,3,127,373,475,483,488,480,467,404,481,307,387,414,394,295,283,8
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,1,1,1,1,1,1,1,0.97,0.91,0.54,0.72,0.83,80%,0.66,0.64,57%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,0,0,0,1,1,0,1,11,43,79,89,90,86,135,105,163,0
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0,0,0,0,0,0,0,0.02,0.11,0.16,0.29,0.23,0.21,34%,0.36,0.58,0%
