SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01
  SSNAP level,C,D,D,D,D,D,D,D,B,C,B,B,B,B,A,B,D,B,C,D,D,D,D,D,E,E,TFP
  SSNAP score,61.4,52.5,49.1,49.1,49.1,56.4,59.7,58.5,71.8,68.4,80,80,77,79,87.0,76,57.9,72.8,60.4,55.8,46.5,43.1,44.8,45.9,39.0,36.0,.
  Case ascertainment band,B,B,C,C,C,C,C,C,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,A
  Audit compliance band,D,D,D,D,D,D,C,D,C,B,A,A,A,A,A,A,B,B,D,D,D,D,D,D,D,C,B
  Combined Total Key Indicator level,B,C,C,C,C,B,B,A,A,B,B,B,B,B,A,B,C,B,B,C,D,D,D,D,D,D,TFP
  Combined Total Key Indicator score,76,65,68,68,68,78,78,81,84,72,80,80,77,79,87.0,76,61,76.7,71.0,65.7,54.7,53.3,52.7,54.0,48.3,40.0,.
Number of records completed: Team-centred post-72h all teams cohort,95,95,91,86,95,84,90,94,100,114,120,117,134,129,109,120,111,95,48,59,49,62,57,44,34,63,25
Patient-centred Domain levels: 1) Scanning,A,B,A,A,A,A,A,A,A,B,B,B,B,A,A,B,B,A,D,C,D,C,D,D,D,E,Too few to report
Patient-centred Domain levels: 2) Stroke unit,C,C,C,C,B,C,B,C,B,C,C,C,D,D,C,D,E,E,E,E,E,E,E,E,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,D,E,D,C,C,C,C,B,C,B,B,B,B,B,B,C,D,D,C,D,D,E,E,D,D,E,Too few to report
Patient-centred Domain levels: 4) Specialist Assessments,B,C,B,B,B,B,B,B,A,B,B,B,B,B,B,B,B,C,E,E,E,E,E,E,E,E,Too few to report
Patient-centred Domain levels: 5) Occupational therapy,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,C,A,A,A,A,A,A,B,A,C,B
Patient-centred Domain levels: 6) Physiotherapy,A,A,B,B,D,B,B,A,B,C,B,B,B,B,A,A,A,A,A,A,A,B,B,B,B,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,A,B,D,E,C,B,C,B,A,C,C,C,C,C,B,C,E,C,C,C,C,C,E,E,E,E,D
Patient-centred Domain levels: 8) MDT working,B,C,B,B,C,B,B,C,B,B,C,B,C,C,B,C,D,D,D,E,E,E,E,E,E,E,E
Patient-centred Domain levels: 9) Standards by discharge,C,D,D,D,C,B,B,B,C,C,B,A,B,A,A,B,B,B,B,B,B,B,A,C,C,C,C
Patient-centred Domain levels: 10) Discharge processes,D,D,C,C,D,C,C,B,B,B,A,A,A,A,A,A,A,A,A,B,B,D,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,B,C,C,C,C,B,B,A,A,B,B,A,B,B,A,B,C,B,C,D,D,D,D,D,D,D,TFP
Patient-centred KI level Patient-centred Total KI score,76,64,68,68,68,78,78,82,84,72,78,82,76,80,88.0,76,62,70.0,62.0,58.0,56.0,50.0,52.0,48.0,50.0,42.0,.
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",C,D,D,D,D,D,D,D,B,C,B,A,B,B,A,B,D,C,D,D,D,D,D,D,D,E,TFP
Patient-centred SSNAP level Patient-centred SSNAP score,61.4,51.7,49.1,49.1,49.1,56.4,59.7,59.2,71.8,68.4,78,82,76,80,88.0,76,58.9,66.5,52.7,49.3,47.6,40.4,44.2,40.8,40.4,37.8,.
Team-centred Domain levels: 1) Scanning,A,B,A,A,A,A,A,A,A,B,A,B,B,B,A,B,B,,,,E,,E,,E,E,
Team-centred Domain levels: 2) Stroke unit,C,C,C,C,B,C,B,C,C,C,C,C,C,D,C,D,E,C,D,E,E,E,E,E,E,E,D
Team-centred Domain levels: 3) Thrombolysis,D,E,D,C,C,C,C,B,B,B,B,B,B,B,B,C,D,,,,.,,.,,.,E,
Team-centred Domain levels: 4) Specialist Assessments,B,B,B,B,B,B,B,B,A,B,A,B,B,B,B,B,B,,,,E,,E,,E,E,
Team-centred Domain levels: 5) Occupational therapy,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,C,A,A,A,A,A,A,B,A,C,C
Team-centred Domain levels: 6) Physiotherapy,A,A,B,B,D,B,B,B,B,C,B,B,B,B,A,A,B,A,A,A,A,B,B,B,C,D,B
Team-centred Domain levels: 7) Speech and Language therapy,A,B,D,E,C,B,C,B,A,C,C,C,C,C,B,C,E,D,D,D,E,E,E,E,E,E,E
Team-centred Domain levels: 8) MDT working,B,C,B,B,B,B,B,C,B,B,C,C,C,C,C,C,D,,,,E,,E,,E,E,
Team-centred Domain levels: 9) Standards by discharge,C,D,D,D,D,B,B,B,C,C,B,B,B,A,A,B,B,A,A,A,B,B,A,C,C,C,Too few to report
Team-centred Domain levels: 10) Discharge processes,D,D,C,C,D,C,C,B,B,B,A,A,A,A,A,A,A,A,A,B,A,D,A,A,A,A,Too few to report
Team-centred KI level Team-centred Total KI level,B,C,C,C,C,B,B,B,A,B,A,B,B,B,A,B,C,A,B,B,D,D,D,C,D,E,TFP
Team-centred KI level Team-centred Total KI score,76,66,68,68,68,78,78,80,84,72,82,78,78,78,86.0,76,60,83.3,80.0,73.3,53.3,56.7,53.3,60.0,46.7,38.0,.
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",C,D,D,D,D,D,D,D,B,C,A,B,B,B,A,B,D,B,C,C,D,D,D,D,E,E,TFP
Team-centred SSNAP level Team-centred SSNAP score,61.4,53.3,49.1,49.1,49.1,56.4,59.7,57.8,71.8,68.4,82,78,78,78,86.0,76,57,79.2,68.0,62.3,45.3,45.8,45.3,51.0,37.7,34.2,.
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,94,125,147,166,166,164,164,155,150,215,227,205,209,222,232,232,183,115,113,142,102,91,93,106,104,71
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,0.99,1,1,1,1,1,1,1,1,0.98,0.99,1,1,100%,1,1,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,0,0,0,0,0,1,2,0,1,3,1,0,1,0,1,1,0,0,0,1,0,0,0,0,4,14
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0,0,0,0,0,0.01,0.01,0,0.01,0.01,0,0,0,0%,0,0,0%,0%,0%,1%,0%,0%,0%,0%,4%,20%
