SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
  SSNAP level,E,E,E,D,D,D,D,D,D,D,C,D,C,D,D,D,D,D,D,D,D,D,E,E,E,D,D,D,D,D
  SSNAP score,17.7,26.1,36,46,44,48,41,48,55.1,52.3,62,55.1,60,54,53.2,51,42,44.0,43.0,45.6,49.4,44.0,39.9,34.3,38.0,40.0,43.0,50.0,50.0,43.0
  Case ascertainment band,C,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,B,A,A,B,B,A,A,A,A,A,A
  Audit compliance band,E,C,A,A,A,A,A,A,B,B,A,B,A,A,A,A,A,A,A,A,B,A,A,B,B,A,A,A,A,A
  Combined Total Key Indicator level,E,E,E,D,D,D,D,D,D,D,C,D,C,D,D,D,D,D,D,D,D,D,D,E,D,D,D,D,D,D
  Combined Total Key Indicator score,26,29,36,46,44,48,41,48,58,55,62,58,60,54,56.0,51,42,44.0,43.0,48.0,52.0,44.0,42.0,38.0,40.0,40.0,43.0,50.0,50.0,43.0
Number of records completed: Team-centred post-72h all teams cohort,47,68,56,78,59,77,58,75,78,76,101,91,90,86,76,105,89,100,90,73,75,79,76,73,87,88,96,88,90,111
Patient-centred Domain levels: 1) Scanning,E,D,E,E,E,E,E,E,C,C,A,C,A,B,B,B,A,A,B,B,A,A,A,B,A,B,B,B,A,B
Patient-centred Domain levels: 2) Stroke unit,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,D,E,D,D,D,D,E,E,D,D,B,D,D,C,C,D,C,D,D,C,D,D,D,E,D,D,E,D,E,D
Patient-centred Domain levels: 4) Specialist Assessments,E,E,E,E,E,E,E,E,D,D,C,D,C,D,D,D,D,D,D,E,E,E,E,E,E,E,E,E,E,E
Patient-centred Domain levels: 5) Occupational therapy,E,E,E,D,B,A,B,B,A,C,A,A,A,A,A,A,D,E,C,C,B,C,D,D,C,C,B,A,B,B
Patient-centred Domain levels: 6) Physiotherapy,E,D,D,D,D,D,D,C,C,D,C,B,C,D,D,E,E,D,E,D,B,E,D,D,D,C,D,B,D,D
Patient-centred Domain levels: 7) Speech and Language therapy,D,D,C,A,A,B,D,D,C,C,E,D,E,E,C,D,D,E,D,E,E,E,E,E,E,E,D,E,E,E
Patient-centred Domain levels: 8) MDT working,E,E,E,D,E,E,D,C,B,B,B,B,B,C,C,C,E,E,E,E,E,E,E,E,E,E,E,D,D,E
Patient-centred Domain levels: 9) Standards by discharge,E,E,C,B,C,A,A,A,B,A,B,B,B,A,A,B,B,B,B,A,A,A,B,B,D,D,B,B,B,B
Patient-centred Domain levels: 10) Discharge processes,D,D,C,C,D,D,D,D,D,D,D,D,D,E,E,E,D,D,D,C,C,D,D,D,D,D,D,E,B,D
Patient-centred KI level Patient-centred Total KI level,E,E,E,D,D,D,D,D,D,D,C,D,C,D,D,D,D,D,D,D,D,D,D,E,D,D,D,D,D,D
Patient-centred KI level Patient-centred Total KI score,26,28,36,46,44,48,42,46,58,54,64,58,60,54,58.0,50,46,42.0,44.0,48.0,54.0,44.0,42.0,38.0,40.0,40.0,44.0,50.0,50.0,44.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,E,E,D,D,D,D,D,D,D,C,D,C,D,D,D,D,D,D,D,D,D,E,E,E,D,D,D,D,D
Patient-centred SSNAP level Patient-centred SSNAP score,17.7,25.2,36,46,44,48,42,46,55.1,51.3,64,55.1,60,54,55.1,50,46,42.0,44.0,45.6,51.3,44.0,39.9,34.3,38.0,40.0,44.0,50.0,50.0,44.0
Team-centred Domain levels: 1) Scanning,E,D,E,E,E,E,E,D,C,C,A,C,A,B,B,B,B,A,B,B,A,A,A,B,A,B,B,B,A,B
Team-centred Domain levels: 2) Stroke unit,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
