SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
SSNAP level,E,E,E,E,E,D,D,D,D,C,C,B,C,C,C,B,C,B,B,B,B,C,C,C,B,C,B,B,B,B
SSNAP score,21.7,27.9,27,33.3,38.8,49.4,54.2,53.2,54,62.7,69.3,76,65.5,64.6,64.6,71,69,80.0,75.0,79.8,77.9,69.5,67.5,69.0,72.2,69.3,77.0,78.0,73.0,78.0
Case ascertainment band,C,A,A,B,B,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,B,B,B,A,A,A,A,A,A,A
Audit compliance band,D,C,C,C,D,B,B,B,C,B,B,A,B,A,A,A,A,A,B,B,A,B,A,A,B,B,A,A,A,A
Combined Total Key Indicator level,E,E,E,E,D,D,D,D,C,C,B,B,C,C,C,B,C,B,B,A,A,B,B,C,B,B,B,B,B,B
Combined Total Key Indicator score,30,31,30,39,48,52,57,56,60,66,73,76,69,68,68.0,71,69,80.0,79.0,84.0,82.0,77.0,71.0,69.0,76.0,73.0,77.0,78.0,73.0,78.0
Number of records completed: Team-centred post-72h all teams cohort,188,237,227,225,217,237,261,253,270,219,246,245,270,229,247,273,299,276,265,272,244,250,247,286,235,255,275,262,286,245
Patient-centred Domain levels: 1) Scanning,E,E,E,D,D,D,D,D,D,D,C,B,C,C,C,C,B,B,B,A,B,B,B,B,B,B,A,B,A,A
Patient-centred Domain levels: 2) Stroke unit,C,D,D,D,E,D,D,D,D,E,C,C,C,D,C,C,D,C,C,D,D,D,E,E,C,C,C,C,C,C
Patient-centred Domain levels: 3) Thrombolysis,C,D,D,D,D,D,C,D,D,D,A,A,B,B,B,B,B,A,B,B,B,A,C,C,B,B,B,B,B,B
Patient-centred Domain levels: 4) Specialist Assessments,D,D,D,D,D,C,C,C,C,B,B,B,B,B,B,B,B,B,A,B,A,B,B,B,B,A,A,A,A,A
Patient-centred Domain levels: 5) Occupational therapy,E,E,E,C,B,C,C,B,A,A,A,A,A,A,B,A,B,A,C,A,A,A,A,A,A,A,A,A,B,A
Patient-centred Domain levels: 6) Physiotherapy,E,E,D,C,B,B,B,B,A,A,A,A,B,B,B,B,B,A,B,A,A,B,A,B,A,A,B,A,B,A
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,E,E,E,C,E,E,E,E,E,E,E,C,C,C,C,C,D,C,D,E,E,D,E,E
Patient-centred Domain levels: 8) MDT working,E,E,E,D,E,E,D,D,C,C,D,D,D,D,D,C,D,C,C,B,C,C,C,D,C,D,D,D,D,D
Patient-centred Domain levels: 9) Standards by discharge,E,D,E,E,C,B,B,B,C,C,B,B,B,B,B,B,B,B,A,A,A,B,B,B,C,C,B,A,B,B
Patient-centred Domain levels: 10) Discharge processes,E,D,D,D,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,E,E,E,D,D,D,D,D,C,C,B,B,B,C,C,B,C,A,B,A,A,B,B,B,B,B,B,B,B,B
Patient-centred KI level Patient-centred Total KI score,30,30,30,40,48,52,56,56,60,66,74,76,70,68,68.0,72,68,82.0,78.0,84.0,82.0,78.0,72.0,70.0,76.0,74.0,76.0,80.0,74.0,78.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,E,E,E,E,D,D,D,D,C,B,B,C,C,C,B,C,A,B,B,B,B,C,B,B,B,B,B,B,B
Patient-centred SSNAP level Patient-centred SSNAP score,21.7,27,27,34.2,38.8,49.4,53.2,53.2,54,62.7,70.3,76,66.5,64.6,64.6,72,68,82.0,74.1,79.8,77.9,70.4,68.4,70.0,72.2,70.3,76.0,80.0,74.0,78.0
Team-centred Domain levels: 1) Scanning,E,E,E,D,D,D,D,D,D,D,C,B,C,C,C,C,B,B,B,A,B,B,B,B,B,B,A,B,A,A
Team-centred Domain levels: 2) Stroke unit,C,D,D,D,E,D,D,D,D,E,C,C,C,D,C,C,D,C,C,D,D,D,E,E,C,C,C,C,C,C
Team-centred Domain levels: 3) Thrombolysis,C,D,D,D,D,D,C,D,D,D,B,A,C,B,B,B,B,B,B,B,B,B,B,C,B,B,B,B,B,B
Team-centred Domain levels: 4) Specialist Assessments,D,D,D,D,D,C,C,C,C,B,B,B,B,B,B,B,B,B,A,B,A,B,B,B,B,A,A,B,B,A
Team-centred Domain levels: 5) Occupational therapy,E,E,E,C,B,C,C,B,A,A,A,A,A,A,B,A,B,A,C,A,A,A,B,A,A,B,A,A,B,A
