SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
  SSNAP level,E,D,D,D,D,D,D,C,C,D,B,B,C,C,D,C,B,D,D,D,D,D,D,C,C,C,B,B,C,C
  SSNAP score,39.9,43.7,42.8,51.3,49.4,44.6,45.6,61.8,61.8,54.2,78,77,68,62.7,57.9,64.9,70.9,57.5,56.7,52.4,43.6,54.9,55.1,69.3,69.7,66.8,76.3,76.7,66.2,62.4
  Case ascertainment band,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,B,A,A,A,A
  Audit compliance band,B,B,B,B,B,B,B,B,B,B,A,A,A,B,B,B,B,D,D,C,D,C,B,A,A,B,B,A,B,C
  Combined Total Key Indicator level,D,D,D,D,D,D,D,C,C,D,B,B,C,C,C,C,B,C,C,C,D,C,D,C,C,B,A,B,C,C
  Combined Total Key Indicator score,42,46,45,54,52,47,48,65,65,57,78,77,68,66,61.0,68.3,74.7,67.7,66.7,61.3,51.3,61.0,58.0,69.3,69.7,74.0,80.3,76.7,69.7,69.3
Number of records completed: Team-centred post-72h all teams cohort,123,108,97,105,115,114,103,112,97,125,101,116,109,97,98,86,72,65,57,60,63,77,65,66,75,59,77,76,84,76
Patient-centred Domain levels: 1) Scanning,C,D,D,C,C,C,C,B,A,A,A,A,A,A,B,D,C,B,D,C,B,B,B,C,A,B,C,B,B,C
Patient-centred Domain levels: 2) Stroke unit,E,D,D,C,E,D,D,C,C,D,D,D,E,E,E,E,E,E,E,E,E,D,D,D,E,E,C,D,D,E
Patient-centred Domain levels: 3) Thrombolysis,E,D,D,D,D,E,E,D,D,E,D,E,E,E,D,D,D,C,B,D,C,C,D,D,D,C,D,C,D,D
Patient-centred Domain levels: 4) Specialist Assessments,D,D,D,D,D,D,D,C,C,D,C,B,C,D,E,E,D,E,E,E,E,D,D,D,E,E,D,D,D,E
Patient-centred Domain levels: 5) Occupational therapy,C,C,C,B,A,C,C,B,B,C,A,A,A,A,A,A,A,A,B,B,B,C,C,B,A,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,D,D,C,C,D,D,C,B,C,C,A,A,A,A,B,A,A,B,B,C,C,C,B,B,A,A,A,B,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,D,E,D,E,D,B,C,C,B,B,A,B,C,B,B,C,C,C,B,B,A,A,B,B,B
Patient-centred Domain levels: 8) MDT working,E,D,D,D,D,E,E,D,D,D,C,C,D,D,D,C,C,D,D,D,D,C,D,C,D,D,C,D,D,D
Patient-centred Domain levels: 9) Standards by discharge,B,A,B,B,A,A,A,A,A,B,A,A,B,B,C,D,C,B,B,B,B,B,C,C,B,B,B,B,C,B
Patient-centred Domain levels: 10) Discharge processes,C,C,C,C,C,C,C,C,C,C,A,A,B,B,B,B,A,B,B,B,C,B,C,B,B,B,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,D,D,D,D,D,D,D,C,C,D,B,B,C,C,C,C,C,C,C,D,D,C,D,C,C,C,B,B,C,C
Patient-centred KI level Patient-centred Total KI score,42,48,48,54,52,48,48,64,62,54,78,76,66,66,60.0,60,66,62.0,60.0,56.0,56.0,62.0,56.0,62.0,66.0,68.0,74.0,70.0,66.0,62.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,D,D,D,D,D,D,C,D,D,B,B,C,C,D,D,C,D,D,D,D,D,D,C,C,C,B,B,C,D
Patient-centred SSNAP level Patient-centred SSNAP score,39.9,45.6,45.6,51.3,49.4,45.6,45.6,60.8,58.9,51.3,78,76,66,62.7,57.0,57,62.7,52.7,51.0,47.9,47.6,55.8,53.2,62.0,66.0,61.4,70.3,70.0,62.7,55.8
Team-centred Domain levels: 1) Scanning,C,D,D,C,C,C,C,B,A,A,A,A,A,A,B,,,,,,,,,,,,,,,
Team-centred Domain levels: 2) Stroke unit,E,D,D,C,E,D,D,C,C,D,D,D,E,E,E,C,C,D,D,E,E,E,D,C,E,E,C,D,D,D
Team-centred Domain levels: 3) Thrombolysis,E,E,E,D,D,E,E,D,D,E,E,E,E,E,E,,,,,,,,,,,,,,,
Team-centred Domain levels: 4) Specialist Assessments,D,D,E,D,D,D,D,C,C,D,C,B,C,D,E,,,,,,,,,,,,,,,
Team-centred Domain levels: 5) Occupational therapy,C,C,C,B,A,C,C,A,A,C,A,A,A,A,A,A,A,A,A,A,C,B,C,A,A,A,A,A,A,A
Team-centred Domain levels: 6) Physiotherapy,D,D,C,C,D,D,C,B,B,C,A,A,A,A,A,A,A,B,B,C,D,D,B,B,A,A,A,B,B,B
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,E,D,D,C,B,C,B,B,C,B,B,C,C,C,E,C,C,B,B,A,B,A,C,C
Team-centred Domain levels: 8) MDT working,E,E,E,D,D,E,E,D,D,C,B,B,D,D,D,,,,,,,,,,,,,,,
Team-centred Domain levels: 9) Standards by discharge,B,A,B,B,A,A,A,A,A,A,A,A,B,B,B,D,C,B,B,B,B,B,C,C,C,B,B,B,C,B
Team-centred Domain levels: 10) Discharge processes,C,C,C,C,C,C,C,C,C,C,A,A,A,B,A,B,A,B,B,B,C,B,C,B,B,B,A,A,A,A
Team-centred KI level Team-centred Total KI level,D,D,D,D,D,D,D,C,C,C,B,B,B,C,C,B,A,B,B,C,D,C,C,B,B,B,A,A,B,B
Team-centred KI level Team-centred Total KI score,42,44,42,54,52,46,48,66,68,60,78,78,70,66,62.0,76.7,83.3,73.3,73.3,66.7,46.7,60.0,60.0,76.7,73.3,80.0,86.7,83.3,73.3,76.7
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",E,D,E,D,D,D,D,C,C,D,B,B,B,C,D,B,B,C,C,D,E,D,D,B,B,B,A,A,C,C
Team-centred SSNAP level Team-centred SSNAP score,39.9,41.8,39.9,51.3,49.4,43.7,45.6,62.7,64.6,57,78,78,70,62.7,58.9,72.8,79.2,62.3,62.3,57.0,39.7,54.0,57.0,76.7,73.3,72.2,82.3,83.3,69.7,69.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,76,91,96,108,92,86,98,89,73,116,125,107,117,133,137,103,101,95,89,60,56,68,68,68,63,68,64,68,84
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,0.67,0.69,0.69,0.75,0.71,0.66,0.69,0.67,0.59,0.73,0.76,0.74,0.81,84%,0.88,0.84,87%,86%,86%,70%,77%,81%,73%,73%,80%,81%,79%,83%,82%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,66,76,75,85,73,74,81,64,51,90,104,86,65,51,77,70,17,15,40,45,43,57,62,65,62,60,56,59,75
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.87,0.84,0.78,0.79,0.79,0.86,0.83,0.72,0.7,0.78,0.83,0.8,0.56,38%,0.56,0.68,17%,16%,45%,75%,77%,84%,91%,96%,98%,88%,88%,87%,89%
