SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
SSNAP level,E,E,E,E,E,E,E,E,E,D,A,A,A,A,A,A,A,A,A,B,B,B,A,B,B,B,B,A,A,A
SSNAP score,18.4,29.9,30.6,29.1,25.3,28.3,37.4,35.7,39.6,47.5,88,85,86,84,83.0,84,85,81.0,88.0,80.0,74.0,79.0,89.0,79.0,74.0,80.0,80.0,84.0,82.0,81.0
Case ascertainment band,D,B,A,B,C,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,D,D,D,D,D,D,D,D,C,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Combined Total Key Indicator level,E,E,E,E,E,E,D,D,D,D,A,A,A,A,A,A,A,A,A,B,B,B,A,B,B,B,B,A,A,A
Combined Total Key Indicator score,31,37,36,36,35,35,44,42,44,50,88,85,86,84,83.0,84,85,81.0,88.0,80.0,74.0,79.0,89.0,79.0,74.0,80.0,80.0,84.0,82.0,81.0
Number of records completed: Team-centred post-72h all teams cohort,152,134,157,151,125,131,156,139,157,185,173,189,163,150,151,150,156,186,203,200,180,188,170,187,222,169,210,187,238,225
Patient-centred Domain levels: 1) Scanning,E,D,D,D,D,D,D,D,D,C,A,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,D,D,D,D,D,D,D,D,D,D,C,C,C,D,D,C,C,C,C,E,E,E,D,E,E,E,E,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,E,E,D,E,D,E,E,E,E,D,B,C,D,C,C,B,C,B,B,B,C,C,A,B,B,B,C,B,B,B
Patient-centred Domain levels: 4) Specialist Assessments,E,E,E,E,D,E,E,E,E,D,B,A,A,B,A,A,A,B,B,A,B,B,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 5) Occupational therapy,E,E,E,D,E,D,C,D,D,C,A,A,A,A,A,A,A,B,A,B,C,B,A,B,C,C,A,A,B,B
Patient-centred Domain levels: 6) Physiotherapy,E,E,E,D,E,D,D,D,D,D,A,B,A,A,B,B,B,B,B,B,B,B,B,C,C,C,B,B,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,E,E,E,E,A,B,A,A,B,B,B,C,B,C,C,B,B,B,C,B,B,A,C,B
Patient-centred Domain levels: 8) MDT working,E,E,E,E,E,E,D,D,D,D,A,A,A,A,A,A,A,B,A,B,B,B,B,B,B,A,B,A,A,B
Patient-centred Domain levels: 9) Standards by discharge,C,B,D,D,C,D,B,B,B,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 10) Discharge processes,C,B,B,B,D,C,B,B,A,A,C,C,C,C,C,C,C,A,A,A,A,A,A,A,B,A,A,A,A,B
Patient-centred KI level Patient-centred Total KI level,E,E,E,E,E,E,D,D,D,D,A,A,A,A,A,A,A,B,A,B,B,B,A,B,B,B,A,A,A,B
Patient-centred KI level Patient-centred Total KI score,30,36,34,36,34,34,44,42,44,50,88,84,86,84,82.0,86,84,80.0,88.0,80.0,72.0,78.0,88.0,80.0,74.0,80.0,82.0,88.0,82.0,80.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,E,E,E,E,E,E,E,E,D,A,A,A,A,A,A,A,B,A,B,B,B,A,B,B,B,A,A,A,B
Patient-centred SSNAP level Patient-centred SSNAP score,17.8,29.1,28.9,29.1,24.6,27.5,37.4,35.7,39.6,47.5,88,84,86,84,82.0,86,84,80.0,88.0,80.0,72.0,78.0,88.0,80.0,74.0,80.0,82.0,88.0,82.0,80.0
Team-centred Domain levels: 1) Scanning,E,D,D,D,D,D,D,D,D,C,A,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 2) Stroke unit,D,D,D,D,D,D,D,E,D,D,C,C,C,D,D,D,C,D,D,E,E,E,D,E,E,E,E,E,E,E
Team-centred Domain levels: 3) Thrombolysis,E,E,D,E,D,E,E,E,E,D,B,C,D,C,C,C,C,B,B,B,C,C,A,B,B,B,C,C,B,B
Team-centred Domain levels: 4) Specialist Assessments,E,E,E,E,D,E,E,E,E,D,B,A,A,B,A,A,A,B,B,A,B,B,A,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,E,E,D,D,E,D,C,D,D,C,A,A,A,A,A,A,A,A,A,B,A,B,A,B,C,C,C,B,B,A
Team-centred Domain levels: 6) Physiotherapy,E,E,E,E,E,D,D,D,D,D,A,B,A,A,B,B,B,B,A,B,B,A,B,C,C,C,C,C,B,B
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,E,E,E,E,A,A,A,A,A,B,A,B,B,C,C,B,B,C,C,B,B,B,C,B
Team-centred Domain levels: 8) MDT working,D,D,D,D,D,D,D,C,D,D,A,A,A,A,A,A,A,B,A,B,B,B,A,B,B,A,A,A,A,B
Team-centred Domain levels: 9) Standards by discharge,C,B,D,D,C,D,B,B,B,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 10) Discharge processes,C,B,B,B,D,C,B,B,A,A,C,C,C,C,C,C,C,A,A,A,A,A,A,A,B,A,A,A,A,B
Team-centred KI level Team-centred Total KI level,E,E,E,E,E,E,D,D,D,D,A,A,A,A,A,A,A,A,A,B,B,B,A,B,B,B,B,B,A,A
Team-centred KI level Team-centred Total KI score,32,38,38,36,36,36,44,42,44,50,88,86,86,84,84.0,82,86,82.0,88.0,80.0,76.0,80.0,90.0,78.0,74.0,80.0,78.0,80.0,82.0,82.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",E,E,E,E,E,E,E,E,E,D,A,A,A,A,A,A,A,A,A,B,B,B,A,B,B,B,B,B,A,A
Team-centred SSNAP level Team-centred SSNAP score,19,30.7,32.3,29.1,26,29.1,37.4,35.7,39.6,47.5,88,86,86,84,84.0,82,86,82.0,88.0,80.0,76.0,80.0,90.0,78.0,74.0,80.0,78.0,80.0,82.0,82.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,216,277,248,249,271,247,210,222,221,285,286,275,269,276,275,244,276,260,235,257,248,229,208,219,225,212,222,224,198
