SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
SSNAP level,D,D,D,D,X,D,D,D,C,B,B,B,A,B,A,A,B,B,D,C,D,D,C,C,C,C,B,B,B,C
SSNAP score,54,50.4,59.4,53,.,48.6,56.7,55.4,63.8,73.1,75,71.6,82,79,81.0,84.3,79,70.0,52.1,60.1,51.4,58.3,62.1,66.2,64.3,68.4,72.0,74.0,71.7,68.0
Case ascertainment band,A,A,A,C,E,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A
Audit compliance band,C,C,C,C,X,C,B,C,D,B,B,B,A,A,A,A,A,B,D,D,B,B,C,B,B,B,C,D,D,D
Combined Total Key Indicator level,C,D,C,C,X,D,D,C,B,B,B,B,A,B,A,A,B,B,C,B,D,C,C,C,C,B,B,A,A,B
Combined Total Key Indicator score,60,56,66,69.3,.,56.9,59.7,61.6,79,77,79,75.3,82,79,81.0,84.3,79,73.7,61.3,70.7,57.0,61.3,69.0,69.7,67.7,72.0,80.0,87.0,84.3,80.0
Number of records completed: Team-centred post-72h all teams cohort,84,87,86,63,Insufficient records,68,88,80,57,65,72,74,78,66,61,77,62,57,56,61,60,70,69,73,61,68,67,75,58,70
Patient-centred Domain levels: 1) Scanning,B,B,B,B,Insufficient records,C,C,C,A,B,A,B,A,A,A,B,A,A,A,B,C,B,A,B,B,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,C,C,C,C,Insufficient records,E,C,C,C,C,C,C,C,C,C,C,D,D,E,E,E,E,E,E,E,D,D,D,D,D
Patient-centred Domain levels: 3) Thrombolysis,C,D,B,B,Insufficient records,D,D,B,B,B,C,D,C,D,D,B,D,B,E,D,E,E,C,D,C,B,B,B,C,B
Patient-centred Domain levels: 4) Specialist Assessments,D,D,D,D,Insufficient records,E,C,B,B,B,B,B,B,B,B,C,C,C,D,D,D,D,D,C,D,B,B,B,B,B
Patient-centred Domain levels: 5) Occupational therapy,A,C,A,A,Insufficient records,A,A,A,A,B,A,A,A,A,A,A,A,A,C,A,C,C,B,B,A,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,C,D,B,B,Insufficient records,B,B,B,B,B,B,B,A,B,A,B,A,B,C,B,D,D,B,B,B,B,B,A,A,B
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,Insufficient records,E,E,E,E,E,D,E,C,C,C,B,C,D,D,C,C,D,D,D,E,E,C,C,C,C
