SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
  SSNAP level,D,D,D,E,E,D,D,D,D,D,B,C,C,B,B,B,B,B,C,D,D,D,D,D,C,C,C,C,C,C
  SSNAP score,40.5,45.9,40.5,38,36,43.7,40.9,52,52,51,75,66,69,72,72.0,78,74,70.0,62.0,58.0,57.9,58.0,57.0,58.0,60.0,69.0,60.0,64.0,65.0,62.0
  Case ascertainment band,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A
  Audit compliance band,C,C,C,B,C,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
  Combined Total Key Indicator level,D,D,D,D,D,D,D,D,D,D,B,C,C,B,B,B,B,B,C,D,C,D,D,D,C,C,C,C,C,C
  Combined Total Key Indicator score,45,51,45,40,40,46,43,52,52,51,75,66,69,72,72.0,78,74,70.0,62.0,58.0,61.0,58.0,57.0,58.0,60.0,69.0,60.0,64.0,65.0,62.0
Number of records completed: Team-centred post-72h all teams cohort,190,181,174,179,191,186,204,187,189,219,209,228,206,182,207,229,221,257,233,209,194,227,246,256,253,273,238,235,244,252
Patient-centred Domain levels: 1) Scanning,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,D,E,E,E,E,E,E,E,E,E,C,C,C,C,C,C,C,E,E,E,E,E,E,E,E,D,E,E,D,E
Patient-centred Domain levels: 3) Thrombolysis,D,D,D,D,D,D,D,C,C,C,B,B,C,C,C,B,C,D,D,E,D,E,D,D,E,D,D,D,C,D
Patient-centred Domain levels: 4) Specialist Assessments,D,D,E,E,D,D,D,D,D,D,B,C,B,B,B,C,C,C,C,D,C,B,D,D,C,B,B,B,B,B
Patient-centred Domain levels: 5) Occupational therapy,B,C,C,E,E,C,D,C,C,C,B,C,C,B,C,C,B,B,C,D,C,C,D,D,C,C,C,C,C,B
Patient-centred Domain levels: 6) Physiotherapy,D,C,C,D,D,D,E,E,C,C,D,D,D,D,D,C,C,B,C,C,C,D,D,C,C,B,D,C,D,D
Patient-centred Domain levels: 7) Speech and Language therapy,C,C,C,C,E,C,D,C,C,C,C,C,C,C,B,B,C,B,B,B,B,B,A,B,B,A,B,B,A,C
Patient-centred Domain levels: 8) MDT working,E,D,E,E,E,E,E,E,E,E,B,C,C,C,C,C,C,C,D,D,D,D,D,D,C,D,D,D,D,D
Patient-centred Domain levels: 9) Standards by discharge,E,D,E,D,D,D,C,C,C,D,B,C,C,C,B,B,B,B,B,B,C,B,B,B,C,B,C,C,B,B
