SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-07-01,2014-10-01,2015-04-01,2015-07-01,2015-10-01
SSNAP level,D,,TFP,X,TFP,TFP,TFP
SSNAP score,42.2,.,.,.,.,.,.
Case ascertainment band,A,D,,X,,,
Audit compliance band,D,,,X,TFP,TFP,TFP
Combined Total Key Indicator level,D,,TFP,X,TFP,TFP,TFP
Combined Total Key Indicator score,49.7,.,.,.,.,.,.
Number of records completed: Team-centred post-72h all teams cohort,29,Too few to report,Too few to report,None completed,Too few to report,Too few to report,Too few to report
Patient-centred Domain levels: 1) Scanning,D,,Too few to report,None entered,Too few to report,Too few to report,Too few to report
Patient-centred Domain levels: 2) Stroke unit,C,Too few to report,Too few to report,None entered,Too few to report,Too few to report,Too few to report
Patient-centred Domain levels: 3) Thrombolysis,C,,Too few to report,None entered,Too few to report,Too few to report,Too few to report
Patient-centred Domain levels: 4) Specialist Assessments,D,,Too few to report,None entered,Too few to report,Too few to report,Too few to report
Patient-centred Domain levels: 5) Occupational therapy,C,Too few to report,Too few to report,None entered,Too few to report,Too few to report,Too few to report
Patient-centred Domain levels: 6) Physiotherapy,D,Too few to report,Too few to report,None entered,Too few to report,Too few to report,Too few to report
Patient-centred Domain levels: 7) Speech and Language therapy,E,Too few to report,Too few to report,None entered,Too few to report,Too few to report,Too few to report
Patient-centred Domain levels: 8) MDT working,E,Too few to report,Too few to report,None entered,Too few to report,Too few to report,Too few to report
Patient-centred Domain levels: 9) Standards by discharge,B,Too few to report,Too few to report,None entered,Too few to report,Too few to report,Too few to report
Patient-centred Domain levels: 10) Discharge processes,D,Too few to report,Too few to report,None entered,Too few to report,Too few to report,Too few to report
Patient-centred KI level Patient-centred Total KI level,D,Too few to report,TFP,No records,TFP,TFP,TFP
Patient-centred KI level Patient-centred Total KI score,46,.,.,.,.,.,.
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,,TFP,X,TFP,TFP,TFP
Patient-centred SSNAP level Patient-centred SSNAP score,39.1,.,.,.,.,.,.
Team-centred Domain levels: 2) Stroke unit,B,Too few to report,Too few to report,None entered,Too few to report,Too few to report,Too few to report
Team-centred Domain levels: 5) Occupational therapy,C,Too few to report,Too few to report,None entered,Too few to report,Too few to report,Too few to report
Team-centred Domain levels: 6) Physiotherapy,E,Too few to report,Too few to report,None entered,Too few to report,Too few to report,Too few to report
Team-centred Domain levels: 7) Speech and Language therapy,E,Too few to report,Too few to report,None entered,Too few to report,Too few to report,Too few to report
Team-centred Domain levels: 9) Standards by discharge,A,Too few to report,Too few to report,None entered,Too few to report,Too few to report,Too few to report
Team-centred Domain levels: 10) Discharge processes,D,Too few to report,Too few to report,None entered,Too few to report,Too few to report,Too few to report
Team-centred KI level Team-centred Total KI level,D,Too few to report,TFP,No records,TFP,TFP,TFP
Team-centred KI level Team-centred Total KI score,53.3,.,.,.,.,.,.
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,,TFP,X,TFP,TFP,TFP
Team-centred SSNAP level Team-centred SSNAP score,45.3,.,.,.,.,.,.
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,.,60,39,9,8,1
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,.,1,1,1,1,1
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,.,0,1,0,0,0
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,.,0,0.03,0,0,0
