SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
SSNAP level,E,E,E,D,D,D,D,D,C,C,B,C,B,C,B,C,A,D,D,D,D,D,D,C,B,B,B,A,A,A
SSNAP score,34.2,27.2,31.5,42,50,50,55,58,65,63,74,63.8,79,69.3,71.0,68,84,57.0,56.0,55.0,55.0,56.0,58.0,62.0,71.0,77.0,77.0,82.0,86.0,81.0
Case ascertainment band,A,A,A,A,A,A,A,A,A,A,A,C,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,C,D,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Combined Total Key Indicator level,E,E,E,D,D,D,D,D,C,C,B,B,B,B,B,C,A,D,D,D,D,D,D,C,B,B,B,A,A,A
Combined Total Key Indicator score,38,32,35,42,50,50,55,58,65,63,74,75,79,73,71.0,68,84,57.0,56.0,55.0,55.0,56.0,58.0,62.0,71.0,77.0,77.0,82.0,86.0,81.0
Number of records completed: Team-centred post-72h all teams cohort,123,135,126,134,144,141,145,124,112,111,166,135,168,153,194,193,200,219,178,180,209,207,209,207,207,215,241,234,226,224
Patient-centred Domain levels: 1) Scanning,E,E,E,E,D,D,C,D,C,C,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,D,E,D,D,D,D,C,C,C,D,C,C,C,D,D,C,D,E,E,E,E,E,E,E,E,E,E,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,E,E,E,D,D,D,C,C,D,C,D,D,D,D,C,C,C,C,D,C,C,C,C,D,B,B,C,C,C,C
Patient-centred Domain levels: 4) Specialist Assessments,E,E,E,E,D,E,D,D,D,D,B,C,B,C,C,B,B,B,B,B,A,B,B,B,B,A,A,B,A,A
Patient-centred Domain levels: 5) Occupational therapy,C,C,D,C,C,B,B,C,A,A,A,A,A,A,C,C,A,D,D,E,E,E,D,C,B,B,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,E,D,D,D,C,C,B,B,A,B,A,A,B,B,C,D,A,C,D,E,E,E,D,D,D,C,B,B,A,B
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,E,E,D,E,C,C,A,A,A,C,A,E,E,E,E,E,E,E,E,D,C,B,A,B
Patient-centred Domain levels: 8) MDT working,C,D,D,D,C,C,D,C,C,B,C,B,B,C,B,C,B,E,E,D,D,D,E,D,C,B,C,B,B,C
Patient-centred Domain levels: 9) Standards by discharge,B,D,D,B,B,B,B,B,A,A,A,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 10) Discharge processes,D,D,D,D,D,D,D,D,D,D,C,C,C,C,D,D,B,B,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,E,E,E,D,D,D,D,D,C,C,B,B,B,B,C,C,A,D,D,D,D,D,D,C,C,B,B,B,A,B
Patient-centred KI level Patient-centred Total KI score,38,32,32,40,48,48,56,54,64,62,74,74,78,72,68.0,66,84,58.0,56.0,56.0,58.0,56.0,58.0,60.0,68.0,76.0,78.0,80.0,86.0,80.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,E,E,D,D,D,D,D,C,C,B,C,B,C,C,C,A,D,D,D,D,D,D,C,C,B,B,B,A,B
Patient-centred SSNAP level Patient-centred SSNAP score,34.2,27.2,28.8,40,48,48,56,54,64,62,74,62.9,78,68.4,68.0,66,84,58.0,56.0,56.0,58.0,56.0,58.0,60.0,68.0,76.0,78.0,80.0,86.0,80.0
Team-centred Domain levels: 1) Scanning,E,E,E,E,D,D,C,D,C,C,B,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 2) Stroke unit,D,E,D,D,D,D,C,C,C,D,C,C,C,D,D,C,D,E,E,E,E,E,E,E,E,E,E,E,E,E
Team-centred Domain levels: 3) Thrombolysis,E,E,E,D,D,D,C,C,D,D,D,C,D,D,C,C,C,D,D,C,D,C,D,D,B,C,D,C,C,C
Team-centred Domain levels: 4) Specialist Assessments,E,E,E,E,D,E,D,D,D,D,B,B,B,C,C,B,B,B,B,B,B,B,B,B,B,A,A,B,A,A
Team-centred Domain levels: 5) Occupational therapy,C,C,C,D,C,A,B,B,A,A,A,A,A,A,A,C,A,D,D,E,E,E,C,B,B,B,A,A,A,A
Team-centred Domain levels: 6) Physiotherapy,E,D,C,B,C,B,B,B,A,A,A,A,A,B,B,C,A,C,D,E,E,E,D,C,C,B,B,A,A,B
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,C,E,E,C,C,D,C,C,A,A,A,C,A,E,E,E,E,E,E,E,C,C,C,A,A,A
Team-centred Domain levels: 8) MDT working,C,D,C,C,C,C,D,B,C,B,B,B,B,B,B,B,B,E,E,D,D,D,E,D,B,B,C,B,B,C
Team-centred Domain levels: 9) Standards by discharge,B,D,D,B,B,B,B,B,A,A,A,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
