SSNAP Scoring Summary:,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
SSNAP level,D,D,B,C,B,B,A,A,A,B,B,A,A,A,A,A,A,B,A,A,A,A,A,A,B,B
SSNAP score,54.2,51.7,73.1,64.6,79,78,86,85,84,79,80.0,83,92,90.0,82.6,87.4,83.6,77.3,94.0,90.0,91.0,91.0,92.0,83.0,75.0,77.0
Case ascertainment band,B,C,B,C,A,A,A,A,A,A,A,A,A,A,A,B,B,C,A,A,A,A,A,A,A,A
Audit compliance band,B,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A
Combined Total Key Indicator level,C,C,B,B,B,B,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B
Combined Total Key Indicator score,60,64,77,76,79,78,86,85,84,79,80.0,83,92,90.0,87.0,92.0,88.0,91.0,94.0,90.0,91.0,91.0,92.0,83.0,75.0,77.0
Number of records completed: Team-centred post-72h all teams cohort,252,219,254,219,269,292,321,328,390,358,379,373,367,303,295,261,252,241,287,284,304,330,334,313,298,295
Patient-centred Domain levels: 1) Scanning,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A
Patient-centred Domain levels: 2) Stroke unit,C,C,C,C,C,D,C,C,C,D,D,C,C,C,D,D,E,D,D,D,D,D,C,C,D,D
Patient-centred Domain levels: 3) Thrombolysis,C,B,A,A,A,B,B,B,B,B,C,C,B,B,B,B,C,B,A,B,B,B,B,B,C,B
Patient-centred Domain levels: 4) Specialist Assessments,D,D,B,B,B,B,B,B,B,B,B,B,A,A,B,A,A,A,A,A,A,A,A,A,B,B
Patient-centred Domain levels: 5) Occupational therapy,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,E,D,D,E,E,D,B,B,C,A,A,A,A,A,A,A,A,D,E,E
Patient-centred Domain levels: 8) MDT working,D,D,C,B,B,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B
Patient-centred Domain levels: 9) Standards by discharge,C,C,B,B,B,B,B,B,A,B,A,A,A,B,A,A,A,B,B,B,B,B,B,B,B,B
Patient-centred Domain levels: 10) Discharge processes,C,D,B,C,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A
Patient-centred KI level Patient-centred Total KI level,C,C,B,B,B,B,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B
Patient-centred KI level Patient-centred Total KI score,62,64,78,78,76,78,82,84,86,78,80.0,84,92,90.0,86.0,92.0,88.0,90.0,92.0,90.0,90.0,90.0,92.0,84.0,72.0,78.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,B,C,B,B,A,A,A,B,B,A,A,A,A,A,A,B,A,A,A,A,A,A,B,B
Patient-centred SSNAP level Patient-centred SSNAP score,56,51.7,74.1,66.3,76,78,82,84,86,78,80.0,84,92,90.0,81.7,87.4,83.6,76.5,92.0,90.0,90.0,90.0,92.0,84.0,72.0,78.0
Team-centred Domain levels: 1) Scanning,B,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A
Team-centred Domain levels: 2) Stroke unit,C,C,C,C,C,D,C,C,C,C,C,C,C,C,D,D,E,D,C,D,C,C,C,C,D,D
Team-centred Domain levels: 3) Thrombolysis,C,B,A,A,A,B,A,B,B,B,B,C,B,C,B,B,C,B,A,B,B,B,B,C,C,C
Team-centred Domain levels: 4) Specialist Assessments,D,D,B,B,B,B,A,A,B,B,B,B,B,A,B,A,A,A,A,A,A,A,A,A,A,B
Team-centred Domain levels: 5) Occupational therapy,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 6) Physiotherapy,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,C,E,C,D,D,E,E,D,A,A,B,A,A,A,A,A,A,A,A,E,E,E
Team-centred Domain levels: 8) MDT working,D,D,C,C,B,B,A,A,B,C,A,B,A,A,A,A,A,A,A,A,A,A,A,B,B,C
Team-centred Domain levels: 9) Standards by discharge,C,C,B,B,B,B,B,B,B,A,B,A,A,B,A,A,A,A,A,B,B,B,B,A,A,A
Team-centred Domain levels: 10) Discharge processes,E,D,C,D,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,D,C,B,B,A,B,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B
Team-centred KI level Team-centred Total KI score,58,64,76,74,82,78,90,86,82,80,80.0,82,92,90.0,88.0,92.0,88.0,92.0,96.0,90.0,92.0,92.0,92.0,82.0,78.0,76.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,D,B,C,A,B,A,A,A,B,B,A,A,A,A,A,A,B,A,A,A,A,A,A,B,B
Team-centred SSNAP level Team-centred SSNAP score,52.3,51.7,72.2,62.9,82,78,90,86,82,80,80.0,82,92,90.0,83.6,87.4,83.6,78.2,96.0,90.0,92.0,92.0,92.0,82.0,78.0,76.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),401,368,371,370,281,322,361,367,374,415,424,422,407,370,367,348,402,347,297,250,329,402,441,462,474,456
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),0.89,0.87,0.87,0.87,0.82,0.89,0.87,0.89,0.87,0.89,88%,0.89,0.9,90%,91%,92%,91%,87%,87%,86%,93%,94%,94%,94%,93%,91%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),51,69,95,97,72,158,239,258,282,296,278,280,263,229,207,176,201,163,145,120,154,172,224,253,285,290
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0.13,0.19,0.26,0.26,0.26,0.49,0.66,0.7,0.75,0.71,66%,0.66,0.65,62%,56%,51%,50%,47%,49%,48%,47%,43%,51%,55%,60%,64%
