SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
  SSNAP level,D,D,D,C,C,D,D,C,B,C,A,A,A,B,A,A,A,B,C,C,C,B,B,D,C,D,D,C,C,D
  SSNAP score,45.6,54.2,57.9,69,64,57,58,65,72,69,92,83.6,82,79.8,85.5,88,84,73.1,67.7,65.9,64.6,70.3,73.1,56.4,69.3,58.7,57.0,62.7,68.0,51.0
  Case ascertainment band,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,A,B,B,A,A,A,B,A,B,A,A,A,A
  Audit compliance band,B,B,B,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,B,B,B,B,B,C,B,B,B,B,A,A
  Combined Total Key Indicator level,D,D,C,C,C,D,D,C,B,C,A,A,A,A,A,A,A,B,B,B,C,B,B,C,B,C,C,C,C,D
  Combined Total Key Indicator score,48,57,61,69,64,57,58,65,72,69,92,88,82,84,90.0,88,84,77.0,75.0,73.0,68.0,74.0,77.0,66.0,73.0,65.0,60.0,66.0,68.0,51.0
Number of records completed: Team-centred post-72h all teams cohort,102,100,131,93,109,108,105,106,131,130,131,129,150,149,147,141,156,145,125,135,130,150,145,129,150,129,160,177,170,151
Patient-centred Domain levels: 1) Scanning,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,A,A,B,A,B,B
Patient-centred Domain levels: 2) Stroke unit,C,C,C,C,C,D,C,C,C,C,C,B,C,C,C,C,D,E,E,E,E,E,E,E,E,E,E,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,C,B,D,C,C,C,D,B,B,C,B,D,D,D,C,C,C,D,E,E,E,E,E,E,D,D,D,D,D,D
Patient-centred Domain levels: 4) Specialist Assessments,C,B,B,B,A,B,A,A,A,A,A,A,A,A,A,A,A,B,B,B,C,B,B,C,C,D,D,C,D,D
Patient-centred Domain levels: 5) Occupational therapy,E,E,C,B,D,D,E,E,E,D,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,B,B,A,A,C
Patient-centred Domain levels: 6) Physiotherapy,E,E,D,D,D,D,D,D,B,C,A,A,A,A,A,A,A,A,A,B,B,B,A,C,B,B,B,B,A,D
Patient-centred Domain levels: 7) Speech and Language therapy,D,D,C,C,C,D,D,D,B,C,A,A,B,A,A,B,B,B,B,B,B,B,B,C,B,B,C,C,B,C
Patient-centred Domain levels: 8) MDT working,E,D,D,D,D,D,D,D,D,D,B,B,C,C,B,B,C,C,C,C,C,B,C,C,C,D,D,C,C,D
Patient-centred Domain levels: 9) Standards by discharge,C,B,B,B,B,B,B,B,B,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,C
