SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
SSNAP level,E,D,D,D,D,D,D,D,D,C,B,C,B,B,B,C,B,B,C,C,B,D,D,D,C,B,B,C,C,B
SSNAP score,34.2,41.8,41.5,43.3,42.3,41,57.9,45.6,59.8,67.5,78,68,71,71.3,72.2,64.6,73,70.0,61.8,66.0,70.0,54.0,52.3,58.0,63.0,72.0,75.0,67.0,67.0,71.0
Case ascertainment band,A,A,B,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,B,B,B,B,C,C,B,B,B,B,A,A,A,B,B,B,A,A,B,A,A,A,B,A,A,A,A,A,A,A
Combined Total Key Indicator level,E,D,D,D,D,D,C,D,C,B,B,C,B,B,B,C,B,B,C,C,B,D,D,D,C,B,B,C,C,B
Combined Total Key Indicator score,36,44,46,48,47,48,61,48,63,71,78,68,71,75,76.0,68,73,70.0,65.0,66.0,70.0,54.0,55.0,58.0,63.0,72.0,75.0,67.0,67.0,71.0
Number of records completed: Team-centred post-72h all teams cohort,149,194,152,135,157,128,157,152,173,168,154,156,143,173,157,161,170,179,156,185,153,162,178,192,164,184,166,193,196,181
Patient-centred Domain levels: 1) Scanning,D,D,D,C,D,D,B,C,B,B,B,B,B,B,A,A,A,A,A,A,A,C,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,D,C,D,D,D,E,C,D,C,C,C,C,C,C,C,C,C,C,D,D,E,E,E,E,E,C,C,C,D,D
Patient-centred Domain levels: 3) Thrombolysis,C,C,C,D,C,D,B,C,B,B,C,B,B,C,C,C,D,C,D,D,C,D,D,D,C,C,C,C,D,D
Patient-centred Domain levels: 4) Specialist Assessments,D,D,D,D,D,D,C,D,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,B,B,B,B,B,B,A
Patient-centred Domain levels: 5) Occupational therapy,D,D,C,C,C,B,B,C,C,C,A,C,C,A,A,B,A,C,C,C,B,C,D,C,B,A,A,B,A,B
Patient-centred Domain levels: 6) Physiotherapy,D,D,D,C,C,B,B,D,D,B,C,C,D,C,D,C,C,C,D,C,B,D,D,D,D,C,B,C,C,B
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,D,E,E,C,E,E,D,C,C,E,D,C,C,D,C,C,C,C,B,C,C,C,C,C,C,C,C,C
Patient-centred Domain levels: 8) MDT working,D,D,D,D,D,D,D,D,C,B,B,C,B,B,B,C,C,C,C,D,D,D,D,D,D,C,B,D,C,C
Patient-centred Domain levels: 9) Standards by discharge,E,D,D,C,D,D,C,D,D,D,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,B,B,B
Patient-centred Domain levels: 10) Discharge processes,E,C,C,C,C,C,C,B,B,B,A,A,A,A,A,B,A,A,A,A,A,B,B,B,B,A,A,B,B,B
Patient-centred KI level Patient-centred Total KI level,E,D,D,D,D,D,C,D,C,B,B,C,B,B,B,B,B,B,C,C,B,D,D,C,C,B,B,B,B,B
Patient-centred KI level Patient-centred Total KI score,36,44,46,48,46,50,62,48,62,70,76,68,70,76,76.0,70,74,72.0,66.0,66.0,72.0,54.0,56.0,60.0,64.0,76.0,78.0,70.0,70.0,72.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,D,D,D,D,D,D,D,D,C,B,C,B,B,B,C,B,B,C,C,B,D,D,C,C,B,B,B,B,B
Patient-centred SSNAP level Patient-centred SSNAP score,34.2,41.8,41.5,43.3,41.4,42.8,58.9,45.6,58.9,66.5,76,68,70,72.2,72.2,66.5,74,72.0,62.7,66.0,72.0,54.0,53.2,60.0,64.0,76.0,78.0,70.0,70.0,72.0
Team-centred Domain levels: 1) Scanning,D,D,D,D,D,D,B,C,B,B,A,B,B,B,A,A,A,A,A,A,A,C,B,A,A,A,B,A,B,A
Team-centred Domain levels: 2) Stroke unit,D,C,D,D,D,E,C,D,C,C,C,C,C,C,C,C,C,C,D,D,E,E,E,E,E,C,C,C,D,D
Team-centred Domain levels: 3) Thrombolysis,C,C,C,D,C,D,B,C,B,B,C,B,B,D,D,C,D,C,D,D,C,D,D,D,C,D,C,D,D,D
Team-centred Domain levels: 4) Specialist Assessments,D,D,D,D,D,D,C,D,B,B,B,B,B,B,B,B,B,B,B,B,C,C,C,B,B,B,B,B,B,B
Team-centred Domain levels: 5) Occupational therapy,D,D,C,C,C,C,C,C,C,C,A,C,C,A,A,C,B,D,D,C,C,D,D,D,C,C,A,C,A,C
Team-centred Domain levels: 6) Physiotherapy,D,D,C,C,C,B,C,D,D,B,B,C,C,C,C,D,C,D,D,C,C,D,E,E,E,D,B,D,D,B
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,D,E,E,C,B,C,E,D,C,C,D,C,C,C,C,A,C,C,C,C,C,D,C,D,C
Team-centred Domain levels: 8) MDT working,D,D,D,C,C,D,C,D,C,B,B,C,B,B,B,C,C,C,C,D,D,D,D,D,D,C,C,D,C,C
Team-centred Domain levels: 9) Standards by discharge,E,D,D,C,D,D,C,D,D,D,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,B,B,B
Team-centred Domain levels: 10) Discharge processes,E,C,C,C,C,C,C,B,B,B,A,A,A,A,A,B,A,A,A,A,A,A,A,B,A,A,A,B,B,A
Team-centred KI level Team-centred Total KI level,E,D,D,D,D,D,C,D,C,B,B,C,B,B,B,C,B,C,C,C,C,D,D,D,C,C,B,C,C,B
Team-centred KI level Team-centred Total KI score,36,44,46,48,48,46,60,48,64,72,80,68,72,74,76.0,66,72,68.0,64.0,66.0,68.0,54.0,54.0,56.0,62.0,68.0,72.0,64.0,64.0,70.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",E,D,D,D,D,E,D,D,C,C,B,C,B,B,B,C,B,C,C,C,C,D,D,D,C,C,B,C,C,B
